seed,branches,conflict_probability,epoch,condition,state_comparison,gradient_cosine,signed_signal_ratio,gradient_inner_product
11002,2,0.25,250,backpropagation,own_state,1,1,0.00166084966622
11002,2,0.25,250,backpropagation,common_exact_state,1,1,0.00166084966622
11002,2,0.25,250,gated_point_emulation,own_state,1,1,0.00166084966622
11002,2,0.25,250,gated_point_emulation,common_exact_state,1,1,0.00166084966622
11002,2,0.5,0,neuron_shared_k1,own_state,0.999155580997,0.50199341774,0.220019608736
11002,2,0.5,0,neuron_shared_k1,common_exact_state,0.999155580997,0.50199341774,0.220019608736
11002,2,0.5,0,correct_path,own_state,1,1,0.438291817904
11002,2,0.5,0,correct_path,common_exact_state,1,1,0.438291817904
11002,2,0.5,0,within_neuron_deranged,own_state,0.096118606627,0.00398680288345,0.00174738303758
11002,2,0.5,0,within_neuron_deranged,common_exact_state,0.096118606627,0.00398680288345,0.00174738303758
11002,2,0.5,0,backpropagation,own_state,1,1,0.438291817904
11002,2,0.5,0,backpropagation,common_exact_state,1,1,0.438291817904
11002,2,0.5,0,gated_point_emulation,own_state,1,1,0.438291817904
11002,2,0.5,0,gated_point_emulation,common_exact_state,1,1,0.438291817904
11002,2,0.5,1,neuron_shared_k1,own_state,0.999129593372,0.49884262681,0.209756121039
11002,2,0.5,1,neuron_shared_k1,common_exact_state,0.999110460281,0.495630353689,0.199880629778
11002,2,0.5,1,correct_path,own_state,1,1,0.403285682201
11002,2,0.5,1,correct_path,common_exact_state,1,1,0.403285682201
11002,2,0.5,1,within_neuron_deranged,own_state,0.0925431475043,0.00388067169115,0.00169996009208
11002,2,0.5,1,within_neuron_deranged,common_exact_state,-0.204466089606,-0.00873932056129,-0.00352444290183
11002,2,0.5,1,backpropagation,own_state,1,1,0.403285682201
11002,2,0.5,1,backpropagation,common_exact_state,1,1,0.403285682201
11002,2,0.5,1,gated_point_emulation,own_state,1,1,0.403285682201
11002,2,0.5,1,gated_point_emulation,common_exact_state,1,1,0.403285682201
11002,2,0.5,10,neuron_shared_k1,own_state,0.998084425926,0.470183700323,0.139098986983
11002,2,0.5,10,neuron_shared_k1,common_exact_state,0.994461119175,0.433737754822,0.0866759568453
11002,2,0.5,10,correct_path,own_state,1,1,0.199834942818
11002,2,0.5,10,correct_path,common_exact_state,1,1,0.199834942818
11002,2,0.5,10,within_neuron_deranged,own_state,0.0570677220821,0.00279045826755,0.00121779041365
11002,2,0.5,10,within_neuron_deranged,common_exact_state,-0.822377383709,-0.132524475455,-0.0264830216765
11002,2,0.5,10,backpropagation,own_state,1,1,0.199834942818
11002,2,0.5,10,backpropagation,common_exact_state,1,1,0.199834942818
11002,2,0.5,10,gated_point_emulation,own_state,1,1,0.199834942818
11002,2,0.5,10,gated_point_emulation,common_exact_state,1,1,0.199834942818
11002,2,0.5,50,neuron_shared_k1,own_state,0.972500085831,0.348913222551,0.0350922122598
11002,2,0.5,50,neuron_shared_k1,common_exact_state,0.452125996351,0.141664549708,0.00385480141267
11002,2,0.5,50,correct_path,own_state,1,1,0.0272107701749
