root_id,draw,dose_relative_to_local_input_conductance,perturbation,localization_index,signed_localization,descendant_attenuated_fraction,descendant_enhanced_fraction,descendant_sign_flip_fraction,descendant_gradient_energy_ratio,transport_selectivity
864691135060651419,21,0.25,focal shunt,0.1605909588,-0.1605909588,1,0,0,0.7224954845,74.96370629
864691135060651419,21,0.25,matched additive,0.05540246216,0.05540246216,0,1,0,1.160952382,74.96370629
864691135060651419,21,1,focal shunt,0.5375067933,-0.5375067933,1,0,0,0.3359221816,74.96370629
864691135060651419,21,1,matched additive,0.203199506,0.203199506,0,1,0,1.723177678,74.96370629
864691135060651419,21,4,focal shunt,1.360208415,-1.360208415,1,0,0,0.06347552565,74.96370629
864691135060651419,21,4,matched additive,0.6283835256,0.6283835256,0,1,0,5.162601086,74.96370629
864691135060651419,22,0.25,focal shunt,0.1601342943,-0.1601342943,1,0,0,0.723053422,74.28816453
864691135060651419,22,0.25,matched additive,0.05590385186,0.05590385186,0,1,0,1.162042708,74.28816453
864691135060651419,22,1,focal shunt,0.536410768,-0.536410768,1,0,0,0.3365352932,74.28816453
864691135060651419,22,1,matched additive,0.2048946384,0.2048946384,0,1,0,1.72857129,74.28816453
864691135060651419,22,4,focal shunt,1.3585099,-1.3585099,1,0,0,0.06365158241,74.28816453
864691135060651419,22,4,matched additive,0.6326083814,0.6326083814,0,1,0,5.200692488,74.28816453
864691135060651419,23,0.25,focal shunt,0.1602294223,-0.1602294223,1,0,0,0.7229537211,74.36028216
864691135060651419,23,0.25,matched additive,0.05580716864,0.05580716864,0,1,0,1.161849371,74.36028216
864691135060651419,23,1,focal shunt,0.5366405179,-0.5366405179,1,0,0,0.3364240523,74.36028216
864691135060651419,23,1,matched additive,0.2045762416,0.2045762416,0,1,0,1.727609736,74.36028216
864691135060651419,23,4,focal shunt,1.358868715,-1.358868715,1,0,0,0.06361916563,74.36028216
864691135060651419,23,4,matched additive,0.6318665512,0.6318665512,0,1,0,5.193834968,74.36028216
864691135060651419,24,0.25,focal shunt,0.1611606301,-0.1611606301,1,0,0,0.7214653776,75.1274911
864691135060651419,24,0.25,matched additive,0.05471980044,0.05471980044,0,1,0,1.158929978,75.1274911
864691135060651419,24,1,focal shunt,0.5388540317,-0.5388540317,1,0,0,0.3347996587,75.1274911
864691135060651419,24,1,matched additive,0.2008851947,0.2008851947,0,1,0,1.713188306,75.1274911
864691135060651419,24,4,focal shunt,1.362259412,-1.362259412,1,0,0,0.06315612385,75.1274911
864691135060651419,24,4,matched additive,0.6225862813,0.6225862813,0,1,0,5.092247492,75.1274911
864691135060651419,25,0.25,focal shunt,0.1601261395,-0.1601261395,1,0,0,0.7230854045,74.32957515
864691135060651419,25,0.25,matched additive,0.05591598911,0.05591598911,0,1,0,1.162106601,74.32957515
864691135060651419,25,1,focal shunt,0.5363908757,-0.5363908757,1,0,0,0.3365687543,74.32957515
864691135060651419,25,1,matched additive,0.2049481495,0.2049481495,0,1,0,1.728880394,74.32957515
