seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026211,or4,sgd,exact,uniform_random_candidate_expectation,0.000674143380873625,1.0,1.0
2026211,or_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026211,or_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.21458510759001148,0.9375,0.9404761904761905
2026211,or_of_ands,adam,exact,constant_mean_predictor,1.0,0.5625,0.5
2026211,or_of_ands,adam,exact,uniform_random_candidate_expectation,0.21076610792240646,0.9375,0.9444444444444444
2026211,or_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026211,or_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.21242577079092637,0.9375,0.9444444444444444
2026211,or_of_ands,sgd,exact,constant_mean_predictor,1.0,0.5625,0.5
2026211,or_of_ands,sgd,exact,uniform_random_candidate_expectation,0.21232002571159864,0.9375,0.9444444444444444
2026211,parity4,adam,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026211,parity4,adam,broadcast,uniform_random_candidate_expectation,1.0267084930437467,0.5,0.5
2026211,parity4,adam,exact,constant_mean_predictor,1.0,0.5,0.5
2026211,parity4,adam,exact,uniform_random_candidate_expectation,0.00093300386539285,1.0,1.0
2026211,parity4,sgd,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026211,parity4,sgd,broadcast,uniform_random_candidate_expectation,1.026860261197037,0.515625,0.515625
2026211,parity4,sgd,exact,constant_mean_predictor,1.0,0.5,0.5
2026211,parity4,sgd,exact,uniform_random_candidate_expectation,0.0007450055438738251,1.0,1.0
2026211,xor_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026211,xor_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.39855844801148,0.890625,0.9125000000000001
2026211,xor_of_ands,adam,exact,constant_mean_predictor,1.0,0.625,0.5
2026211,xor_of_ands,adam,exact,uniform_random_candidate_expectation,0.3738434384420174,0.859375,0.8625
2026211,xor_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026211,xor_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.3935711689350286,0.875,0.8916666666666667
2026211,xor_of_ands,sgd,exact,constant_mean_predictor,1.0,0.625,0.5
2026211,xor_of_ands,sgd,exact,uniform_random_candidate_expectation,0.3740298954837979,0.859375,0.8625
2026212,and4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026212,and4,adam,broadcast,uniform_random_candidate_expectation,0.0030134491768273,1.0,1.0
2026212,and4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026212,and4,adam,exact,uniform_random_candidate_expectation,0.000577001202827725,1.0,1.0
2026212,and4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026212,and4,sgd,broadcast,uniform_random_candidate_expectation,0.00046953775827800003,1.0,1.0
2026212,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026212,and4,sgd,exact,uniform_random_candidate_expectation,0.0002389893537979,1.0,1.0
