optimizer,learning_rate,credit_rule,compatible,step,gradient_cosine,gradient_relative_error,path_capture
adam,0.01,exact_path,True,10,1.0,0.0,1.0
adam,0.01,exact_path,True,100,1.0,0.0,1.0
adam,0.01,exact_path,True,300,1.0,0.0,1.0
adam,0.01,exact_path,True,1000,1.0,0.0,1.0
adam,0.01,subtree_projection,False,0,0.9942576826656553,0.08640599633030772,0.991022438314916
adam,0.01,subtree_projection,False,10,0.9877527336025543,0.13934451621173788,0.9908292363764557
adam,0.01,subtree_projection,False,100,0.9663836844335157,0.2475797848550942,0.9779245892779204
adam,0.01,subtree_projection,False,300,0.9564089961767188,0.26014281097179687,0.9732521070515306
adam,0.01,subtree_projection,False,1000,0.959173254333853,0.2741234920012837,0.97258168450712
adam,0.01,subtree_projection,True,0,0.9954423407545424,0.07904316216289506,0.991022438314916
adam,0.01,subtree_projection,True,10,0.9915039076498867,0.11854563833632195,0.9907462091263707
adam,0.01,subtree_projection,True,100,0.964638760902101,0.25591978247247615,0.9750179562098944
adam,0.01,subtree_projection,True,300,0.9605859822055959,0.27035778448788145,0.970249601307433
adam,0.01,subtree_projection,True,1000,0.9617835363011512,0.27311149246346084,0.9698084275201422
sgd,0.3,broadcast_projection,False,0,0.9923428609570427,0.0973090017373101,0.9902987927514361
sgd,0.3,broadcast_projection,False,10,0.9594680435904557,0.2724893979160753,0.9553855133668602
sgd,0.3,broadcast_projection,False,100,0.9375591486248873,0.3333392665692604,0.9173467898593796
sgd,0.3,broadcast_projection,False,300,0.9389936316920809,0.32176638069886365,0.9152903916676532
sgd,0.3,broadcast_projection,False,1000,0.9346367020683638,0.35391451620712044,0.9135341057159311
sgd,0.3,broadcast_projection,True,0,0.9940719523279079,0.08879588771327514,0.9902987927514361
sgd,0.3,broadcast_projection,True,10,0.9689744345031212,0.23729404493957099,0.9474565185481867
sgd,0.3,broadcast_projection,True,100,0.9340982408004419,0.34703952505017155,0.9020030678064597
sgd,0.3,broadcast_projection,True,300,0.9337704781653559,0.36054128759545523,0.901448444552888
sgd,0.3,broadcast_projection,True,1000,0.9351127783845071,0.35682149427013166,0.9016539906913478
sgd,0.3,calibrated_broadcast,False,0,0.9918669545161631,0.10211019778773833,0.9891946155478262
sgd,0.3,calibrated_broadcast,False,10,0.9558799148258075,0.28729019328445765,0.9507203791478543
sgd,0.3,calibrated_broadcast,False,100,0.933020715858929,0.3517368968574691,0.9089774024322534
sgd,0.3,calibrated_broadcast,False,300,0.9341152190552382,0.34115253336869805,0.9065389742951179
sgd,0.3,calibrated_broadcast,False,1000,0.9321182405925879,0.37180192200689494,0.9039466983125419
sgd,0.3,calibrated_broadcast,True,0,0.9936838208723096,0.09340645057263713,0.9891946155478262
sgd,0.3,calibrated_broadcast,True,10,0.9656325516957059,0.24793656281891682,0.9419776658877342
sgd,0.3,calibrated_broadcast,True,100,0.9291868969261767,0.37191133538928767,0.8929233838352675
sgd,0.3,calibrated_broadcast,True,300,0.9311061263646879,0.3730848811830897,0.892501841614407
sgd,0.3,calibrated_broadcast,True,1000,0.9318920387135989,0.37322165102983224,0.8928716891299061
sgd,0.3,exact_path,False,0,1.0,0.0,1.0
sgd,0.3,exact_path,False,10,1.0,0.0,1.0
sgd,0.3,exact_path,False,100,1.0,0.0,1.0
sgd,0.3,exact_path,False,300,1.0,0.0,1.0
sgd,0.3,exact_path,False,1000,1.0,0.0,1.0
sgd,0.3,exact_path,True,0,1.0,0.0,1.0
sgd,0.3,exact_path,True,10,1.0,0.0,1.0
sgd,0.3,exact_path,True,100,1.0,0.0,1.0
sgd,0.3,exact_path,True,300,1.0,0.0,1.0
sgd,0.3,exact_path,True,1000,1.0,0.0,1.0
sgd,0.3,subtree_projection,False,0,0.9942576826656553,0.08640599633030772,0.991022438314916
sgd,0.3,subtree_projection,False,10,0.9762676548496994,0.2047973038027126,0.9891598575627355
sgd,0.3,subtree_projection,False,100,0.95856482276173,0.2624816275315374,0.974702175156796
sgd,0.3,subtree_projection,False,300,0.9591641390659653,0.26109609919781074,0.9731433207285669
sgd,0.3,subtree_projection,False,1000,0.9511721553326744,0.29517340508318196,0.9728893906552595
sgd,0.3,subtree_projection,True,0,0.9954423407545424,0.07904316216289506,0.991022438314916
sgd,0.3,subtree_projection,True,10,0.9832014070830207,0.1660600550216921,0.9885650502071873
sgd,0.3,subtree_projection,True,100,0.963333339504414,0.26157181832407933,0.9717707002382434
sgd,0.3,subtree_projection,True,300,0.9548373207792044,0.29464130856426657,0.9700257537973105
sgd,0.3,subtree_projection,True,1000,0.9604572638606331,0.27631807430059613,0.9697644307625878
