seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,state,gradient_cosine,exact_gradient_norm,delivered_gradient_norm,gradient_relative_error,path_capture
15410,1,02_13,True,fresh,100,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.908799100213846,0.0314709475871531,0.0301978508652828,0.4203088588025157,0.909226175460387
15410,1,02_13,True,fresh,100,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9427109469130948,0.0314709475871531,0.0286358205974411,0.3352190085238778,0.971317570768486
15410,1,02_13,True,fresh,100,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.9272081422003392,0.0314709475871531,0.0275790011253495,0.3779860238201138,0.9129994182962322
15410,1,02_13,False,fresh,100,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.0483870773983259,0.0483870773983259,0.0,1.0
15410,1,02_13,False,fresh,100,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9114288382285812,0.0483870773983259,0.0480813685608808,0.4195986867308395,0.8798208553809287
15410,1,02_13,False,fresh,100,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.9566137193946344,0.0483870773983259,0.0483803680167679,0.2945514360878654,0.9696393558170064
15410,1,02_13,False,fresh,100,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.9206882872111002,0.0483870773983259,0.043024127368703,0.3915696031785866,0.8856006661185852
15410,1,02_13,False,fresh,300,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0,0.0251587004317224,0.0251587004317224,0.0,1.0
15410,1,02_13,False,fresh,300,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.980298835828561,0.0251587004317224,0.0252104629972836,0.1987149451181709,0.9471079334441668
15410,1,02_13,False,fresh,300,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.984519848046672,0.0251587004317224,0.0243133671519895,0.1762072616464487,0.9786435994315562
15410,1,02_13,False,fresh,300,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9819532218192056,0.0251587004317224,0.0245847648744344,0.1891839932120357,0.9498550602239229
15410,1,02_13,True,fresh,300,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,0.0143498652161262,0.0143498652161262,0.0,1.0
15410,1,02_13,True,fresh,300,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.9304909825874906,0.0143498652161262,0.0140428699969923,0.3694612633291395,0.9076078673899288
