cohort,seed,family,step,structure,optimizer,rate,rule,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,subtree_projection,parameter_gradient_nonroot,24,2.5481426050984854,3.95288279770139,7,8,0.4302413450157451
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,shuffled_projection,path_q,6,0.41478588737836586,2.6656834426583877,3,3,0.4968827413958558
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,shuffled_projection,loss_credit,6,0.4829617733266675,2.6095344474214643,3,3,0.5133687895686284
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,shuffled_projection,parameter_jacobian_nonroot,24,1.9656399745467037,5.779163528898143,8,8,0.2928715057327162
frozen_algebraic_replay,127214,matching,1,compatible,sgd,0.03,shuffled_projection,parameter_gradient_nonroot,24,2.559833534772946,3.950529046342454,7,8,0.43045881057094315
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.003,broadcast,path_q,6,0.4469731802360175,2.6616378965591414,3,3,0.4981701713852205
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.003,broadcast,loss_credit,6,0.5308534992305886,2.5983855322213607,3,3,0.5166941925020876
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.003,broadcast,parameter_jacobian_nonroot,24,2.122315029494914,5.769253335333781,8,8,0.2935004219472271
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.003,broadcast,parameter_gradient_nonroot,24,2.8347769280504953,3.895861195346908,7,8,0.4344526811352707
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,exact,path_q,6,0.4205861415296292,2.647787231353811,3,3,0.5036843704694969
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,exact,loss_credit,6,0.48600708473737764,2.600848700694512,3,3,0.5166866308479029
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,exact,parameter_jacobian_nonroot,24,1.979074970147097,5.805356842947178,8,8,0.2911147084527476
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,exact,parameter_gradient_nonroot,24,2.5558796466184126,4.029863371040721,7,8,0.4213982806942259
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,global_projection,path_q,6,0.4211081918838566,2.6542869857546547,3,3,0.5025838293668518
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,global_projection,loss_credit,6,0.4865360952931284,2.612781779407855,3,3,0.511410112179975
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,global_projection,parameter_jacobian_nonroot,24,1.9821964143714907,5.802285957994089,8,8,0.29105856736760227
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,global_projection,parameter_gradient_nonroot,24,2.570393644505751,3.9082499481506123,7,8,0.43524451604552356
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,shuffled_projection,path_q,6,0.420853698456063,2.651676038755093,3,3,0.5028470540055512
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,shuffled_projection,loss_credit,6,0.48511369323465503,2.6072479499772676,3,3,0.5141292124217454
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,shuffled_projection,parameter_jacobian_nonroot,24,1.9789203953632928,5.810499349540863,8,8,0.29066443919542895
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.01,shuffled_projection,parameter_gradient_nonroot,24,2.5475724909290496,4.014133606287602,7,8,0.42353603729262
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.03,subtree_projection,path_q,6,0.360975568864193,2.6366023146965216,3,4,0.5157782258678667
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.03,subtree_projection,loss_credit,6,0.3951534291113662,2.640213610605492,3,4,0.5019963584408321
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.03,subtree_projection,parameter_jacobian_nonroot,24,1.668281725118653,5.867886258008247,8,8,0.28717840198450667
frozen_algebraic_replay,127214,matching,1,compatible,adam,0.03,subtree_projection,parameter_gradient_nonroot,24,2.0505737962704007,3.909755725810375,7,8,0.4378243801617353
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,exact,path_q,6,0.20764886949453465,2.538181679654626,3,3,0.5356039644682896
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,exact,loss_credit,6,0.2034292822979903,2.6151128788096476,3,3,0.5115254257171907
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,24,0.9679242581152961,5.839332665284062,8,8,0.2873289829487984
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,exact,parameter_gradient_nonroot,24,1.0144444138042665,4.71076231423315,7,8,0.36814800065220715
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,broadcast,path_q,6,0.19812564203342864,2.1728489003423137,3,3,0.6251806857508413
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,broadcast,loss_credit,6,0.1906430519713951,2.279545943190273,3,3,0.5949263561056514
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,broadcast,parameter_jacobian_nonroot,24,0.9456931806307569,5.633507235152484,7,8,0.28067869737728723
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,broadcast,parameter_gradient_nonroot,24,0.9961644178091356,4.587595215665314,7,8,0.37165468405049173
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,global_projection,path_q,6,0.19417338349399246,2.661057922877828,3,3,0.5047521693093856
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,global_projection,loss_credit,6,0.1972238194342988,2.671812173158736,3,3,0.49992877190686613
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,global_projection,parameter_jacobian_nonroot,24,0.9154889833895078,5.821165094772449,8,8,0.2911761477688155
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,global_projection,parameter_gradient_nonroot,24,1.0047160131708885,4.396847447675658,7,8,0.3976999803474758
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,subtree_projection,path_q,6,0.19697995092916637,2.609127945579776,3,3,0.5187610639003895
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,subtree_projection,loss_credit,6,0.19816497343613745,2.643292607073115,3,3,0.5060917371689087
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,subtree_projection,parameter_jacobian_nonroot,24,0.9302561749153196,5.795456407006516,8,8,0.29052324292158366
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,subtree_projection,parameter_gradient_nonroot,24,1.0121106087659404,4.431909638073558,7,8,0.39331736885119156
frozen_algebraic_replay,127214,matching,16,compatible,sgd,0.03,shuffled_projection,path_q,6,0.1954582695236663,2.6540373577244147,3,3,0.5070629966061742
