family,optimizer,structure,contrast,mean,ci95_low,ci95_high,n_seeds,positive_seeds
nested,sgd,assignment_shuffled,shuffled_projection minus exact,0.12222144855064983,0.06289090766331791,0.18957634117981248,20,15
nested,sgd,paired,shuffled minus compatible: exact,0.6930676805434983,0.586500246966677,0.7915117557264078,20,20
nested,sgd,paired,shuffled minus compatible: broadcast,0.5314357548183732,0.215531656844259,1.1279544410040088,20,20
nested,sgd,paired,shuffled minus compatible: global_projection,0.3172062849014702,0.2501391920036848,0.38552484829810973,20,20
nested,sgd,paired,shuffled minus compatible: subtree_projection,0.38791768120008696,0.30839985090017497,0.4752362502164061,20,20
nested,sgd,paired,shuffled minus compatible: shuffled_projection,0.40059464374227033,0.30619403849967913,0.5020168122992555,20,20
nested,adam,compatible,broadcast minus exact,0.729310252359969,0.7148741283527787,0.7425601717278102,20,20
nested,adam,compatible,global_projection minus exact,0.5168139923393806,0.38841930440592576,0.6453865468307273,20,20
nested,adam,compatible,subtree_projection minus exact,0.3546283829528823,0.2663749014593992,0.4445965311040452,20,20
nested,adam,compatible,shuffled_projection minus exact,0.25250351765789525,0.15502795436246242,0.3540497534056916,20,19
nested,adam,assignment_shuffled,broadcast minus exact,0.3146248178866302,0.251251570244902,0.37927836058927555,20,19
nested,adam,assignment_shuffled,global_projection minus exact,0.1941178552741723,0.13122038423532825,0.2573261963927476,20,20
nested,adam,assignment_shuffled,subtree_projection minus exact,0.19714751604503053,0.13461246398435214,0.2629077655897745,20,20
nested,adam,assignment_shuffled,shuffled_projection minus exact,0.1457185601057712,0.0920096690565622,0.20261309544458436,20,19
nested,adam,paired,shuffled minus compatible: exact,0.6548121140571619,0.601988605171969,0.7068338567883953,20,20
nested,adam,paired,shuffled minus compatible: broadcast,0.24012667958382305,0.20944979322929702,0.26482247589413727,20,20
nested,adam,paired,shuffled minus compatible: global_projection,0.3321159769919537,0.1799306867086818,0.47780078769249873,20,17
nested,adam,paired,shuffled minus compatible: subtree_projection,0.4973312471493102,0.40119159399828236,0.5892332786386798,20,20
nested,adam,paired,shuffled minus compatible: shuffled_projection,0.5480271565050379,0.4470809556704615,0.6495032248590829,20,20
all,sgd,compatible,broadcast minus exact,0.38751465909997773,0.30239709739890214,0.4589952448188579,20,19
all,sgd,compatible,global_projection minus exact,0.47473761535839215,0.35715734869299287,0.5824177332354921,20,19
all,sgd,compatible,subtree_projection minus exact,0.3874003369732949,0.2913841646687221,0.48093564051741344,20,20
all,sgd,compatible,shuffled_projection minus exact,0.30019484838414,0.21587683044923806,0.3832222297738297,20,19
all,sgd,assignment_shuffled,broadcast minus exact,0.24869381906465807,0.11262531098395469,0.47091531605815956,20,19
all,sgd,assignment_shuffled,global_projection minus exact,0.1720920780790683,0.12791764835276676,0.21685247553273337,20,20
all,sgd,assignment_shuffled,subtree_projection minus exact,0.1337232305285641,0.09058628378788244,0.17990803936122976,20,20
all,sgd,assignment_shuffled,shuffled_projection minus exact,0.144880901407262,0.10151308063136918,0.18889210805931375,20,19
all,sgd,paired,shuffled minus compatible: exact,0.6042059454629058,0.5216393861447434,0.6781580070103488,20,20
all,sgd,paired,shuffled minus compatible: broadcast,0.465385105427586,0.3518239069169655,0.6691107324287737,20,20
all,sgd,paired,shuffled minus compatible: global_projection,0.3015604081835817,0.21604598630506552,0.3837314435220513,20,19
all,sgd,paired,shuffled minus compatible: subtree_projection,0.35052883901817494,0.2775709576529559,0.419569901646199,20,20
all,sgd,paired,shuffled minus compatible: shuffled_projection,0.4488919984860277,0.3809960748022176,0.5179982818757444,20,20
all,adam,compatible,broadcast minus exact,0.5628361878740339,0.5436009758592477,0.5804375985691098,20,20
all,adam,compatible,global_projection minus exact,0.2788654960529984,0.2052910997754884,0.35372210976927193,20,20
all,adam,compatible,subtree_projection minus exact,0.19230829677705277,0.15298438955612015,0.22817889492364635,20,20
all,adam,compatible,shuffled_projection minus exact,0.14674194991656941,0.07893313859641637,0.22064498911268401,20,20
all,adam,assignment_shuffled,broadcast minus exact,0.3474100951274033,0.3169244383048252,0.377335869731126,20,20
all,adam,assignment_shuffled,global_projection minus exact,0.19334986772654958,0.1518585155258159,0.23046500355862282,20,19
all,adam,assignment_shuffled,subtree_projection minus exact,0.11896612656944194,0.08072130281707746,0.1603515728802012,20,19
all,adam,assignment_shuffled,shuffled_projection minus exact,0.10502772141113223,0.07082601555810512,0.13944368266619744,20,19
all,adam,paired,shuffled minus compatible: exact,0.5750816097545295,0.5569783447063809,0.5917547721083295,20,20
all,adam,paired,shuffled minus compatible: broadcast,0.3596555170078989,0.33480147945356187,0.3850167661202223,20,20
all,adam,paired,shuffled minus compatible: global_projection,0.48956598142808055,0.41003953963743645,0.5679849007527069,20,20
all,adam,paired,shuffled minus compatible: subtree_projection,0.5017394395469186,0.4531692938999026,0.553471762842319,20,20
all,adam,paired,shuffled minus compatible: shuffled_projection,0.5333673812490922,0.4460497862843811,0.6089510379243409,20,19
