family,structure,optimizer,rule,rate,test_nmse
quartet,assignment_shuffled,sgd,global_projection,0.03,0.9900534619750765
quartet,assignment_shuffled,sgd,shuffled_projection,0.003,1.0587780341050093
quartet,assignment_shuffled,sgd,shuffled_projection,0.01,1.024972582125086
quartet,assignment_shuffled,sgd,shuffled_projection,0.03,0.9937765285028781
quartet,assignment_shuffled,sgd,subtree_projection,0.003,1.0632316663379566
quartet,assignment_shuffled,sgd,subtree_projection,0.01,1.0243436180551393
quartet,assignment_shuffled,sgd,subtree_projection,0.03,0.9621088409141754
quartet,compatible,adam,broadcast,0.003,0.9911320999755256
quartet,compatible,adam,broadcast,0.01,0.9785884337054196
quartet,compatible,adam,broadcast,0.03,1.1459669724844257
quartet,compatible,adam,exact,0.003,0.09510666463242609
quartet,compatible,adam,exact,0.01,0.04945400643206307
quartet,compatible,adam,exact,0.03,0.052989211815907475
quartet,compatible,adam,global_projection,0.003,0.6272405320083185
quartet,compatible,adam,global_projection,0.01,0.36665467491620485
quartet,compatible,adam,global_projection,0.03,0.11489613616541147
quartet,compatible,adam,shuffled_projection,0.003,0.34332217651175395
quartet,compatible,adam,shuffled_projection,0.01,0.2139909259960541
quartet,compatible,adam,shuffled_projection,0.03,0.12678259311893234
quartet,compatible,adam,subtree_projection,0.003,0.4526381395499256
quartet,compatible,adam,subtree_projection,0.01,0.47335765355521053
quartet,compatible,adam,subtree_projection,0.03,0.2024216024735496
quartet,compatible,sgd,broadcast,0.003,1.0300103778748129
quartet,compatible,sgd,broadcast,0.01,1.018379402333433
quartet,compatible,sgd,broadcast,0.03,0.9971533701662343
quartet,compatible,sgd,exact,0.003,0.9277790090678362
quartet,compatible,sgd,exact,0.01,0.6732982378956189
quartet,compatible,sgd,exact,0.03,0.3928073620213388
quartet,compatible,sgd,global_projection,0.003,1.050114952456183
quartet,compatible,sgd,global_projection,0.01,0.9731496807435345
quartet,compatible,sgd,global_projection,0.03,0.931350451059145
quartet,compatible,sgd,shuffled_projection,0.003,1.0266171084221642
quartet,compatible,sgd,shuffled_projection,0.01,0.904824036068771
quartet,compatible,sgd,shuffled_projection,0.03,0.6450445219937049
quartet,compatible,sgd,subtree_projection,0.003,1.0304268165075163
quartet,compatible,sgd,subtree_projection,0.01,0.917534614785146
quartet,compatible,sgd,subtree_projection,0.03,0.6655773425411667
