family,structure,optimizer,rule,mean_test_nmse,mean_population_nmse,n_seeds,mean_gradient_cosine
quartet,assignment_shuffled,sgd,broadcast,1.05938775227744,1.01054875639855,20,0.666433403260121
quartet,assignment_shuffled,sgd,exact,0.9029916726905052,0.8547716987791898,20,1.0
quartet,assignment_shuffled,sgd,global_projection,0.9900534619750765,0.9421684195648208,20,0.8030710389409101
quartet,assignment_shuffled,sgd,shuffled_projection,0.9937765285028781,0.9453883616186571,20,0.858751716890821
quartet,assignment_shuffled,sgd,subtree_projection,0.9621088409141754,0.9130047740328948,20,0.8502737118379178
quartet,compatible,adam,broadcast,0.9911320999755256,0.9419581175532239,20,0.293990219406375
quartet,compatible,adam,exact,0.04945400643206307,0.004251690100224775,20,1.0
quartet,compatible,adam,global_projection,0.36665467491620485,0.31967609545153175,20,0.7019599482380192
quartet,compatible,adam,shuffled_projection,0.2139909259960541,0.16709446901910646,20,0.8020826043567801
quartet,compatible,adam,subtree_projection,0.2024216024735496,0.15604883506975278,20,0.8468725680669834
quartet,compatible,sgd,broadcast,0.9971533701662343,0.9469405341568639,20,0.43398815300159876
quartet,compatible,sgd,exact,0.3928073620213388,0.34631183004210364,20,1.0
quartet,compatible,sgd,global_projection,0.931350451059145,0.8868073930631757,20,0.6103922969178629
quartet,compatible,sgd,shuffled_projection,0.6450445219937049,0.5977219420120987,20,0.7200892496565362
quartet,compatible,sgd,subtree_projection,0.6655773425411667,0.6179299294763245,20,0.6808384135343296
