model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
70,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,0.5,4,frozen_profile,0.25,0.1875,0
71,0,0.688394098898,0.5419921875,-0.925988592019,52007,256,0.5,4,mismatched_encoder,0.25146484375,0.374267578125,0
72,0,0.688394098898,0.5419921875,0.980488266392,52007,16,1,0,oracle_context,1,0,0
73,0,0.688394098898,0.5419921875,-0.885688880835,52007,16,1,0,learned_local_cue,0.30126953125,0.349365234375,0
74,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,1,0,frozen_profile,0.25,0.1875,0
75,0,0.688394098898,0.5419921875,-0.871705566562,52007,16,1,0,mismatched_encoder,0.21923828125,0.390380859375,0
76,0,0.688394098898,0.5419921875,0.980488266392,52007,16,1,1,oracle_context,1,0,0
77,0,0.688394098898,0.5419921875,-0.920056366597,52007,16,1,1,learned_local_cue,0.25390625,0.373046875,0
78,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,1,1,frozen_profile,0.25,0.1875,0
79,0,0.688394098898,0.5419921875,-0.8984304689,52007,16,1,1,mismatched_encoder,0.2607421875,0.36962890625,0
80,0,0.688394098898,0.5419921875,0.980488266392,52007,16,1,4,oracle_context,1,0,0
81,0,0.688394098898,0.5419921875,-0.910073026409,52007,16,1,4,learned_local_cue,0.25390625,0.373046875,0
82,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,1,4,frozen_profile,0.25,0.1875,0
83,0,0.688394098898,0.5419921875,-0.891417264728,52007,16,1,4,mismatched_encoder,0.2470703125,0.37646484375,0
84,0,0.688394098898,0.5419921875,0.980488266392,52007,64,1,0,oracle_context,1,0,0
85,0,0.688394098898,0.5419921875,-0.833927174388,52007,64,1,0,learned_local_cue,0.3291015625,0.33544921875,0
86,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,1,0,frozen_profile,0.25,0.1875,0
87,0,0.688394098898,0.5419921875,-0.906272441423,52007,64,1,0,mismatched_encoder,0.23974609375,0.380126953125,0
88,0,0.688394098898,0.5419921875,0.980488266392,52007,64,1,1,oracle_context,1,0,0
89,0,0.688394098898,0.5419921875,-0.88590277802,52007,64,1,1,learned_local_cue,0.26220703125,0.368896484375,0
90,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,1,1,frozen_profile,0.25,0.1875,0
91,0,0.688394098898,0.5419921875,-0.912982314773,52007,64,1,1,mismatched_encoder,0.2451171875,0.37744140625,0
92,0,0.688394098898,0.5419921875,0.980488266392,52007,64,1,4,oracle_context,1,0,0
93,0,0.688394098898,0.5419921875,-0.880008030136,52007,64,1,4,learned_local_cue,0.25,0.375,0
94,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,1,4,frozen_profile,0.25,0.1875,0
95,0,0.688394098898,0.5419921875,-0.908149673704,52007,64,1,4,mismatched_encoder,0.26953125,0.365234375,0
96,0,0.688394098898,0.5419921875,0.980488266392,52007,256,1,0,oracle_context,1,0,0
97,0,0.688394098898,0.5419921875,-0.850901521668,52007,256,1,0,learned_local_cue,0.42236328125,0.288818359375,0
98,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,1,0,frozen_profile,0.25,0.1875,0
99,0,0.688394098898,0.5419921875,-0.929579074402,52007,256,1,0,mismatched_encoder,0.19189453125,0.404052734375,0
100,0,0.688394098898,0.5419921875,0.980488266392,52007,256,1,1,oracle_context,1,0,0
101,0,0.688394098898,0.5419921875,-0.904370681649,52007,256,1,1,learned_local_cue,0.24658203125,0.376708984375,0
102,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,1,1,frozen_profile,0.25,0.1875,0
103,0,0.688394098898,0.5419921875,-0.924982012652,52007,256,1,1,mismatched_encoder,0.24365234375,0.378173828125,0
104,0,0.688394098898,0.5419921875,0.980488266392,52007,256,1,4,oracle_context,1,0,0
105,0,0.688394098898,0.5419921875,-0.925987271247,52007,256,1,4,learned_local_cue,0.25830078125,0.370849609375,0
106,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,1,4,frozen_profile,0.25,0.1875,0
107,0,0.688394098898,0.5419921875,-0.923264309596,52007,256,1,4,mismatched_encoder,0.255859375,0.3720703125,0
0,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0,0,oracle_context,1,0,0
1,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0,0,learned_local_cue,1,0,0
2,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0,0,frozen_profile,0.25,0.1875,0
3,1,0.759102771024,0.251953125,-0.975076666047,52007,16,0,0,mismatched_encoder,0,0.5,0
4,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0,1,oracle_context,1,0,0
5,1,0.728152799454,0.2919921875,-0.932656162098,52007,16,0,1,learned_local_cue,0.25634765625,0.371826171875,0
6,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0,1,frozen_profile,0.25,0.1875,0
7,1,0.728647216198,0.287109375,-0.919521157511,52007,16,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
8,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0,4,oracle_context,1,0,0
9,1,0.727482479116,0.28662109375,-0.917416916484,52007,16,0,4,learned_local_cue,0.255859375,0.3720703125,0
10,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0,4,frozen_profile,0.25,0.1875,0
11,1,0.727841033925,0.28515625,-0.927674519099,52007,16,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
12,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0,0,oracle_context,1,0,0
13,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0,0,learned_local_cue,1,0,0
14,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0,0,frozen_profile,0.25,0.1875,0
15,1,0.759102771024,0.251953125,-0.975076666047,52007,64,0,0,mismatched_encoder,0,0.5,0
16,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0,1,oracle_context,1,0,0
17,1,0.728152799454,0.2919921875,-0.932656162098,52007,64,0,1,learned_local_cue,0.25634765625,0.371826171875,0
18,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0,1,frozen_profile,0.25,0.1875,0
19,1,0.728647216198,0.287109375,-0.919521157511,52007,64,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
20,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0,4,oracle_context,1,0,0
21,1,0.727482479116,0.28662109375,-0.917416916484,52007,64,0,4,learned_local_cue,0.255859375,0.3720703125,0
22,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0,4,frozen_profile,0.25,0.1875,0
23,1,0.727841033925,0.28515625,-0.927674519099,52007,64,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
24,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0,0,oracle_context,1,0,0
25,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0,0,learned_local_cue,1,0,0
26,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0,0,frozen_profile,0.25,0.1875,0
27,1,0.759102771024,0.251953125,-0.975076666047,52007,256,0,0,mismatched_encoder,0,0.5,0
28,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0,1,oracle_context,1,0,0
29,1,0.728152799454,0.2919921875,-0.932656162098,52007,256,0,1,learned_local_cue,0.25634765625,0.371826171875,0
30,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0,1,frozen_profile,0.25,0.1875,0
31,1,0.728647216198,0.287109375,-0.919521157511,52007,256,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
32,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0,4,oracle_context,1,0,0
33,1,0.727482479116,0.28662109375,-0.917416916484,52007,256,0,4,learned_local_cue,0.255859375,0.3720703125,0
34,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0,4,frozen_profile,0.25,0.1875,0
35,1,0.727841033925,0.28515625,-0.927674519099,52007,256,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
36,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0.5,0,oracle_context,1,0,0
37,1,0.70415462062,0.416015625,-0.721163157738,52007,16,0.5,0,learned_local_cue,0.45947265625,0.270263671875,0
38,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0.5,0,frozen_profile,0.25,0.1875,0
39,1,0.742357277459,0.26611328125,-0.935939722672,52007,16,0.5,0,mismatched_encoder,0.16064453125,0.419677734375,0
40,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0.5,1,oracle_context,1,0,0
41,1,0.728777571225,0.2763671875,-0.910511796955,52007,16,0.5,1,learned_local_cue,0.2470703125,0.37646484375,0
42,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0.5,1,frozen_profile,0.25,0.1875,0
43,1,0.728456647609,0.33203125,-0.913513150393,52007,16,0.5,1,mismatched_encoder,0.240234375,0.3798828125,0
44,1,0.648302526029,0.7587890625,0.977902895895,52007,16,0.5,4,oracle_context,1,0,0
45,1,0.728369900817,0.27587890625,-0.890943169433,52007,16,0.5,4,learned_local_cue,0.24560546875,0.377197265625,0
46,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,0.5,4,frozen_profile,0.25,0.1875,0
47,1,0.73043518228,0.31005859375,-0.922886372657,52007,16,0.5,4,mismatched_encoder,0.23388671875,0.383056640625,0
48,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0.5,0,oracle_context,1,0,0
49,1,0.68607368879,0.56494140625,0.169863889328,52007,64,0.5,0,learned_local_cue,0.63916015625,0.180419921875,0
50,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0.5,0,frozen_profile,0.25,0.1875,0
51,1,0.743975308656,0.24951171875,-0.954012765163,52007,64,0.5,0,mismatched_encoder,0.125,0.4375,0
52,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0.5,1,oracle_context,1,0,0
53,1,0.729633654741,0.2841796875,-0.927735942978,52007,64,0.5,1,learned_local_cue,0.255859375,0.3720703125,0
54,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0.5,1,frozen_profile,0.25,0.1875,0
55,1,0.729009901094,0.291015625,-0.902021137789,52007,64,0.5,1,mismatched_encoder,0.2412109375,0.37939453125,0
56,1,0.648302526029,0.7587890625,0.977902895895,52007,64,0.5,4,oracle_context,1,0,0
57,1,0.729133820019,0.279296875,-0.909882302678,52007,64,0.5,4,learned_local_cue,0.2578125,0.37109375,0
58,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,0.5,4,frozen_profile,0.25,0.1875,0
59,1,0.730656051396,0.28076171875,-0.930958236175,52007,64,0.5,4,mismatched_encoder,0.24853515625,0.375732421875,0
60,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0.5,0,oracle_context,1,0,0
61,1,0.684116951513,0.57568359375,0.303633665674,52007,256,0.5,0,learned_local_cue,0.65869140625,0.170654296875,0
62,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0.5,0,frozen_profile,0.25,0.1875,0
63,1,0.742465135943,0.25048828125,-0.952760838802,52007,256,0.5,0,mismatched_encoder,0.13330078125,0.433349609375,0
64,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0.5,1,oracle_context,1,0,0
65,1,0.727377067937,0.30419921875,-0.941916783827,52007,256,0.5,1,learned_local_cue,0.2568359375,0.37158203125,0
66,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0.5,1,frozen_profile,0.25,0.1875,0
67,1,0.728214298895,0.28955078125,-0.914118188371,52007,256,0.5,1,mismatched_encoder,0.23681640625,0.381591796875,0
68,1,0.648302526029,0.7587890625,0.977902895895,52007,256,0.5,4,oracle_context,1,0,0
69,1,0.727530749324,0.28662109375,-0.910741419055,52007,256,0.5,4,learned_local_cue,0.25,0.375,0
70,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,0.5,4,frozen_profile,0.25,0.1875,0
71,1,0.729227549571,0.28564453125,-0.934156595401,52007,256,0.5,4,mismatched_encoder,0.25146484375,0.374267578125,0
72,1,0.648302526029,0.7587890625,0.977902895895,52007,16,1,0,oracle_context,1,0,0
73,1,0.723025636667,0.3056640625,-0.90068753832,52007,16,1,0,learned_local_cue,0.30126953125,0.349365234375,0
74,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,1,0,frozen_profile,0.25,0.1875,0
75,1,0.735389116451,0.2734375,-0.89125524119,52007,16,1,0,mismatched_encoder,0.21923828125,0.390380859375,0
76,1,0.648302526029,0.7587890625,0.977902895895,52007,16,1,1,oracle_context,1,0,0
77,1,0.732117055866,0.29052734375,-0.931503030581,52007,16,1,1,learned_local_cue,0.25390625,0.373046875,0
78,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,1,1,frozen_profile,0.25,0.1875,0
79,1,0.726614635212,0.29248046875,-0.911968985193,52007,16,1,1,mismatched_encoder,0.2607421875,0.36962890625,0
80,1,0.648302526029,0.7587890625,0.977902895895,52007,16,1,4,oracle_context,1,0,0
81,1,0.7311505728,0.2705078125,-0.924263444091,52007,16,1,4,learned_local_cue,0.25390625,0.373046875,0
82,1,0.774009794077,0.21142578125,-0.972692777201,52007,16,1,4,frozen_profile,0.25,0.1875,0
83,1,0.727129679403,0.29345703125,-0.905431434747,52007,16,1,4,mismatched_encoder,0.2470703125,0.37646484375,0
84,1,0.648302526029,0.7587890625,0.977902895895,52007,64,1,0,oracle_context,1,0,0
85,1,0.721819141484,0.3125,-0.854536432206,52007,64,1,0,learned_local_cue,0.3291015625,0.33544921875,0
86,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,1,0,frozen_profile,0.25,0.1875,0
87,1,0.73328033762,0.32421875,-0.920911999369,52007,64,1,0,mismatched_encoder,0.23974609375,0.380126953125,0
88,1,0.648302526029,0.7587890625,0.977902895895,52007,64,1,1,oracle_context,1,0,0
89,1,0.733035829603,0.2578125,-0.903218487144,52007,64,1,1,learned_local_cue,0.26220703125,0.368896484375,0
90,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,1,1,frozen_profile,0.25,0.1875,0
91,1,0.727693972262,0.3369140625,-0.924930826439,52007,64,1,1,mismatched_encoder,0.2451171875,0.37744140625,0
92,1,0.648302526029,0.7587890625,0.977902895895,52007,64,1,4,oracle_context,1,0,0
93,1,0.7297868768,0.27880859375,-0.897705056952,52007,64,1,4,learned_local_cue,0.25,0.375,0
94,1,0.774009794077,0.21142578125,-0.972692777201,52007,64,1,4,frozen_profile,0.25,0.1875,0
95,1,0.729816078783,0.32373046875,-0.918721857747,52007,64,1,4,mismatched_encoder,0.26953125,0.365234375,0
96,1,0.648302526029,0.7587890625,0.977902895895,52007,256,1,0,oracle_context,1,0,0
97,1,0.710334768916,0.3876953125,-0.861350467919,52007,256,1,0,learned_local_cue,0.42236328125,0.288818359375,0
98,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,1,0,frozen_profile,0.25,0.1875,0
99,1,0.735935364204,0.27685546875,-0.938974246527,52007,256,1,0,mismatched_encoder,0.19189453125,0.404052734375,0
100,1,0.648302526029,0.7587890625,0.977902895895,52007,256,1,1,oracle_context,1,0,0
101,1,0.728991591404,0.27490234375,-0.914544337511,52007,256,1,1,learned_local_cue,0.24658203125,0.376708984375,0
102,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,1,1,frozen_profile,0.25,0.1875,0
103,1,0.728090256954,0.2939453125,-0.93203832778,52007,256,1,1,mismatched_encoder,0.24365234375,0.378173828125,0
104,1,0.648302526029,0.7587890625,0.977902895895,52007,256,1,4,oracle_context,1,0,0
105,1,0.728979624928,0.28857421875,-0.934455263088,52007,256,1,4,learned_local_cue,0.25830078125,0.370849609375,0
106,1,0.774009794077,0.21142578125,-0.972692777201,52007,256,1,4,frozen_profile,0.25,0.1875,0
