root_id,channels,method,capture,wiring_nonzeros,control_sd
864691135739661169,2,row-shuffled paths,0.1409576218408037,,0.06729126574329375
864691135739661169,2,degree-depth surrogate tree,0.31223407959059624,,0.04108496012199055
864691135739661169,2,depth bins,0.5316141716907743,,
864691135739661169,4,dense SVD oracle,0.7899718909736223,,
864691135739661169,4,morphology paths,0.38765397533580837,8.0,
864691135739661169,4,random real paths,0.320886158845294,,0.15695852841590247
864691135739661169,4,row-shuffled paths,0.19040765897625453,,0.07547499969737584
864691135739661169,4,degree-depth surrogate tree,0.45053335118323173,,0.03608633725233365
864691135739661169,4,depth bins,0.5826515958165848,,
864691135739661169,8,dense SVD oracle,0.9218834556270945,,
864691135739661169,8,morphology paths,0.5686471522590187,18.0,
864691135739661169,8,random real paths,0.5599245551884726,,0.142260426834589
864691135739661169,8,row-shuffled paths,0.37675800649247376,,0.09987760632075501
864691135739661169,8,degree-depth surrogate tree,0.5881555546320583,,0.035794115987370166
864691135739661169,8,depth bins,0.6515222406372329,,
864691135739661169,16,dense SVD oracle,0.9921797555108528,,
864691135739661169,16,morphology paths,0.7683480969135131,38.0,
864691135739661169,16,random real paths,0.8199600724235471,,0.08125403047151394
864691135739661169,16,row-shuffled paths,0.6183654327020327,,0.09735571997842128
864691135739661169,16,degree-depth surrogate tree,0.8073883600135663,,0.027864085811528383
864691135739661169,16,depth bins,0.8188808480606156,,
864691135810666525,1,dense SVD oracle,0.2030530477464948,,
864691135810666525,1,morphology paths,0.050249853559760936,3.0,
864691135810666525,1,random real paths,0.02601538209152827,,0.025336688865021335
864691135810666525,1,row-shuffled paths,0.014110664557755217,,0.0072697682167043995
864691135810666525,1,degree-depth surrogate tree,0.06758840446552647,,0.02571852843688185
864691135810666525,1,depth bins,0.19504634175699456,,
864691135810666525,2,dense SVD oracle,0.28908200138783013,,
864691135810666525,2,morphology paths,0.08387458440159766,4.0,
864691135810666525,2,random real paths,0.05494446211965718,,0.038782990530968106
864691135810666525,2,row-shuffled paths,0.023111757954528387,,0.012919065009892065
864691135810666525,2,degree-depth surrogate tree,0.10262377310605877,,0.02203758866340587
864691135810666525,2,depth bins,0.20713856041375442,,
864691135810666525,4,dense SVD oracle,0.4132875743628787,,
864691135810666525,4,morphology paths,0.15907514877560291,12.0,
864691135810666525,4,random real paths,0.10213943239144718,,0.04340140650848497
864691135810666525,4,row-shuffled paths,0.05556731904926382,,0.016865046344824778
864691135810666525,4,degree-depth surrogate tree,0.15792778604973667,,0.020616730320309626
864691135810666525,4,depth bins,0.24018290144895946,,
864691135810666525,8,dense SVD oracle,0.5694097803095125,,
864691135810666525,8,morphology paths,0.35034239905122694,42.0,
864691135810666525,8,random real paths,0.19877879760117992,,0.05887646735519999
864691135810666525,8,row-shuffled paths,0.12710511843972735,,0.022132958361611752
864691135810666525,8,degree-depth surrogate tree,0.23967493270183682,,0.02025161752034253
864691135810666525,8,depth bins,0.2819103152139311,,
864691135810666525,16,dense SVD oracle,0.7333176824747192,,
864691135810666525,16,morphology paths,0.5670837259146162,80.0,
864691135810666525,16,random real paths,0.3629134900934805,,0.06444080141137767
864691135810666525,16,row-shuffled paths,0.23519978440786016,,0.02610272525315038
864691135810666525,16,degree-depth surrogate tree,0.3726141244960215,,0.026765398755362674
864691135810666525,16,depth bins,0.3717730639366731,,
864691136043380566,1,dense SVD oracle,0.34663937871270384,,
864691136043380566,1,morphology paths,0.025490532965141238,1.0,
864691136043380566,1,random real paths,0.06337027232325346,,0.07476258366797119
864691136043380566,1,row-shuffled paths,0.021787066726124814,,0.020797809045783107
864691136043380566,1,degree-depth surrogate tree,0.11791752314722789,,0.046084862468753714
864691136043380566,1,depth bins,0.3401911618970335,,
864691136043380566,2,dense SVD oracle,0.43575905545639926,,
864691136043380566,2,morphology paths,0.09078357765750864,2.0,
864691136043380566,2,random real paths,0.09873505568323054,,0.07614759694909741
864691136043380566,2,row-shuffled paths,0.03876427692435262,,0.028900117022445753
864691136043380566,2,degree-depth surrogate tree,0.17817274257529594,,0.04909832229646491
864691136043380566,2,depth bins,0.3574272400943166,,
864691136043380566,4,dense SVD oracle,0.5409466049193679,,
864691136043380566,4,morphology paths,0.1612877998202335,4.0,
864691136043380566,4,random real paths,0.18965786338572824,,0.08625533309666528
864691136043380566,4,row-shuffled paths,0.07344847220397539,,0.03827723147029609
864691136043380566,4,degree-depth surrogate tree,0.2503508200407121,,0.04833954526292374
864691136043380566,4,depth bins,0.39332647750217653,,
864691136043380566,8,dense SVD oracle,0.7013831717081874,,
864691136043380566,8,morphology paths,0.4439718446254936,25.0,
864691136043380566,8,random real paths,0.3468638649965271,,0.09638647248593621
864691136043380566,8,row-shuffled paths,0.23343198552093064,,0.046368878042348884
864691136043380566,8,degree-depth surrogate tree,0.4125739296170765,,0.03170879586070804
864691136043380566,8,depth bins,0.44344310459171393,,
864691136043380566,16,dense SVD oracle,0.8455644091300402,,
864691136043380566,16,morphology paths,0.6364771467492976,40.0,
864691136043380566,16,random real paths,0.574714851490247,,0.0814128128541914
864691136043380566,16,row-shuffled paths,0.3871362026695134,,0.05832386149736547
864691136043380566,16,degree-depth surrogate tree,0.626293824412799,,0.01851188165872181
864691136043380566,16,depth bins,0.5481529988110684,,
