seed,branches,conflict_probability,condition,train_loss,train_accuracy,test_loss,test_accuracy,initial_gradient_cosine,initial_gradient_capture,initial_signed_utility,theoretical_shared_relative_signal,theoretical_deranged_relative_signal,feedback_rank,feedback_nonzeros_per_example,forward_parameters,active_forward_branches_per_example,simultaneously_driven_branches_per_example
11000,2,0.6,neuron_shared_k1,0.4617118537,0.8165283203,0.4508435726,0.8300000429,0.9963508844,0.9927150607,0.3909987807,0.4,-0.2,1,2,100,1,2
11000,2,0.6,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4,-0.2,2,1,100,1,2
11000,2,0.6,within_neuron_deranged,4.888650417,0.4652099609,4.872480869,0.46450001,-0.9558870196,0.9137200117,-0.2180024385,0.4,-0.2,2,1,100,1,2
11000,2,0.6,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4,-0.2,2,1,100,1,2
11000,2,0.6,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.4,-0.2,2,1,100,1,2
11000,2,0.6666666667,neuron_shared_k1,0.478068471,0.8189697266,0.4683384895,0.8295000196,0.9945326447,0.989095211,0.3237935007,0.3333333333,-0.3333333333,1,2,100,1,2
11000,2,0.6666666667,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11000,2,0.6666666667,within_neuron_deranged,3.670951366,0.2999267578,3.739499331,0.2860000134,-0.9818897247,0.9641074538,-0.3524129987,0.3333333333,-0.3333333333,2,1,100,1,2
11000,2,0.6666666667,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11000,2,0.6666666667,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11000,2,0.75,neuron_shared_k1,0.5039099455,0.8176269531,0.4962054193,0.8255000114,0.9887624383,0.9776511788,0.2425591797,0.25,-0.5,1,2,100,1,2
11000,2,0.75,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.25,-0.5,2,1,100,1,2
11000,2,0.75,within_neuron_deranged,5.708332062,0.2137451172,5.936438084,0.2050000131,-0.9900053144,0.9801105261,-0.5148816109,0.25,-0.5,2,1,100,1,2
11000,2,0.75,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.25,-0.5,2,1,100,1,2
11000,2,0.75,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.25,-0.5,2,1,100,1,2
11000,2,1,neuron_shared_k1,0.6971997023,0.5078125,0.6998351812,0.4985000193,-0.2759717107,0.0761603862,-0.01371309254,0,-1,1,2,100,1,2
11000,2,1,correct_path,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0,-1,2,1,100,1,2
11000,2,1,within_neuron_deranged,14.57335949,0.2098388672,15.29060078,0.1985000074,-0.9957059622,0.9914303422,-1.027426124,0,-1,2,1,100,1,2
11000,2,1,backpropagation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0,-1,2,1,100,1,2
11000,2,1,gated_point_emulation,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0,-1,2,1,100,1,2
11000,4,0,neuron_shared_k1,0.4236997962,0.8142089844,0.4436573088,0.7890000343,0.9950023293,0.990029633,0.9900293946,1,1,1,4,200,1,4
11000,4,0,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,1,1,4,1,200,1,4
11000,4,0,within_neuron_deranged,4.502505302,0.5516357422,4.371389389,0.5495000482,0.9868893623,0.9739506245,0.9868893623,1,1,4,1,200,1,4
11000,4,0,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,1,1,4,1,200,1,4
11000,4,0,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,1,1,4,1,200,1,4
11000,4,0.25,neuron_shared_k1,0.4511646032,0.8111572266,0.4672827423,0.7850000262,0.9947621822,0.9895517826,0.6205135584,0.625,0.5,1,4,200,1,4
11000,4,0.25,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.625,0.5,4,1,200,1,4
11000,4,0.25,within_neuron_deranged,3.523463726,0.5345458984,3.424246311,0.5310000181,0.9584422112,0.9186114669,0.465035975,0.625,0.5,4,1,200,1,4
11000,4,0.25,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.625,0.5,4,1,200,1,4
11000,4,0.25,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.625,0.5,4,1,200,1,4
11000,4,0.5,neuron_shared_k1,0.5273062587,0.8079833984,0.536872685,0.7845000625,0.99276793,0.9855881333,0.2645112276,0.25,0,1,4,200,1,4
11000,4,0.5,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.25,0,4,1,200,1,4
11000,4,0.5,within_neuron_deranged,2.201658726,0.4970703125,2.138637304,0.5020000339,0.1172222793,0.01374106295,0.01114240848,0.25,0,4,1,200,1,4
11000,4,0.5,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.25,0,4,1,200,1,4
11000,4,0.5,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.25,0,4,1,200,1,4
11000,4,0.5714285714,neuron_shared_k1,0.5765949488,0.8004150391,0.5836590528,0.7795000076,0.9758238792,0.9522322416,0.1580781937,0.1428571429,-0.1428571429,1,4,200,1,4
11000,4,0.5714285714,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
11000,4,0.5714285714,within_neuron_deranged,2.049706936,0.4655761719,1.993803263,0.469500035,-0.8337978125,0.6952188015,-0.1395293772,0.1428571429,-0.1428571429,4,1,200,1,4
11000,4,0.5714285714,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
11000,4,0.5714285714,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
11000,4,0.6,neuron_shared_k1,0.6023361683,0.7965087891,0.6077280045,0.77700001,0.9576487541,0.9170911312,0.1155045405,0.1,-0.2,1,4,200,1,4
11000,4,0.6,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1,-0.2,4,1,200,1,4
11000,4,0.6,within_neuron_deranged,1.99079442,0.4405517578,1.939810991,0.4430000186,-0.8976050615,0.8056948185,-0.1967216581,0.1,-0.2,4,1,200,1,4
11000,4,0.6,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1,-0.2,4,1,200,1,4
11000,4,0.6,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0.1,-0.2,4,1,200,1,4
11000,4,0.6666666667,neuron_shared_k1,0.6864541769,0.5804443359,0.6882574558,0.5470000505,0.3719997406,0.1383838058,0.01478638873,0,-0.3333333333,1,4,200,1,4
11000,4,0.6666666667,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0,-0.3333333333,4,1,200,1,4
11000,4,0.6666666667,within_neuron_deranged,1.925099134,0.2762451172,1.899110198,0.2845000029,-0.956386745,0.9146755934,-0.3323118985,0,-0.3333333333,4,1,200,1,4
11000,4,0.6666666667,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0,-0.3333333333,4,1,200,1,4
11000,4,0.6666666667,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,0,-0.3333333333,4,1,200,1,4
11000,4,0.75,neuron_shared_k1,0.882347703,0.2039794922,0.8788897991,0.2220000178,-0.9037771821,0.8168131709,-0.1125773191,-0.125,-0.5,1,4,200,1,4
11000,4,0.75,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.125,-0.5,4,1,200,1,4
11000,4,0.75,within_neuron_deranged,2.8901546,0.2117919922,2.875484943,0.2255000174,-0.9722368121,0.9452444315,-0.5059928298,-0.125,-0.5,4,1,200,1,4
11000,4,0.75,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.125,-0.5,4,1,200,1,4
11000,4,0.75,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.125,-0.5,4,1,200,1,4
11000,4,1,neuron_shared_k1,2.80589962,0.1965332031,2.778262615,0.2200000137,-0.9854694605,0.9711500406,-0.496172905,-0.5,-1,1,4,200,1,4
11000,4,1,correct_path,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.5,-1,4,1,200,1,4
11000,4,1,within_neuron_deranged,7.07223177,0.2127685547,7.072525501,0.229000017,-0.9873722196,0.9749038815,-1.001665711,-0.5,-1,4,1,200,1,4
11000,4,1,backpropagation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.5,-1,4,1,200,1,4
11000,4,1,gated_point_emulation,0.420480907,0.8165283203,0.4464735687,0.7870000601,1,1,1,-0.5,-1,4,1,200,1,4
11000,8,0,neuron_shared_k1,0.4463109374,0.8060302734,0.4734344184,0.7730000615,0.9827612638,0.9658197165,0.9658198357,1,1,1,8,400,1,8
11000,8,0,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,1,1,8,1,400,1,8
11000,8,0,within_neuron_deranged,1.216419578,0.6064453125,1.19187212,0.6115000248,0.9567409158,0.915353179,0.9567409158,1,1,8,1,400,1,8
11000,8,0,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,1,1,8,1,400,1,8
11000,8,0,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,1,1,8,1,400,1,8
11000,8,0.25,neuron_shared_k1,0.4907534719,0.8009033203,0.5112571716,0.7690000534,0.9829181433,0.9661280513,0.5431467295,0.5625,0.5,1,8,400,1,8
11000,8,0.25,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.5625,0.5,8,1,400,1,8
11000,8,0.25,within_neuron_deranged,1.073558092,0.5736083984,1.039723396,0.5845000148,0.9157935977,0.8386779428,0.4767940938,0.5625,0.5,8,1,400,1,8
11000,8,0.25,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.5625,0.5,8,1,400,1,8
11000,8,0.25,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.5625,0.5,8,1,400,1,8
11000,8,0.5,neuron_shared_k1,0.6127476096,0.7764892578,0.6218602657,0.7460000515,0.9243408442,0.8544059992,0.1361792535,0.125,0,1,8,400,1,8
11000,8,0.5,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.125,0,8,1,400,1,8
11000,8,0.5,within_neuron_deranged,0.7411208153,0.5340576172,0.7504514456,0.5150000453,0.1730819941,0.02995737642,0.02830943838,0.125,0,8,1,400,1,8
11000,8,0.5,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.125,0,8,1,400,1,8
11000,8,0.5,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0.125,0,8,1,400,1,8
11000,8,0.5714285714,neuron_shared_k1,0.6903178692,0.5345458984,0.6925464869,0.5160000324,0.2140910774,0.04583498836,0.01255810168,0,-0.1428571429,1,8,400,1,8
11000,8,0.5714285714,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0,-0.1428571429,8,1,400,1,8
11000,8,0.5714285714,within_neuron_deranged,0.8422299027,0.3828125,0.8371636868,0.3805000186,-0.5935954452,0.3523555398,-0.1074634418,0,-0.1428571429,8,1,400,1,8
11000,8,0.5714285714,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0,-0.1428571429,8,1,400,1,8
11000,8,0.5714285714,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,0,-0.1428571429,8,1,400,1,8
11000,8,0.6,neuron_shared_k1,0.7286015749,0.2961425781,0.7275223732,0.3220000267,-0.495968312,0.2459845692,-0.03428788856,-0.05,-0.2,1,8,400,1,8
11000,8,0.6,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.05,-0.2,8,1,400,1,8
11000,8,0.6,within_neuron_deranged,0.9246174097,0.3347167969,0.9084932208,0.33950001,-0.7289993763,0.5314400792,-0.1640233845,-0.05,-0.2,8,1,400,1,8
11000,8,0.6,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.05,-0.2,8,1,400,1,8
11000,8,0.6,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.05,-0.2,8,1,400,1,8
11000,8,0.6666666667,neuron_shared_k1,0.8512353897,0.2009277344,0.8416596055,0.2350000143,-0.8886541724,0.7897062302,-0.1461110413,-0.1666666667,-0.3333333333,1,8,400,1,8
11000,8,0.6666666667,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.1666666667,-0.3333333333,8,1,400,1,8
11000,8,0.6666666667,within_neuron_deranged,1.15766871,0.2423095703,1.125289321,0.2605000138,-0.8892014623,0.7906792164,-0.3033044934,-0.1666666667,-0.3333333333,8,1,400,1,8
11000,8,0.6666666667,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.1666666667,-0.3333333333,8,1,400,1,8
11000,8,0.6666666667,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.1666666667,-0.3333333333,8,1,400,1,8
11000,8,0.75,neuron_shared_k1,1.083714128,0.1981201172,1.057409286,0.2250000089,-0.9451650977,0.8933370709,-0.285148412,-0.3125,-0.5,1,8,400,1,8
11000,8,0.75,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.3125,-0.5,8,1,400,1,8
11000,8,0.75,within_neuron_deranged,1.5514431,0.2121582031,1.494125962,0.2350000143,-0.9404467344,0.8844400644,-0.4564270079,-0.3125,-0.5,8,1,400,1,8
11000,8,0.75,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.3125,-0.5,8,1,400,1,8
11000,8,0.75,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.3125,-0.5,8,1,400,1,8
11000,8,1,neuron_shared_k1,2.406519413,0.2034912109,2.300501347,0.2335000038,-0.9682229757,0.9374557137,-0.6987192631,-0.75,-1,1,8,400,1,8
11000,8,1,correct_path,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.75,-1,8,1,400,1,8
11000,8,1,within_neuron_deranged,3.402771711,0.2072753906,3.252423048,0.2330000103,-0.9680008292,0.9370256066,-0.925339818,-0.75,-1,8,1,400,1,8
11000,8,1,backpropagation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.75,-1,8,1,400,1,8
11000,8,1,gated_point_emulation,0.4409220219,0.8082275391,0.4733450413,0.7785000205,1,1,1,-0.75,-1,8,1,400,1,8
11001,2,0,neuron_shared_k1,0.4047815204,0.8197021484,0.4017435014,0.8110000491,0.9967746139,0.9935596585,0.9935595989,1,1,1,2,100,1,2
11001,2,0,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,1,1,2,1,100,1,2
11001,2,0,within_neuron_deranged,12.13805103,0.5424804688,11.69728184,0.5534999967,0.987119019,0.9744039774,0.987119019,1,1,2,1,100,1,2
11001,2,0,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,1,1,2,1,100,1,2
11001,2,0,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,1,1,2,1,100,1,2
11001,2,0.25,neuron_shared_k1,0.4159527421,0.8198242188,0.412167877,0.810000062,0.9969114065,0.9938323498,0.7484369278,0.75,0.5,1,2,100,1,2
11001,2,0.25,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.75,0.5,2,1,100,1,2
11001,2,0.25,within_neuron_deranged,9.740671158,0.5279541016,9.387238503,0.5400000215,0.972974658,0.9466797113,0.4968736768,0.75,0.5,2,1,100,1,2
11001,2,0.25,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.75,0.5,2,1,100,1,2
11001,2,0.25,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.75,0.5,2,1,100,1,2
11001,2,0.5,neuron_shared_k1,0.4417703152,0.8176269531,0.4389804304,0.8080000281,0.9959181547,0.9918529987,0.4979833961,0.5,0,1,2,100,1,2
11001,2,0.5,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.5,0,2,1,100,1,2
11001,2,0.5,within_neuron_deranged,7.768057823,0.4991455078,7.496822834,0.5125000477,-0.04463753849,0.001992509933,-0.004033191595,0.5,0,2,1,100,1,2
11001,2,0.5,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.5,0,2,1,100,1,2
11001,2,0.5,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.5,0,2,1,100,1,2
11001,2,0.5714285714,neuron_shared_k1,0.4527917504,0.8176269531,0.4505365491,0.8045000434,0.9953948855,0.9908109903,0.4330435693,0.4285714286,-0.1428571429,1,2,100,1,2
11001,2,0.5714285714,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
11001,2,0.5714285714,within_neuron_deranged,7.107064247,0.4821777344,6.866152763,0.4900000095,-0.84882164,0.7204982042,-0.1339128464,0.4285714286,-0.1428571429,2,1,100,1,2
11001,2,0.5714285714,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
11001,2,0.5714285714,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2
11001,2,0.6,neuron_shared_k1,0.4582884908,0.8182373047,0.4564598799,0.8065000176,0.9952388406,0.9905003309,0.4058460295,0.4,-0.2,1,2,100,1,2
11001,2,0.6,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4,-0.2,2,1,100,1,2
11001,2,0.6,within_neuron_deranged,6.83190918,0.4720458984,6.608479977,0.4865000248,-0.9212776423,0.8487524986,-0.1883079857,0.4,-0.2,2,1,100,1,2
11001,2,0.6,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4,-0.2,2,1,100,1,2
11001,2,0.6,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.4,-0.2,2,1,100,1,2
11001,2,0.6666666667,neuron_shared_k1,0.4735254049,0.8165283203,0.4720143974,0.8060000539,0.9934905767,0.9870235324,0.33895275,0.3333333333,-0.3333333333,1,2,100,1,2
11001,2,0.6666666667,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11001,2,0.6666666667,within_neuron_deranged,6.33247757,0.4345703125,6.155874729,0.4445000291,-0.9720942378,0.9449672103,-0.3220945597,0.3333333333,-0.3333333333,2,1,100,1,2
11001,2,0.6666666667,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11001,2,0.6666666667,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2
11001,2,0.75,neuron_shared_k1,0.5017653704,0.814453125,0.4998117983,0.8050000668,0.9909434915,0.9819689989,0.2499945313,0.25,-0.5,1,2,100,1,2
11001,2,0.75,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.25,-0.5,2,1,100,1,2
11001,2,0.75,within_neuron_deranged,6.235995293,0.2670898438,6.213773251,0.2855000198,-0.9909443259,0.9819706678,-0.5000110269,0.25,-0.5,2,1,100,1,2
11001,2,0.75,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.25,-0.5,2,1,100,1,2
11001,2,0.75,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0.25,-0.5,2,1,100,1,2
11001,2,1,neuron_shared_k1,0.6951999068,0.5146484375,0.6984407306,0.49150002,0.01663654484,0.0002767746337,0.0008228486404,0,-1,1,2,100,1,2
11001,2,1,correct_path,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0,-1,2,1,100,1,2
11001,2,1,within_neuron_deranged,14.6608963,0.2075195312,15.01261997,0.2210000157,-0.9951284528,0.9902806282,-0.9983543754,0,-1,2,1,100,1,2
11001,2,1,backpropagation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0,-1,2,1,100,1,2
11001,2,1,gated_point_emulation,0.4039219022,0.8181152344,0.4026857018,0.8055000305,1,1,1,0,-1,2,1,100,1,2
11001,4,0,neuron_shared_k1,0.4174259901,0.8210449219,0.4331724048,0.8010000587,0.9872950912,0.9747515917,0.9747517109,1,1,1,4,200,1,4
11001,4,0,correct_path,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,1,1,4,1,200,1,4
11001,4,0,within_neuron_deranged,5.114697456,0.5494384766,5.192786217,0.5295000076,0.9635080695,0.928347826,0.9635080695,1,1,4,1,200,1,4
11001,4,0,backpropagation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,1,1,4,1,200,1,4
11001,4,0,gated_point_emulation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,1,1,4,1,200,1,4
11001,4,0.25,neuron_shared_k1,0.4445156157,0.8187255859,0.4578858614,0.8030000329,0.9883702397,0.9768757224,0.6072782278,0.625,0.5,1,4,200,1,4
11001,4,0.25,correct_path,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.625,0.5,4,1,200,1,4
11001,4,0.25,within_neuron_deranged,3.55174017,0.5345458984,3.607616901,0.5095000267,0.9452521205,0.8935015798,0.4865618944,0.625,0.5,4,1,200,1,4
11001,4,0.25,backpropagation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.625,0.5,4,1,200,1,4
11001,4,0.25,gated_point_emulation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.625,0.5,4,1,200,1,4
11001,4,0.5,neuron_shared_k1,0.5255295038,0.8150634766,0.5338653326,0.7990000248,0.9834564924,0.9671866894,0.2416240424,0.25,0,1,4,200,1,4
11001,4,0.5,correct_path,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.25,0,4,1,200,1,4
11001,4,0.5,within_neuron_deranged,2.024411917,0.4931640625,2.059687138,0.469500035,-0.09619305283,0.009253103286,-0.01117683761,0.25,0,4,1,200,1,4
11001,4,0.5,backpropagation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.25,0,4,1,200,1,4
11001,4,0.5,gated_point_emulation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.25,0,4,1,200,1,4
11001,4,0.5714285714,neuron_shared_k1,0.5742884874,0.8151855469,0.5799985528,0.7925000191,0.9518558979,0.9060296416,0.1400131285,0.1428571429,-0.1428571429,1,4,200,1,4
11001,4,0.5714285714,correct_path,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
11001,4,0.5714285714,within_neuron_deranged,1.451321959,0.4434814453,1.472266674,0.427000016,-0.8390229344,0.703959465,-0.1440434158,0.1428571429,-0.1428571429,4,1,200,1,4
11001,4,0.5714285714,backpropagation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
11001,4,0.5714285714,gated_point_emulation,0.414491266,0.8212890625,0.4337644279,0.8015000224,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4
