branches,conflict_probability,contrast,left_condition,right_condition,endpoint,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
4,0,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.2334500134,0.2260500163,0.2410000116,20,0,1.907348633e-06
4,0,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-3.213724829,-3.658254793,-2.764988077,0,0,1.907348633e-06
4,0,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.25,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.00287500322,0.001199996475,0.004550007064,13,2,0.006069596384
4,0.25,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.02399585247,-0.02525315173,-0.02276066292,0,0,1.907348633e-06
4,0.25,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.2356750101,0.2115493785,0.2529500069,20,0,1.907348633e-06
4,0.25,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-2.171797223,-2.610851829,-1.702033648,0,0,1.907348633e-06
4,0.25,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.25,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.25,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.25,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.5,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.007274997225,0.00507498978,0.009575003375,18,1,0.0001543810455
4,0.5,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.09991313368,-0.1034594791,-0.09663162254,0,0,1.907348633e-06
4,0.5,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.29590002,0.288950026,0.3031750098,20,0,8.844915021e-05
4,0.5,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-1.581922771,-1.794167818,-1.360112339,0,0,1.907348633e-06
4,0.5,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.5,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.5,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.5,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.0156000018,0.01210000507,0.01912499075,20,0,8.844915021e-05
4,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.1481016263,-0.1523340647,-0.1440625552,0,0,1.907348633e-06
4,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.3375500172,0.3290993853,0.3469750197,20,0,1.907348633e-06
4,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-1.318806566,-1.483598636,-1.157115716,0,0,1.907348633e-06
4,0.5714285714,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.5714285714,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.6,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.02147500513,0.01682436322,0.02645000514,19,0,3.814697266e-06
4,0.6,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.17475494,-0.1796208304,-0.1702015268,0,0,1.907348633e-06
4,0.6,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.3844500206,0.3590250267,0.4179750265,20,0,8.844915021e-05
4,0.6,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-1.28872204,-1.453860809,-1.129478705,0,0,1.907348633e-06
4,0.6,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.6,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.6,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.6,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.2904500112,0.2605250149,0.322100012,20,0,8.844915021e-05
4,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.2617017761,-0.2683001059,-0.2555572185,0,0,1.907348633e-06
4,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.515150024,0.4912250219,0.5381500274,20,0,1.907348633e-06
4,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-1.448646702,-1.539956543,-1.36804328,0,0,1.907348633e-06
4,0.6666666667,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.6666666667,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,0.75,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5792000271,0.5723750315,0.5854756546,20,0,1.907348633e-06
4,0.75,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.4548826143,-0.4657924812,-0.4449129814,0,0,1.907348633e-06
4,0.75,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.5687750287,0.5610743959,0.5761750303,20,0,1.907348633e-06
4,0.75,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-2.365759261,-2.415511291,-2.312997263,0,0,1.907348633e-06
4,0.75,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,0.75,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,0.75,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,0.75,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
4,1,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5820000276,0.5745750352,0.5887250237,20,0,1.907348633e-06
4,1,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-2.332133515,-2.362460763,-2.302426172,0,0,1.907348633e-06
4,1,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.572575026,0.5644243929,0.5798250273,20,0,1.907348633e-06
4,1,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-6.551367326,-6.611120355,-6.48653758,0,0,1.907348633e-06
4,1,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
4,1,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
4,1,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
4,1,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,-0.00160000027,-0.003350001565,0.0002006395145,5,1,0.05854776138
8,0,correct - shared,correct_path,neuron_shared_k1,test_loss,20,0.00066041797,0.0001837080652,0.001223114307,14,0,0.01531219482
8,0,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.119900009,0.09987501487,0.1400756348,20,0,1.907348633e-06
8,0,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.3580907211,-0.4433663503,-0.2769329203,0,0,1.907348633e-06
8,0,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.25,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.0024500042,0.0009249985147,0.004024997335,13,1,0.0118814571
8,0.25,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.04208092988,-0.04372915167,-0.04041954388,0,0,1.907348633e-06
8,0.25,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.1384750068,0.1157250106,0.1614256342,20,0,1.907348633e-06
8,0.25,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.2807644531,-0.347968494,-0.216124195,0,0,1.907348633e-06
8,0.25,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.25,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.25,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.25,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.5,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.02175000309,0.01614999465,0.02752500184,20,0,8.844915021e-05
8,0.5,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.1649909452,-0.1693881285,-0.1607420636,0,0,1.907348633e-06
8,0.5,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.3044500217,0.291425021,0.3173250244,20,0,8.844915021e-05
8,0.5,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.3539904997,-0.3894861933,-0.3218531635,0,0,1.907348633e-06
8,0.5,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.5,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.5,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.5,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.2786000118,0.2565500169,0.300375016,20,0,1.907348633e-06
8,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.2396050081,-0.2453072478,-0.2339973623,0,0,1.907348633e-06
8,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.4289000213,0.4110500157,0.4476750254,20,0,1.907348633e-06
8,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.4707165882,-0.5034531892,-0.4419776308,0,0,1.907348633e-06
8,0.5714285714,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.5714285714,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.6,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5017500274,0.4893250316,0.514075026,20,0,8.844915021e-05
8,0.6,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.2788957164,-0.2856054975,-0.272390452,0,0,1.907348633e-06
8,0.6,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.4710250243,0.4536743976,0.4890750289,20,0,1.907348633e-06
8,0.6,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.532089667,-0.5580849806,-0.5069487809,0,0,1.907348633e-06
8,0.6,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.6,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.6,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.6,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5712750278,0.561899397,0.5805500232,20,0,1.907348633e-06
8,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.399477534,-0.4081937418,-0.3914148101,0,0,1.907348633e-06
8,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.5357250288,0.5224250219,0.5487750338,20,0,8.844915021e-05
8,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-0.7364228413,-0.7581138034,-0.7149327758,0,0,1.907348633e-06
8,0.6666666667,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.6666666667,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,0.75,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5790000282,0.5688750363,0.5889000244,20,0,1.907348633e-06
8,0.75,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.6286276921,-0.6412110443,-0.6169640372,0,0,1.907348633e-06
8,0.75,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.564975027,0.5555500232,0.574775661,20,0,8.832385863e-05
8,0.75,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-1.131322865,-1.15529237,-1.106783355,0,0,1.907348633e-06
8,0.75,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,0.75,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,0.75,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,0.75,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
8,1,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.5739500291,0.5642000271,0.5833500244,20,0,1.907348633e-06
8,1,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-1.92540267,-1.949562072,-1.902555112,0,0,1.907348633e-06
8,1,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.5682500288,0.5590750328,0.5773250327,20,0,1.907348633e-06
8,1,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-2.962117188,-2.999518767,-2.922434737,0,0,1.907348633e-06
8,1,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
8,1,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
8,1,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
8,1,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
