branches,conflict_probability,condition,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_test_loss,ci95_low_test_loss,ci95_high_test_loss,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_signed_utility,ci95_low_initial_signed_utility,ci95_high_initial_signed_utility
2,0.5714285714,backpropagation,20,0.79990004,0.7957250445,0.8046000391,0.4228547782,0.4176070334,0.4278558525,1,1,1,1,1,1,1,1,1
2,0.5714285714,correct_path,20,0.79990004,0.7957250476,0.804575035,0.4228547782,0.4174832838,0.4278597485,1,1,1,1,1,1,1,1,1
2,0.5714285714,gated_point_emulation,20,0.79990004,0.7958000392,0.8046000362,0.4228547782,0.4174815893,0.4277737048,1,1,1,1,1,1,1,1,1
2,0.5714285714,neuron_shared_k1,20,0.7974250346,0.7933000355,0.8021756609,0.4667866245,0.462843651,0.4704331355,0.9970683098,0.996263194,0.9977585804,0.9941481918,0.9925004658,0.9955142925,0.4288491204,0.4246047193,0.4331462226
2,0.5714285714,within_neuron_deranged,20,0.4745500222,0.4647750214,0.4821756516,5.205671185,4.578625674,5.741819007,-0.9090740651,-0.9271116163,-0.8893893274,0.8283131301,0.7933255363,0.8613775827,-0.1423017815,-0.1509360604,-0.1335328504
2,0.6,backpropagation,20,0.79990004,0.7957000434,0.8047000378,0.4228547782,0.4176377809,0.4277765616,1,1,1,1,1,1,1,1,1
2,0.6,correct_path,20,0.79990004,0.7956994098,0.804575038,0.4228547782,0.4175995007,0.4278438272,1,1,1,1,1,1,1,1,1
2,0.6,gated_point_emulation,20,0.79990004,0.7957500368,0.8046250373,0.4228547782,0.4175801214,0.4278199634,1,1,1,1,1,1,1,1,1
2,0.6,neuron_shared_k1,20,0.7971500367,0.7925750345,0.8024000347,0.4722336277,0.4682953095,0.4758136869,0.9969734669,0.9961186866,0.9976667941,0.9939592272,0.9922779398,0.9953374074,0.4005492911,0.3964038378,0.4048408966
2,0.6,within_neuron_deranged,20,0.4679000214,0.4619000197,0.4738250196,5.045322418,4.615648995,5.47322705,-0.954683879,-0.9636835713,-0.9446460744,0.9118965954,0.8931142531,0.9291333615,-0.198901441,-0.2071992612,-0.1902298262
2,0.6666666667,backpropagation,20,0.79990004,0.7956750423,0.8045250356,0.4228547782,0.4176541635,0.4278849798,1,1,1,1,1,1,1,1,1
2,0.6666666667,correct_path,20,0.79990004,0.7956750423,0.8046250373,0.4228547782,0.4175744923,0.4278511849,1,1,1,1,1,1,1,1,1
2,0.6666666667,gated_point_emulation,20,0.79990004,0.7957000405,0.8046250373,0.4228547782,0.4175933445,0.4277810442,1,1,1,1,1,1,1,1,1
2,0.6666666667,neuron_shared_k1,20,0.797200045,0.7927250385,0.8023750484,0.4875270814,0.4838864765,0.490949369,0.995419845,0.9942757671,0.9963853224,0.9908664644,0.9885751441,0.9927924249,0.3343137994,0.3297353305,0.338968805
2,0.6666666667,within_neuron_deranged,20,0.3770250172,0.3518250167,0.3993500173,4.422552693,4.090013361,4.761453254,-0.9813473195,-0.9856357045,-0.9763876139,0.9631553441,0.9535068191,0.9715791849,-0.331372422,-0.3405537078,-0.3220398391
2,0.75,backpropagation,20,0.79990004,0.7956500411,0.8045500368,0.4228547782,0.4175616812,0.4277609883,1,1,1,1,1,1,1,1,1
2,0.75,correct_path,20,0.79990004,0.7956500381,0.8047000408,0.4228547782,0.4175962742,0.4278268434,1,1,1,1,1,1,1,1,1
2,0.75,gated_point_emulation,20,0.79990004,0.7957250416,0.8046750367,0.4228547782,0.4176461714,0.4277586441,1,1,1,1,1,1,1,1,1
2,0.75,neuron_shared_k1,20,0.795625034,0.7910250276,0.8007000358,0.513631016,0.5102124922,0.5168784044,0.9905321926,0.9881550091,0.992574577,0.9811802089,0.9763947942,0.9852277529,0.2503013752,0.2455933016,0.2553435527
2,0.75,within_neuron_deranged,20,0.233325009,0.2235000074,0.2441000097,5.594026852,5.466600068,5.727503147,-0.9900374859,-0.9927057952,-0.9866736169,0.9802222371,0.9735684168,0.9854532136,-0.4993972629,-0.5089044408,-0.4896881487
2,1,backpropagation,20,0.79990004,0.7956750423,0.8045750379,0.4228547782,0.4175734408,0.4278895539,1,1,1,1,1,1,1,1,1
2,1,correct_path,20,0.79990004,0.7957000434,0.804575035,0.4228547782,0.4175635849,0.4278308395,1,1,1,1,1,1,1,1,1
2,1,gated_point_emulation,20,0.79990004,0.7957000493,0.8046250344,0.4228547782,0.4176129,0.4278142384,1,1,1,1,1,1,1,1,1
2,1,neuron_shared_k1,20,0.4509000257,0.4022993976,0.5000006532,0.7001819909,0.6945552296,0.7058664632,-0.024326069,-0.1345685926,0.08619098194,0.06411823319,0.03708167888,0.09504451654,-0.001060837902,-0.006782060388,0.004453249609
2,1,within_neuron_deranged,20,0.2240500107,0.2198000118,0.2282000095,14.43574738,14.28212456,14.59670894,-0.9950466961,-0.9960010971,-0.9940138798,0.9901232392,0.9880519913,0.9920587894,-1.002121699,-1.013440699,-0.990958716
4,0,backpropagation,20,0.7961000383,0.7921500385,0.7995500357,0.4333341405,0.4293402721,0.437490769,1,1,1,1,1,1,1,1,1
4,0,correct_path,20,0.7961000383,0.792100042,0.7995250404,0.4333341405,0.4293260007,0.4375216529,1,1,1,1,1,1,1,1,1
4,0,gated_point_emulation,20,0.7961000383,0.7921000361,0.7995250374,0.4333341405,0.4292650324,0.437590518,1,1,1,1,1,1,1,1,1
4,0,neuron_shared_k1,20,0.796050036,0.7921250343,0.7995756615,0.4326927334,0.428824623,0.4367297629,0.9950207233,0.9936628836,0.9962655479,0.9900750101,0.9873626156,0.9924975715,0.990075025,0.9873437776,0.9925058947
4,0,within_neuron_deranged,20,0.5626500249,0.5557750195,0.569925653,3.64705897,3.192902201,4.085801033,0.9872258574,0.9835185187,0.990406573,0.9746776849,0.96730213,0.9809608875,0.9872258514,0.9835112048,0.9904583368
4,0.25,backpropagation,20,0.7961000383,0.7920244109,0.7995500357,0.4333341405,0.4292892984,0.4376383628,1,1,1,1,1,1,1,1,1
4,0.25,correct_path,20,0.7961000383,0.7921500384,0.7996250361,0.4333341405,0.4293247006,0.4375135571,1,1,1,1,1,1,1,1,1
4,0.25,gated_point_emulation,20,0.7961000383,0.7920750439,0.7995750368,0.4333341405,0.4292629555,0.4375595444,1,1,1,1,1,1,1,1,1
4,0.25,neuron_shared_k1,20,0.7932250351,0.7892750323,0.797050035,0.457329993,0.4543322333,0.4604577224,0.9950879007,0.9939385015,0.9961178473,0.9902060658,0.9879032577,0.992265708,0.6206575155,0.6170359688,0.6243593688
4,0.25,within_neuron_deranged,20,0.5604250282,0.544350025,0.5824006578,2.605131364,2.141940691,3.046111837,0.9734820038,0.9677338094,0.9788550671,0.9478274286,0.9366958236,0.9581226192,0.4905450791,0.483433534,0.4972758165
4,0.5,backpropagation,20,0.7961000383,0.7921500384,0.7995500326,0.4333341405,0.4293024099,0.4376188023,1,1,1,1,1,1,1,1,1
4,0.5,correct_path,20,0.7961000383,0.7921500414,0.7995750368,0.4333341405,0.4292655732,0.4375834779,1,1,1,1,1,1,1,1,1
4,0.5,gated_point_emulation,20,0.7961000383,0.7921250372,0.7995750338,0.4333341405,0.4292451617,0.4375908671,1,1,1,1,1,1,1,1,1
4,0.5,neuron_shared_k1,20,0.7888250411,0.7846000462,0.7927500457,0.5332472742,0.5308550636,0.5356772013,0.9872275054,0.9844907884,0.9894874612,0.9746508151,0.9693681627,0.9789899405,0.2520234607,0.2470126518,0.2566177198
4,0.5,within_neuron_deranged,20,0.5002000183,0.49427502,0.5058000148,2.015256912,1.795545929,2.225275476,0.02251812974,-0.05855019219,0.09892131421,0.03390132909,0.01835574751,0.05257069197,0.002186282585,-0.00654916838,0.01012761348
4,0.5714285714,backpropagation,20,0.7961000383,0.7922000377,0.7996250331,0.4333341405,0.429363343,0.4375978577,1,1,1,1,1,1,1,1,1
4,0.5714285714,correct_path,20,0.7961000383,0.7920750349,0.799550669,0.4333341405,0.4293041,0.437557188,1,1,1,1,1,1,1,1,1
4,0.5714285714,gated_point_emulation,20,0.7961000383,0.7921250403,0.7995500386,0.4333341405,0.4292822945,0.4376233974,1,1,1,1,1,1,1,1,1
4,0.5714285714,neuron_shared_k1,20,0.7805000365,0.7759750426,0.7849750371,0.5814357668,0.5786989384,0.5842753682,0.9630193651,0.9556888454,0.9692387102,0.9276493758,0.9137764447,0.9395510594,0.1463196352,0.1412170567,0.1508334706
4,0.5714285714,within_neuron_deranged,20,0.4585500211,0.4500250191,0.4663000212,1.752140707,1.593814121,1.915256948,-0.8389842927,-0.8601794457,-0.8172259525,0.7063243628,0.6699180046,0.7424363993,-0.1370888092,-0.1446096223,-0.130233484
4,0.6,backpropagation,20,0.7961000383,0.7921244068,0.7995500416,0.4333341405,0.4293348919,0.4376284732,1,1,1,1,1,1,1,1,1
4,0.6,correct_path,20,0.7961000383,0.7920750379,0.7995750338,0.4333341405,0.4292785547,0.4374949035,1,1,1,1,1,1,1,1,1
4,0.6,gated_point_emulation,20,0.7961000383,0.7922250449,0.7995750338,0.4333341405,0.4292867542,0.4376204271,1,1,1,1,1,1,1,1,1
4,0.6,neuron_shared_k1,20,0.7746250331,0.7690500289,0.7798000247,0.6080890805,0.6050267597,0.6112783539,0.9253423005,0.9110962637,0.9383037909,0.8572063625,0.8318733551,0.8804356045,0.1031454861,0.09810746468,0.1077610151
4,0.6,within_neuron_deranged,20,0.4116500176,0.3795000165,0.436175017,1.72205618,1.562532969,1.883565333,-0.9086014658,-0.9216009437,-0.8947998323,0.8264915496,0.8017488266,0.850349087,-0.1945813827,-0.202426883,-0.187271428
4,0.6666666667,backpropagation,20,0.7961000383,0.7921250371,0.7995250344,0.4333341405,0.4292568714,0.4376133151,1,1,1,1,1,1,1,1,1
4,0.6666666667,correct_path,20,0.7961000383,0.7921500414,0.7995500357,0.4333341405,0.4292897161,0.4375626708,1,1,1,1,1,1,1,1,1
4,0.6666666667,gated_point_emulation,20,0.7961000383,0.7920250386,0.7995750309,0.4333341405,0.4292399812,0.4375738254,1,1,1,1,1,1,1,1,1
4,0.6666666667,neuron_shared_k1,20,0.5056500271,0.4755744003,0.5351000294,0.6950359166,0.691163318,0.6994356962,0.07476584585,-0.03395712599,0.1756209054,0.06296058184,0.03840363937,0.091088087,0.003246244209,-0.001858868646,0.00782758554
4,0.6666666667,within_neuron_deranged,20,0.2809500143,0.2577250145,0.3048000105,1.881980842,1.802032889,1.971996519,-0.9610079408,-0.9668438268,-0.9550587117,0.9237167597,0.9124307792,0.9349249689,-0.3267601207,-0.3347739005,-0.3194359758
4,0.75,backpropagation,20,0.7961000383,0.7921750426,0.7995756645,0.4333341405,0.4293001578,0.4376344901,1,1,1,1,1,1,1,1,1
4,0.75,correct_path,20,0.7961000383,0.7920500398,0.7995250374,0.4333341405,0.4293073258,0.4375674659,1,1,1,1,1,1,1,1,1
4,0.75,gated_point_emulation,20,0.7961000383,0.7920250415,0.7995500415,0.4333341405,0.4293034318,0.4375484813,1,1,1,1,1,1,1,1,1
4,0.75,neuron_shared_k1,20,0.2169000111,0.2132000096,0.2205500111,0.8882167548,0.8809189013,0.8963487782,-0.9083585054,-0.9220849039,-0.8934672757,0.8261962592,0.7994706533,0.8506668497,-0.1198349606,-0.1249619938,-0.1149593842
4,0.75,within_neuron_deranged,20,0.2273250095,0.221775011,0.2330250085,2.799093401,2.748896517,2.847046892,-0.9802557767,-0.9830335362,-0.9772611086,0.9609452307,0.95509408,0.9665457112,-0.4919152826,-0.5010515946,-0.4836800089
4,1,backpropagation,20,0.7961000383,0.7920750439,0.799600032,0.4333341405,0.4292591333,0.4375624475,1,1,1,1,1,1,1,1,1
4,1,correct_path,20,0.7961000383,0.7921000361,0.7995250344,0.4333341405,0.4292475776,0.4376154758,1,1,1,1,1,1,1,1,1
4,1,gated_point_emulation,20,0.7961000383,0.7920500456,0.7995750308,0.4333341405,0.4293251012,0.4376197662,1,1,1,1,1,1,1,1,1
4,1,neuron_shared_k1,20,0.2141000107,0.21045001,0.2178000122,2.765467656,2.737451333,2.793731504,-0.9830913126,-0.9858125459,-0.9800791464,0.9665114432,0.9606083871,0.9718403636,-0.4889140099,-0.4945911648,-0.4833069693
4,1,within_neuron_deranged,20,0.2235250123,0.2192250125,0.2281000145,6.984701467,6.922060257,7.043824118,-0.9907063514,-0.991906816,-0.9895305778,0.9815065771,0.979157038,0.9838564984,-0.9805130541,-0.9882989132,-0.9725793027
8,0,backpropagation,20,0.79365004,0.7886000395,0.7985250413,0.454116042,0.4494795892,0.4589318325,1,1,1,1,1,1,1,1,1
8,0,correct_path,20,0.79365004,0.7886250406,0.7985756712,0.454116042,0.4493576763,0.4589414253,1,1,1,1,1,1,1,1,1
8,0,gated_point_emulation,20,0.79365004,0.7885250478,0.7985250414,0.454116042,0.4493829568,0.458948438,1,1,1,1,1,1,1,1,1
8,0,neuron_shared_k1,20,0.7952500403,0.7906500369,0.7998000354,0.453455624,0.4488712874,0.4581794836,0.9924315363,0.9910290468,0.9935403688,0.9849287391,0.9822149199,0.987113378,0.9849287599,0.9821828993,0.9871390969
8,0,within_neuron_deranged,20,0.673750031,0.6545000285,0.6930750281,0.8122067631,0.7315741117,0.8962728628,0.9831556946,0.979630697,0.9857553661,0.9666445225,0.9598937169,0.9716496983,0.9831556946,0.9796633381,0.9857156351
8,0.25,backpropagation,20,0.79365004,0.788525036,0.7985750407,0.454116042,0.4493971312,0.4590019252,1,1,1,1,1,1,1,1,1
8,0.25,correct_path,20,0.79365004,0.7885750413,0.7986500382,0.454116042,0.4494303478,0.4589395794,1,1,1,1,1,1,1,1,1
8,0.25,gated_point_emulation,20,0.79365004,0.7886000454,0.7985750437,0.454116042,0.4493327827,0.4589668941,1,1,1,1,1,1,1,1,1
8,0.25,neuron_shared_k1,20,0.7912000358,0.7861000359,0.7961000353,0.4961969718,0.4928934004,0.4996407312,0.9921005189,0.9907757735,0.9931429372,0.984270829,0.9816410058,0.9863580582,0.5539894193,0.5511804833,0.5568645841
8,0.25,within_neuron_deranged,20,0.6551750332,0.6328250318,0.6777006587,0.7348804951,0.6720426961,0.8019675921,0.958820495,0.9525783495,0.9638764209,0.9195005745,0.9079545133,0.9291481189,0.4865068585,0.4778304411,0.4945898722
8,0.5,backpropagation,20,0.79365004,0.7886250406,0.7985750347,0.454116042,0.4493642504,0.458976005,1,1,1,1,1,1,1,1,1
8,0.5,correct_path,20,0.79365004,0.7886000394,0.7985000432,0.454116042,0.4494738758,0.4588748564,1,1,1,1,1,1,1,1,1
8,0.5,gated_point_emulation,20,0.79365004,0.7887000382,0.7984500319,0.454116042,0.4494063631,0.4590047136,1,1,1,1,1,1,1,1,1
8,0.5,neuron_shared_k1,20,0.7719000369,0.7646000326,0.7780500352,0.6191069871,0.6168881849,0.6214134313,0.9518910617,0.9430085012,0.9598365849,0.9064716011,0.8895454507,0.9212422446,0.1250724804,0.1207562122,0.1290899002
8,0.5,within_neuron_deranged,20,0.4892000183,0.4769500181,0.5011250198,0.8081065416,0.7778731306,0.8424190506,-0.06018027955,-0.1358506647,0.01219204055,0.03230727046,0.01569860991,0.05338716754,-0.007632000197,-0.01780706577,0.002147192151
8,0.5714285714,backpropagation,20,0.79365004,0.7886000334,0.7985000402,0.454116042,0.4493623326,0.4588926303,1,1,1,1,1,1,1,1,1
8,0.5714285714,correct_path,20,0.79365004,0.7885500371,0.7985500395,0.454116042,0.4494177493,0.4589433232,1,1,1,1,1,1,1,1,1
8,0.5714285714,gated_point_emulation,20,0.79365004,0.7886000483,0.7985750467,0.454116042,0.4493772387,0.4589423345,1,1,1,1,1,1,1,1,1
8,0.5714285714,neuron_shared_k1,20,0.5150500283,0.4933743979,0.5372000264,0.69372105,0.6908310996,0.6966830403,0.06705852985,-0.03563083068,0.1686257022,0.05880442243,0.02411231263,0.1027225807,0.002402060826,-0.002252415127,0.006878749896
8,0.5714285714,within_neuron_deranged,20,0.3647500187,0.3477493906,0.3814256465,0.9248326302,0.898449621,0.9549849042,-0.7455693543,-0.7731107246,-0.7166951056,0.5601419449,0.5180154607,0.6008967992,-0.1463542849,-0.1569280403,-0.1363616802
8,0.6,backpropagation,20,0.79365004,0.7886250465,0.7985750466,0.454116042,0.4494119382,0.4588697525,1,1,1,1,1,1,1,1,1
8,0.6,correct_path,20,0.79365004,0.7885500401,0.7985000431,0.454116042,0.4494292737,0.4590439971,1,1,1,1,1,1,1,1,1
8,0.6,gated_point_emulation,20,0.79365004,0.7885750443,0.798475042,0.454116042,0.4494436517,0.4590312852,1,1,1,1,1,1,1,1,1
8,0.6,neuron_shared_k1,20,0.2919000126,0.2819000117,0.3015250124,0.7330117583,0.7293494351,0.7368273211,-0.714984794,-0.7540174624,-0.6704839773,0.5200424634,0.4629352319,0.5735217561,-0.04655365944,-0.05181822091,-0.04154070309
8,0.6,within_neuron_deranged,20,0.3226250157,0.3055500134,0.3394500181,0.986205709,0.9635752143,1.010758464,-0.8382002264,-0.8545532084,-0.8199162571,0.7041670382,0.6745948001,0.7311619026,-0.2030027919,-0.213356441,-0.1930409826
8,0.6666666667,backpropagation,20,0.79365004,0.7885000437,0.7985000431,0.454116042,0.4494254652,0.4589071906,1,1,1,1,1,1,1,1,1
8,0.6666666667,correct_path,20,0.79365004,0.78867504,0.7985000402,0.454116042,0.4494139653,0.4589156559,1,1,1,1,1,1,1,1,1
8,0.6666666667,gated_point_emulation,20,0.79365004,0.7885494123,0.7985000402,0.454116042,0.4494018434,0.4589185337,1,1,1,1,1,1,1,1,1
8,0.6666666667,neuron_shared_k1,20,0.2223750122,0.2175250121,0.2271750123,0.853593576,0.8484357224,0.8591144206,-0.9488367707,-0.9558123811,-0.9403625897,0.9006077439,0.8849910681,0.9136755002,-0.160665831,-0.1660402502,-0.1555641848
8,0.6666666667,within_neuron_deranged,20,0.2579250112,0.2474243858,0.2697750122,1.190538883,1.171764138,1.210334301,-0.926932174,-0.9335578433,-0.9198193215,0.8594499111,0.8463379699,0.8716172636,-0.3337339521,-0.3439453927,-0.3248055194
8,0.75,backpropagation,20,0.79365004,0.7886000424,0.7985750377,0.454116042,0.4494123127,0.4589066443,1,1,1,1,1,1,1,1,1
8,0.75,correct_path,20,0.79365004,0.7886000395,0.7986500382,0.454116042,0.4493483803,0.4589265519,1,1,1,1,1,1,1,1,1
8,0.75,gated_point_emulation,20,0.79365004,0.7886500388,0.7985750408,0.454116042,0.4494460975,0.4589299315,1,1,1,1,1,1,1,1,1
8,0.75,neuron_shared_k1,20,0.2146500118,0.2093250118,0.2200000115,1.082743734,1.074301915,1.092087451,-0.9761493802,-0.9793882303,-0.9720033775,0.9529395908,0.9447923256,0.9591649233,-0.3038801477,-0.3099114836,-0.2982471926
8,0.75,within_neuron_deranged,20,0.228675013,0.2227250114,0.2339750133,1.585438907,1.563874381,1.606685897,-0.9630340308,-0.9666488459,-0.9589992938,0.9275107145,0.9197647445,0.934413789,-0.4984094188,-0.508570128,-0.4890724577
8,1,backpropagation,20,0.79365004,0.7884750396,0.7985000431,0.454116042,0.4494513162,0.458933714,1,1,1,1,1,1,1,1,1
8,1,correct_path,20,0.79365004,0.7885750383,0.7985750407,0.454116042,0.4494851179,0.4589428139,1,1,1,1,1,1,1,1,1
8,1,gated_point_emulation,20,0.79365004,0.7885744107,0.7985506673,0.454116042,0.4494707108,0.4589147259,1,1,1,1,1,1,1,1,1
8,1,neuron_shared_k1,20,0.2197000109,0.2148250103,0.2245500103,2.379518712,2.359977784,2.399908389,-0.9871279925,-0.9890320888,-0.9845986664,0.974448216,0.96945478,0.9782471181,-0.7324737817,-0.7397036295,-0.7250620225
8,1,within_neuron_deranged,20,0.2254000112,0.2205500103,0.2301000133,3.41623323,3.379848085,3.451183618,-0.9851306349,-0.9870919696,-0.9826973506,0.9705082983,0.9656474501,0.9743658443,-0.9840780258,-0.9946401225,-0.9733578501
