sweep_dir,sweep_name,config_id,dataset,encoder_type,router_mode,pathway_dim,network_type,strategy,layer_sizes,branch_factors,ie_value,ee_value,seed,rule_variant,error_broadcast_mode,error_noise_sigma,encoder_update_mode,decoder_update_mode,dynamics_mode,rho_mode,use_path_propagation,morphology_modulator_mode,use_dendritic_normalization,use_branch_type_rules,use_conductance_scaling,use_driving_force,hsic_enabled,hsic_weight,train_accuracy,valid_accuracy,test_accuracy,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,nparams,run_dir,lr,decoder_lr,mi_E_I_C,mi_E_C,mi_I_C,mi_Vb_C,mi_Vout_C,router_mean_max_assignment,router_assignment_entropy,router_num_routed_features,router_target_alignment
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_40,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.0,0.9221875071525574,0.9081666469573975,0.9134999513626099,-0.2580289840698242,-0.3047536611557007,-0.2959575057029724,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_40,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_45,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.01,0.9221875071525574,0.9081666469573975,0.9134999513626099,-0.2580289840698242,-0.3047536611557007,-0.2959575057029724,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_45,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_55,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,1.0,0.9221875071525574,0.9081666469573975,0.9134999513626099,-0.2580289840698242,-0.3047536611557007,-0.2959575057029724,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_55,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_73,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,45,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.1,0.9141666293144226,0.9079166650772095,0.9090999960899353,-0.273894727230072,-0.3116300404071808,-0.2987971603870392,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_73,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_69,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.01,0.9160624742507935,0.9073333144187927,0.9063999652862549,-0.2681410610675812,-0.3121004104614258,-0.3009728789329529,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_69,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_71,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,43,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.1,0.921958327293396,0.9071666598320007,0.9126999974250793,-0.25787264108657837,-0.31336888670921326,-0.2901037037372589,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_71,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_49,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.01,0.9166874885559082,0.9057499766349792,0.9084999561309814,-0.2642233371734619,-0.31970953941345215,-0.29595452547073364,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_49,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_64,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.0,0.9166874885559082,0.9057499766349792,0.9084999561309814,-0.2642233371734619,-0.31970953941345215,-0.29595452547073364,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_64,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_59,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,1.0,0.9166874885559082,0.9057499766349792,0.9084999561309814,-0.2642233371734619,-0.31970953941345215,-0.29595452547073364,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_59,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_54,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.1,0.9166874885559082,0.9057499766349792,0.9084999561309814,-0.2642233371734619,-0.31970953941345215,-0.29595452547073364,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_54,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_44,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,46,5f,per_soma,,,local,,dot,False,none,False,False,True,True,False,0.0,0.9166874885559082,0.9057499766349792,0.9084999561309814,-0.2642233371734619,-0.31970953941345215,-0.29595452547073364,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_44,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_72,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,44,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.1,0.9192708134651184,0.9055833220481873,0.9138999581336975,-0.26525068283081055,-0.30898210406303406,-0.28401148319244385,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_72,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_67,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,44,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.01,0.9162291288375854,0.9049166440963745,0.906499981880188,-0.2717181444168091,-0.311474472284317,-0.3042919337749481,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_67,0.0015,0.0015,,,,,,,,,
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300,phase2b_gap_pilot,config_65,mnist,identity,,,dendritic_shunting,local_ca,[128],"[3,3]",20,40,42,5f,per_soma,,,local,,dot,False,none,False,False,True,True,True,0.01,0.90625,0.8953333497047424,0.898099958896637,-0.3046966791152954,-0.3503771126270294,-0.34032759070396423,,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_phase2b_gap_closing_pilot_20260218161300/results/config_65,0.0015,0.0015,,,,,,,,,
