group,run_name,run_dir,seed,strategy,network_type,router_mode,variant,display_label,train_accuracy,valid_accuracy,test_accuracy,router_mean_max_assignment,router_assignment_entropy
cue_hard_learned_shunting_localca,cue_hard_learned_shunting_localca_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_18,45,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",0.7447500228881836,0.7630000114440918,0.7350000143051147,0.9392456412315369,0.1715722680091858
cue_hard_learned_shunting_localca,cue_hard_learned_shunting_localca_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_19,46,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",0.7035000324249268,0.7170000076293945,0.706000030040741,0.999436616897583,0.003783541265875101
cue_hard_fixed_additive_localca,cue_hard_fixed_additive_localca_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_2,44,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",0.9913750290870667,0.9930000305175781,0.9880000352859497,,
cue_hard_learned_shunting_localca_temp03,cue_hard_learned_shunting_localca_temp03_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_20,42,local_ca,dendritic_shunting,learned,temp03,"Learned
Shunting
low-temp",0.7505000233650208,0.7740000486373901,0.7260000109672546,1.0,6.994920614955547e-11
cue_hard_learned_shunting_localca_temp03,cue_hard_learned_shunting_localca_temp03_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_21,43,local_ca,dendritic_shunting,learned,temp03,"Learned
Shunting
low-temp",0.9938750267028809,0.9960000514984131,0.9850000739097595,1.0,6.994920614955547e-11
cue_hard_learned_shunting_localca_temp03,cue_hard_learned_shunting_localca_temp03_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_22,44,local_ca,dendritic_shunting,learned,temp03,"Learned
Shunting
low-temp",0.9518750309944153,0.9520000219345093,0.9490000605583191,1.0,6.994920614955547e-11
cue_hard_learned_shunting_localca_temp03,cue_hard_learned_shunting_localca_temp03_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_23,45,local_ca,dendritic_shunting,learned,temp03,"Learned
Shunting
low-temp",0.7453750371932983,0.7640000581741333,0.737000048160553,1.0,6.994920614955547e-11
cue_hard_learned_shunting_localca_temp03,cue_hard_learned_shunting_localca_temp03_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_24,46,local_ca,dendritic_shunting,learned,temp03,"Learned
Shunting
low-temp",0.9798750281333923,0.9930000305175781,0.984000027179718,1.0,6.994920614955547e-11
cue_hard_learned_shunting_localca_freeze20,cue_hard_learned_shunting_localca_freeze20_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_25,42,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",0.7487500309944153,0.7720000147819519,0.7260000109672546,0.9732928276062012,0.10374205559492111
cue_hard_learned_shunting_localca_freeze20,cue_hard_learned_shunting_localca_freeze20_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_26,43,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",0.9881250262260437,0.9920000433921814,0.9860000610351562,0.9999921917915344,9.279613732360303e-05
cue_hard_learned_shunting_localca_freeze20,cue_hard_learned_shunting_localca_freeze20_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_27,44,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",0.7443750500679016,0.753000020980835,0.7510000467300415,0.969260573387146,0.09988009929656982
cue_hard_learned_shunting_localca_freeze20,cue_hard_learned_shunting_localca_freeze20_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_28,45,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",0.7445000410079956,0.7620000243186951,0.7330000400543213,0.9638285636901855,0.12406846880912781
