cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture,panel
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,subtrees_k3,262144,0.8914016671318752,0.9181835392413052,G
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,broadcast_k1,262144,0.7634087282433771,0.8373196015233416,G
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,subtrees_k3,262144,0.8595213897348649,0.9360309012409858,G
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,broadcast_k1,262144,0.5320837236893263,0.532271045127799,G
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,subtrees_k3,262144,0.5321723338574043,0.5323593572645541,G
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,broadcast_k1,262144,0.6257940740169892,0.7524662684715314,G
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,subtrees_k3,262144,0.6608565035222905,0.8124494189665535,G
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,broadcast_k1,262144,0.5315524168769317,0.5313608505164165,G
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,subtrees_k3,262144,0.5316414022759223,0.5314507694593229,G
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,broadcast_k1,262144,0.628727507393542,0.753892878599703,G
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,exact_k12,262144,1.0,1.0,G
