scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability
target256456_ses7_scan4_automatic_conservative,10,0.2112685463479796,0.2112685463479796,0.2207889699229861,0.2119595868517723,0.0027048115588861,1000,864691135591111179,0.2112685463479795
target256550_ses5_scan6_automatic_conservative,0,0.3545632364868088,0.3545632364868088,0.3691685979790969,0.3531681933113877,0.0024381039290364,1000,864691135336055529,0.3545632364868088
target256550_ses5_scan6_automatic_conservative,1,0.2214636706264014,0.2214636706264014,0.2313968277173647,0.2195215209198034,0.0026003313007604,1000,864691135469501522,0.2214636706264013
target256550_ses5_scan6_automatic_conservative,2,0.2156051715089929,0.2156051715089929,0.2253019429871667,0.2193586326988216,0.0025076089752934,1000,864691135641008443,0.2156051715089929
target256550_ses5_scan6_automatic_conservative,3,0.3329946090358284,0.3329946090358284,0.3469470274797008,0.3329461285244025,0.0025038511448079,1000,864691135774179147,0.3329946090358284
target256550_ses5_scan6_automatic_conservative,4,0.3524879538189971,0.3524879538189971,0.3670324928381812,0.3517136539287247,0.0024125265598481,1000,864691136312150874,0.3524879538189971
target256550_ses5_scan6_automatic_conservative,5,0.2409570154095701,0.2409570154095701,0.2516607172883223,0.2446414484041791,0.0024276316708317,1000,864691135694415551,0.2409570154095701
target256550_ses5_scan6_automatic_conservative,6,0.4041553361003769,0.4041553361003769,0.4200787620619258,0.4049675635704403,0.0023208754364016,1000,864691136904656818,0.4041553361003768
target256550_ses5_scan6_automatic_conservative,7,0.3418586899479987,0.3418586899479987,0.3560849662612954,0.3443267305949143,0.00242382448599,1000,864691136005322698,0.3418586899479987
target256550_ses5_scan6_automatic_conservative,8,0.3048041601068651,0.3048041601068651,0.3178369009159442,0.3061434998330232,0.0024394443881425,1000,864691136108586969,0.3048041601068651
target256550_ses5_scan6_automatic_conservative,9,0.2612757024951099,0.2612757024951099,0.2727546366716751,0.2610519679404608,0.0025614659483144,1000,864691135997141418,0.2612757024951099
target256550_ses5_scan7_automatic_conservative,0,0.2456466771623491,0.2456466771623491,0.2565319222440796,0.2453826248747674,0.0025849059178119,1000,864691135698428826,0.2456466771623491
target256550_ses5_scan7_automatic_conservative,1,0.3627975764515052,0.3627975764515052,0.3776399497552169,0.3638787510137875,0.0024211372285714,1000,864691135595986219,0.3627975764515051
target256550_ses5_scan7_automatic_conservative,2,0.3535041267115119,0.3535041267115119,0.3680785020734796,0.350068808740041,0.0024187446979837,1000,864691136425794351,0.3535041267115118
target256550_ses5_scan7_automatic_conservative,3,0.2007537808310672,0.2007537808310672,0.2098419434901743,0.2026975716807404,0.0026767808546071,1000,864691135853034439,0.2007537808310671
target256550_ses5_scan7_automatic_conservative,4,0.1706693382949286,0.1706693382949286,0.1784867372897361,0.1701609035828443,0.0026528980978613,1000,864691135742189460,0.1706693382949286
target256550_ses5_scan7_automatic_conservative,5,0.3527789704689661,0.3527789704689661,0.3673320647989266,0.3501665855636658,0.0024697562247249,1000,864691136906164146,0.3527789704689661
target256550_ses5_scan7_automatic_conservative,6,0.2765803158246266,0.2765803158246266,0.2886229224616371,0.2810438958064977,0.0024616540356911,1000,864691136665210846,0.2765803158246266
target256550_ses5_scan7_automatic_conservative,7,0.0864748819235723,0.0864748819235723,0.0905253460352609,0.0837484089499546,0.0026950611584877,1000,864691136904656818,0.0864748819235723
target256550_ses9_scan4_automatic_conservative,0,0.2658890320118315,0.2658890320118315,0.2775397668358997,0.2665520108773436,0.0025903484450155,1000,864691135469501522,0.2658890320118314
target256550_ses9_scan4_automatic_conservative,1,0.1418014407709555,0.1418014407709555,0.1483577270381797,0.1393882734602356,0.002666140520284,1000,864691136108586969,0.1418014407709555
target256550_ses9_scan4_automatic_conservative,2,0.1692190258098373,0.1692190258098373,0.1769739823841356,0.1738604169648394,0.0026303493240816,1000,864691135429733424,0.1692190258098373
target256550_ses9_scan4_automatic_conservative,3,0.3708363150613043,0.3708363150613043,0.3859032995490886,0.3680616669052049,0.002318751831093,1000,864691136312150874,0.3708363150613042
target256550_ses9_scan4_automatic_conservative,4,0.1154095701540957,0.1154095701540957,0.1207830797302901,0.1124964887171413,0.0026309000800682,1000,864691135774179147,0.1154095701540957
target256550_ses9_scan4_automatic_conservative,5,0.2361480845379514,0.2361480845379514,0.2466640506414146,0.2386941415008825,0.0025898499792782,1000,864691135577617694,0.2361480845379513
target256550_ses9_scan4_automatic_conservative,6,0.1128428987166642,0.1128428987166642,0.1181000653097739,0.1115152330518582,0.002619784821615,1000,864691135641008443,0.1128428987166642
target256550_ses9_scan4_automatic_conservative,7,0.2465674347597919,0.2465674347597919,0.2574881428921698,0.249879495253089,0.0026357508206149,1000,864691135618461289,0.2465674347597919
target256550_ses9_scan4_automatic_conservative,8,0.4318210009064453,0.4318210009064453,0.4483588473883514,0.430254906731549,0.002247853173553,1000,864691136914235889,0.4318210009064453
target256550_ses9_scan4_automatic_conservative,9,0.4074137684270789,0.4074137684270789,0.4234142547159902,0.4083487810696055,0.0023062919875803,1000,864691135861093992,0.4074137684270788
target256550_ses9_scan4_automatic_conservative,10,0.1932875339916988,0.1932875339916988,0.2020648788754883,0.1968337054529841,0.0026736735968204,1000,864691135361314119,0.1932875339916988
target256550_ses9_scan4_automatic_conservative,11,0.1261437908496732,0.1261437908496732,0.1320014453796369,0.1258914269357378,0.0025793678622106,1000,864691135571440006,0.1261437908496731
target256550_ses9_scan4_automatic_conservative,12,0.1470111158818758,0.1470111158818758,0.1537976970398459,0.1504294690138829,0.0026927841922938,1000,864691135755033805,0.1470111158818758
target258209_ses4_scan7_automatic_conservative,0,0.3537378941844377,0.3537378941844377,0.3683191185739281,0.3512765946281188,0.0023779588247606,1000,864691135102434592,0.3537378941844377
target258209_ses4_scan7_automatic_conservative,1,-0.1877963837603167,0.0,0.0,-0.0020442249892657,0.0027663658896153,1000,864691135573296677,-0.1877963837603167
target258209_ses4_scan7_automatic_conservative,2,0.2937025905252612,0.2937025905252612,0.30635380016303,0.2947198463813749,0.0026438946491275,1000,864691136100052085,0.2937025905252611
target258209_ses4_scan7_automatic_conservative,3,0.1275273126282143,0.1275273126282143,0.1334470721920529,0.1275973236009732,0.0026835158627823,1000,864691135545285672,0.1275273126282143
target258209_ses4_scan7_automatic_conservative,4,0.1556128047325986,0.1556128047325986,0.1627771017156781,0.1543527980535279,0.0026370425139712,1000,864691136906009522,0.1556128047325986
target258209_ses4_scan7_automatic_conservative,5,0.2337102237488669,0.2337102237488669,0.2441304189067014,0.2323023329039645,0.0026495358809129,1000,864691135376325193,0.2337102237488669
target258209_ses4_scan7_automatic_conservative,6,0.1847478650827727,0.1847478650827727,0.1931659269281985,0.1827745670530986,0.0025224755624804,1000,864691136026382905,0.1847478650827727
target258209_ses4_scan7_automatic_conservative,7,0.2574734029864987,0.2574734029864987,0.2688095416997556,0.2623786746815514,0.0026224815803529,1000,864691135868145174,0.2574734029864987
