method,mode,field_match,update_match,update_cosine,static_update_match_replay_error,target_root_id,session,scan_idx,replicate,n_sites,dictionary_channels,exact_heldout_normalized_mse,exact_endpoint_replay_error
site-shuffled routes,trialwise_field_projection,0.680110823467,0.611732651147,0.782133397284,5.74649328122e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
site-shuffled routes,trialwise_update_oracle,,0.611732651147,0.782133397284,5.74649328122e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
random anatomical routes,frozen_baseline,0.50555787715,0.627971332221,0.793326720603,3.81664699844e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
random anatomical routes,trialwise_field_projection,0.505942465276,0.629558342432,0.793447126425,3.81664699844e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
random anatomical routes,trialwise_update_oracle,,0.629558342432,0.793447126425,3.81664699844e-10,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
unprojected baseline transfer,frozen_baseline,0.997112308918,0.994236211711,0.998741403279,,864691135810666525,4,10,7,9,4,0.747644624236,7.4556316676e-10
topology-matched routes,frozen_baseline,0.336431931934,0.515051033841,0.720242895666,1.25666921313e-10,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
topology-matched routes,trialwise_field_projection,0.339327413296,0.520113744739,0.721189118567,1.25666921313e-10,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
topology-matched routes,trialwise_update_oracle,,0.520113744739,0.721189118567,1.25666921313e-10,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
site-shuffled routes,frozen_baseline,0.345578847278,0.341779217227,0.58940566825,5.00009478266e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
site-shuffled routes,trialwise_field_projection,0.349868499974,0.34843114768,0.590280566917,5.00009478266e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
site-shuffled routes,trialwise_update_oracle,,0.34843114768,0.590280566917,5.00009478266e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
random anatomical routes,frozen_baseline,0.855825362808,0.892533158006,0.955085491921,3.21873638853e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
random anatomical routes,trialwise_field_projection,0.859414070601,0.9064605535,0.953675023219,3.21873638853e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
random anatomical routes,trialwise_update_oracle,,0.933952446477,0.966412151454,3.21873638853e-11,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
unprojected baseline transfer,frozen_baseline,0.994813546557,0.989303815527,0.998888975872,,864691135810666525,4,10,8,9,4,0.654602278499,6.27601304259e-11
topology-matched routes,frozen_baseline,0.340173195418,0.416014705233,0.64801261294,1.22911236744e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
topology-matched routes,trialwise_field_projection,0.341795360036,0.421613545219,0.649317753661,1.22911236744e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
topology-matched routes,trialwise_update_oracle,,0.421613545219,0.649317753661,1.22911236744e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
site-shuffled routes,frozen_baseline,0.565435560758,0.37926695339,0.616539710338,1.10278675081e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
site-shuffled routes,trialwise_field_projection,0.56597897861,0.381088363963,0.617323548849,1.10278675081e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
site-shuffled routes,trialwise_update_oracle,,0.381088363963,0.617323548849,1.10278675081e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
random anatomical routes,frozen_baseline,0.422360672388,0.391304847894,0.635865658372,1.06689657109e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
random anatomical routes,trialwise_field_projection,0.424868867525,0.408386375808,0.639058263132,1.06689657109e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
random anatomical routes,trialwise_update_oracle,,0.413687203704,0.643185201714,1.06689657109e-10,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
unprojected baseline transfer,frozen_baseline,0.995720835648,0.976789716045,0.995972343305,,864691135810666525,4,10,9,9,4,0.599651426061,1.98638216986e-10
topology-matched routes,frozen_baseline,0.0695428232908,0.0320385214828,0.183204769236,2.76471109895e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
topology-matched routes,trialwise_field_projection,0.0717879293603,0.0340602502603,0.184554193288,2.76471109895e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
topology-matched routes,trialwise_update_oracle,,0.0340602502603,0.184554193288,2.76471109895e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
site-shuffled routes,frozen_baseline,0.854210165642,0.951822467889,0.976101141609,3.21491278044e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
site-shuffled routes,trialwise_field_projection,0.855820718394,0.953575462708,0.976511885595,3.21491278044e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
site-shuffled routes,trialwise_update_oracle,,0.953575462708,0.976511885595,3.21491278044e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
random anatomical routes,frozen_baseline,0.901711373289,0.961398444156,0.981042490031,2.6365487571e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
random anatomical routes,trialwise_field_projection,0.903417189449,0.962893816096,0.981272192461,2.6365487571e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
random anatomical routes,trialwise_update_oracle,,0.965198574977,0.982445202023,2.6365487571e-10,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
unprojected baseline transfer,frozen_baseline,0.98646549014,0.992734581101,0.997384928984,,864691135810666525,6,4,0,6,4,0.822488910421,6.64724830735e-10
topology-matched routes,frozen_baseline,0.0715215237268,0.0822525236592,0.290876888912,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
topology-matched routes,trialwise_field_projection,0.0737307857017,0.0859332985413,0.293143818869,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
topology-matched routes,trialwise_update_oracle,,0.0859332985413,0.293143818869,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
site-shuffled routes,frozen_baseline,0.0715215237268,0.0822525236592,0.290876888912,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
site-shuffled routes,trialwise_field_projection,0.0737307857017,0.0859332985413,0.293143818869,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
site-shuffled routes,trialwise_update_oracle,,0.0859332985413,0.293143818869,9.46109857125e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
random anatomical routes,frozen_baseline,0.0905294868284,0.0541886811861,0.233708517646,6.51095843907e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
random anatomical routes,trialwise_field_projection,0.0994762472324,0.0571247644024,0.239007875189,6.51095843907e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
random anatomical routes,trialwise_update_oracle,,0.0571247644024,0.239007875189,6.51095843907e-12,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
unprojected baseline transfer,frozen_baseline,0.988679396954,0.992743032041,0.997268241901,,864691135810666525,6,4,1,6,4,0.822387584003,2.11619610724e-12
topology-matched routes,frozen_baseline,0.0749112931597,0.112296709346,0.336718966572,4.30690927367e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
topology-matched routes,trialwise_field_projection,0.0757276060127,0.114204099091,0.337940969831,4.30690927367e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
topology-matched routes,trialwise_update_oracle,,0.114204099091,0.337940969831,4.30690927367e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
site-shuffled routes,frozen_baseline,0.920200327359,0.88150334712,0.939216953013,4.10623424152e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
site-shuffled routes,trialwise_field_projection,0.924272393987,0.885795900909,0.941167307608,4.10623424152e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
