target_root_id,session,scan_idx,method,mode,field_match,update_match,update_cosine,exact_endpoint_replay_error,static_update_match_replay_error
864691135277186789,8,5,site-shuffled routes,trialwise_field_projection,0.145454025728,0.135401554633,0.339173404655,5.78529186765e-05,2.57251776326e-05
864691135277186789,8,5,site-shuffled routes,trialwise_update_oracle,,0.138865172265,0.342186211483,5.78529186765e-05,2.57251776326e-05
864691135277186789,8,5,topology-matched routes,frozen_baseline,0.112116182312,0.0745420779992,0.274640600117,5.78529186765e-05,4.36599002979e-06
864691135277186789,8,5,topology-matched routes,trialwise_field_projection,0.116182688728,0.0822491966505,0.282592083127,5.78529186765e-05,4.36599002979e-06
864691135277186789,8,5,topology-matched routes,trialwise_update_oracle,,0.0822491966505,0.282592083127,5.78529186765e-05,4.36599002979e-06
864691135277186789,8,5,unprojected baseline transfer,frozen_baseline,0.988196514721,0.966684621973,0.989731137872,5.78529186765e-05,
864691135324623260,6,6,random anatomical routes,frozen_baseline,0.249793127969,0.239973129034,0.365200463447,5.10702591328e-16,1.23945992359e-16
864691135324623260,6,6,random anatomical routes,trialwise_field_projection,0.268376112831,0.247713862762,0.369526499987,5.10702591328e-16,1.23945992359e-16
864691135324623260,6,6,random anatomical routes,trialwise_update_oracle,,0.247726791846,0.369532963381,5.10702591328e-16,1.23945992359e-16
864691135324623260,6,6,site-shuffled routes,frozen_baseline,0.500352081887,0.534678953179,0.649640536621,5.10702591328e-16,9.80118763927e-17
864691135324623260,6,6,site-shuffled routes,trialwise_field_projection,0.515246966136,0.535841993232,0.654888607247,5.10702591328e-16,9.80118763927e-17
864691135324623260,6,6,site-shuffled routes,trialwise_update_oracle,,0.580638957232,0.65937108465,5.10702591328e-16,9.80118763927e-17
864691135324623260,6,6,topology-matched routes,frozen_baseline,0.0627791898335,0.051293761612,0.20960090359,5.10702591328e-16,7.95370713735e-17
864691135324623260,6,6,topology-matched routes,trialwise_field_projection,0.0817886205577,0.0591624017977,0.215154349018,5.10702591328e-16,7.95370713735e-17
864691135324623260,6,6,topology-matched routes,trialwise_update_oracle,,0.0591624017977,0.215154349018,5.10702591328e-16,7.95370713735e-17
864691135324623260,6,6,unprojected baseline transfer,frozen_baseline,0.980968187318,0.992073990566,0.996404262569,5.10702591328e-16,
864691135409937097,6,4,random anatomical routes,frozen_baseline,0.429202067257,0.397709744882,0.58381169231,1.75635428423e-10,5.82880577832e-10
864691135409937097,6,4,random anatomical routes,trialwise_field_projection,0.433753696752,0.412493068334,0.589093654803,1.75635428423e-10,5.82880577832e-10
864691135409937097,6,4,random anatomical routes,trialwise_update_oracle,,0.420427329061,0.59409062534,1.75635428423e-10,5.82880577832e-10
864691135409937097,6,4,site-shuffled routes,frozen_baseline,0.445435409209,0.393945906053,0.604959548806,1.75635428423e-10,7.39278192136e-10
864691135409937097,6,4,site-shuffled routes,trialwise_field_projection,0.454253894952,0.420572603187,0.613653096358,1.75635428423e-10,7.39278192136e-10
864691135409937097,6,4,site-shuffled routes,trialwise_update_oracle,,0.420572603187,0.613653096358,1.75635428423e-10,7.39278192136e-10
864691135409937097,6,4,topology-matched routes,frozen_baseline,0.424074284337,0.297135260601,0.519298525505,1.75635428423e-10,3.93730330978e-10
864691135409937097,6,4,topology-matched routes,trialwise_field_projection,0.426091984572,0.300836437617,0.522036022634,1.75635428423e-10,3.93730330978e-10
864691135409937097,6,4,topology-matched routes,trialwise_update_oracle,,0.300836437617,0.522036022634,1.75635428423e-10,3.93730330978e-10
864691135409937097,6,4,unprojected baseline transfer,frozen_baseline,0.983807872763,0.951130244667,0.985187958715,1.75635428423e-10,
864691135739661169,7,3,random anatomical routes,frozen_baseline,0.421921830417,0.382497513526,0.587799314609,2.69784194984e-15,1.09634523682e-15
864691135739661169,7,3,random anatomical routes,trialwise_field_projection,0.435004097396,0.389423259639,0.59426800971,2.69784194984e-15,1.09634523682e-15
864691135739661169,7,3,random anatomical routes,trialwise_update_oracle,,0.437994331356,0.615458003717,2.69784194984e-15,1.09634523682e-15
864691135739661169,7,3,site-shuffled routes,frozen_baseline,0.626371744076,0.651509757676,0.755132550844,2.69784194984e-15,8.02136135292e-16
864691135739661169,7,3,site-shuffled routes,trialwise_field_projection,0.633839135515,0.655596596694,0.757276990973,2.69784194984e-15,8.02136135292e-16
864691135739661169,7,3,site-shuffled routes,trialwise_update_oracle,,0.673309144225,0.768766251748,2.69784194984e-15,8.02136135292e-16
864691135739661169,7,3,topology-matched routes,frozen_baseline,0.252246850694,0.162710753239,0.410056810477,2.69784194984e-15,1.82492909673e-15
864691135739661169,7,3,topology-matched routes,trialwise_field_projection,0.265893723931,0.178299265162,0.415527847629,2.69784194984e-15,1.82492909673e-15
864691135739661169,7,3,topology-matched routes,trialwise_update_oracle,,0.178299265162,0.415527847629,2.69784194984e-15,1.82492909673e-15
864691135739661169,7,3,unprojected baseline transfer,frozen_baseline,0.986301878894,0.984189946499,0.994063203246,2.69784194984e-15,
864691135810666525,4,10,random anatomical routes,frozen_baseline,0.492938272771,0.481713219075,0.675337787978,1.33812862124e-08,1.90639544428e-09
864691135810666525,4,10,random anatomical routes,trialwise_field_projection,0.494592998232,0.486234233658,0.676220528312,1.33812862124e-08,1.90639544428e-09
864691135810666525,4,10,random anatomical routes,trialwise_update_oracle,,0.499139909414,0.683419638043,1.33812862124e-08,1.90639544428e-09
864691135810666525,4,10,site-shuffled routes,frozen_baseline,0.498726479752,0.432560206365,0.648461342566,1.33812862124e-08,3.2215164536e-09
864691135810666525,4,10,site-shuffled routes,trialwise_field_projection,0.500582573793,0.437839411595,0.649499549555,1.33812862124e-08,3.2215164536e-09
864691135810666525,4,10,site-shuffled routes,trialwise_update_oracle,,0.437839411595,0.649499549555,1.33812862124e-08,3.2215164536e-09
864691135810666525,4,10,topology-matched routes,frozen_baseline,0.339439779242,0.379584252663,0.606539878526,1.33812862124e-08,3.20285551136e-09
864691135810666525,4,10,topology-matched routes,trialwise_field_projection,0.341849653345,0.383680167092,0.608116611486,1.33812862124e-08,3.20285551136e-09
864691135810666525,4,10,topology-matched routes,trialwise_update_oracle,,0.383680167092,0.608116611486,1.33812862124e-08,3.20285551136e-09
864691135810666525,4,10,unprojected baseline transfer,frozen_baseline,0.99526677131,0.988100330068,0.99793228179,1.33812862124e-08,
864691135810666525,6,4,random anatomical routes,frozen_baseline,0.397885843585,0.407945073427,0.539425769745,1.62979478181e-05,8.92625047696e-06
864691135810666525,6,4,random anatomical routes,trialwise_field_projection,0.402883976494,0.406380450375,0.54213562826,1.62979478181e-05,8.92625047696e-06
864691135810666525,6,4,random anatomical routes,trialwise_update_oracle,,0.427751938684,0.548634972857,1.62979478181e-05,8.92625047696e-06
864691135810666525,6,4,site-shuffled routes,frozen_baseline,0.32511668419,0.329822598616,0.459221034735,1.62979478181e-05,9.25704219549e-06
864691135810666525,6,4,site-shuffled routes,trialwise_field_projection,0.330002358676,0.332330029745,0.460998785525,1.62979478181e-05,9.25704219549e-06
864691135810666525,6,4,site-shuffled routes,trialwise_update_oracle,,0.332330029745,0.460998785525,1.62979478181e-05,9.25704219549e-06
864691135810666525,6,4,topology-matched routes,frozen_baseline,0.0724456008785,0.0499860460239,0.218132364775,1.62979478181e-05,5.0375381648e-06
864691135810666525,6,4,topology-matched routes,trialwise_field_projection,0.0741467212799,0.0519886956759,0.219584578447,1.62979478181e-05,5.0375381648e-06
864691135810666525,6,4,topology-matched routes,trialwise_update_oracle,,0.0519886956759,0.219584578447,1.62979478181e-05,5.0375381648e-06
864691135810666525,6,4,unprojected baseline transfer,frozen_baseline,0.990507795087,0.993897212943,0.997969029507,1.62979478181e-05,
864691135810666525,6,6,random anatomical routes,frozen_baseline,0.309028516984,0.256777972173,0.46154663348,2.42817946972e-08,7.72571312403e-08
864691135810666525,6,6,random anatomical routes,trialwise_field_projection,0.314796774576,0.263528193198,0.463845346239,2.42817946972e-08,7.72571312403e-08
864691135810666525,6,6,random anatomical routes,trialwise_update_oracle,,0.275895379814,0.470712889731,2.42817946972e-08,7.72571312403e-08
864691135810666525,6,6,site-shuffled routes,frozen_baseline,0.427217697547,0.47060940981,0.671929777268,2.42817946972e-08,1.91009951994e-08
864691135810666525,6,6,site-shuffled routes,trialwise_field_projection,0.434409346181,0.476408861799,0.673651989017,2.42817946972e-08,1.91009951994e-08
864691135810666525,6,6,site-shuffled routes,trialwise_update_oracle,,0.512994137704,0.694600673562,2.42817946972e-08,1.91009951994e-08
864691135810666525,6,6,topology-matched routes,frozen_baseline,0.349299158319,0.335546342228,0.579059540981,2.42817946972e-08,6.48885526505e-08
864691135810666525,6,6,topology-matched routes,trialwise_field_projection,0.364231840608,0.360893982714,0.584900011082,2.42817946972e-08,6.48885526505e-08
864691135810666525,6,6,topology-matched routes,trialwise_update_oracle,,0.360893982714,0.584900011082,2.42817946972e-08,6.48885526505e-08
864691135810666525,6,6,unprojected baseline transfer,frozen_baseline,0.980494812694,0.966164049232,0.992516752735,2.42817946972e-08,
864691135810666525,7,4,random anatomical routes,frozen_baseline,0.0183444436195,0.00326769888517,0.0597648115027,4.31280905433e-10,4.23535460447e-11
864691135810666525,7,4,random anatomical routes,trialwise_field_projection,0.0233353027208,0.00482583217029,0.0606123021622,4.31280905433e-10,4.23535460447e-11
864691135810666525,7,4,random anatomical routes,trialwise_update_oracle,,0.005139446508,0.061677064012,4.31280905433e-10,4.23535460447e-11
864691135810666525,7,4,site-shuffled routes,frozen_baseline,0.117709855667,0.103261144904,0.167010282604,4.31280905433e-10,4.78082874992e-11
864691135810666525,7,4,site-shuffled routes,trialwise_field_projection,0.122744206588,0.10513841639,0.168503329847,4.31280905433e-10,4.78082874992e-11
864691135810666525,7,4,site-shuffled routes,trialwise_update_oracle,,0.105183356959,0.168773007972,4.31280905433e-10,4.78082874992e-11
864691135810666525,7,4,topology-matched routes,frozen_baseline,0.941878841093,0.984181646566,0.992130720847,4.31280905433e-10,8.87659279414e-11
864691135810666525,7,4,topology-matched routes,trialwise_field_projection,0.94490667113,0.984959634359,0.992441932609,4.31280905433e-10,8.87659279414e-11
864691135810666525,7,4,topology-matched routes,trialwise_update_oracle,,0.984959634359,0.992441932609,4.31280905433e-10,8.87659279414e-11
864691135810666525,7,4,unprojected baseline transfer,frozen_baseline,0.98886981949,0.9964240896,0.998406725779,4.31280905433e-10,
