dataset	local_path	source_url	doi	sha256	access	planned_use
Lai2025	external_data/animal_learning/lai_2025/MOESM17.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41593-025-02072-4/MediaObjects/41593_2025_2072_MOESM17_ESM.xlsx	10.1038/s41593-025-02072-4	eecc2934f25319056b292cceb566a86b68e5bbb21f25d17424f8f5042db970c0	public	Deferred branch-local spine-change analysis; timing-dependent extension is out of current scope
Lai2025	external_data/animal_learning/lai_2025/MOESM18.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41593-025-02072-4/MediaObjects/41593_2025_2072_MOESM18_ESM.xlsx	10.1038/s41593-025-02072-4	f5fbfa25f05513b82803d304c439a981abfb403aefda35c12205f24e92e8a64e	public	Deferred branch-local spine-change analysis; timing-dependent extension is out of current scope
Lai2025	external_data/animal_learning/lai_2025/MOESM19.xlsx	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41593-025-02072-4/MediaObjects/41593_2025_2072_MOESM19_ESM.xlsx	10.1038/s41593-025-02072-4	6168af288e28334779c12696b837ee6f0b28e8584ab4a75e1a4e8af4ff92f541	public	Deferred timing-dependent analysis; explicitly excluded from the current program
MICrONSInhibitory	external_data/microns_inhibitory_census/cell_types.csv	https://zenodo.org/records/16905603/files/cell_types.csv?download=1	10.1038/s41586-024-07780-8	3a583948142580730ace60fabf1a3cc29c8a4736ad07859c41c99e0e93745397	public	Cell-type-resolved inhibitory census
MICrONSInhibitory	external_data/microns_inhibitory_census/excitatory_properties.csv	https://zenodo.org/records/16905603/files/excitatory_properties.csv?download=1	10.1038/s41586-024-07780-8	586dbd3b6dff03f6b81f781ddc80d2bb6be2ab8eeeacb4ebe5c9ab24a7ba4726	public	Postsynaptic excitatory-cell properties
MICrONSInhibitory	external_data/microns_inhibitory_census/inhibitory_edgelist.csv	https://zenodo.org/records/16905603/files/inhibitory_edgelist.csv?download=1	10.1038/s41586-024-07780-8	987050f349eb661ea6ba500f10b4100f20f5fbc6f7832380c1be469553c7f226	public	Inhibitory connectivity by presynaptic and postsynaptic cell
MICrONSInhibitory	external_data/microns_inhibitory_census/inhibitory_synapses_onto_column.csv	https://zenodo.org/records/16905603/files/inhibitory_synapses_onto_column.csv?download=1	10.1038/s41586-024-07780-8	c5343982449d91f912252e614d86e7151f06b9156d29d939cdc88edb6e2e1efe	public	Spatially resolved inhibitory synapses
MICrONSInhibitory	external_data/microns_inhibitory_census/skeletons_swc.zip	https://zenodo.org/records/16905603/files/skeletons_swc.zip?download=1	10.1038/s41586-024-07780-8	3067176c01814160fa0b3a290bb61ba016405b182a791efe52329e080728dda8	public	Skeletons for inhibitory-census cells
MICrONSDigitalTwinV2	external_data/microns_digital_twin_v2/README.md	https://bossdb-open-data.s3.amazonaws.com/iarpa_microns/minnie/functional_data/digital_twin_properties/v2/README.md	10.1038/s41586-025-08829-y	18779a1a982fae2a8a0c95b75efa941b8d076f1b0595f06355e13d2a1e336093	public	Digital-twin schema and citations
MICrONSDigitalTwinV2	external_data/microns_digital_twin_v2/anatomy/units.csv	https://bossdb-open-data.s3.amazonaws.com/iarpa_microns/minnie/functional_data/digital_twin_properties/v2/anatomy/units.csv	10.1038/s41586-025-08790-w	ed808c8c4237ec17ec36c40f9f79a85e2c6cf291583844ed8f3cb23fb3dd6de8	public	Unit anatomy and cortical position
MICrONSDigitalTwinV2	external_data/microns_digital_twin_v2/ori_dir_tuning/units.csv	https://bossdb-open-data.s3.amazonaws.com/iarpa_microns/minnie/functional_data/digital_twin_properties/v2/ori_dir_tuning/units.csv	10.1038/s41586-025-08840-3	cd75bba75bbcde2eb07884206a71ed6309b70dd224d5f8b90f69fe1981f5b095	public	Unit orientation and direction tuning
MICrONSDigitalTwinV2	external_data/microns_digital_twin_v2/performance/units.csv	https://bossdb-open-data.s3.amazonaws.com/iarpa_microns/minnie/functional_data/digital_twin_properties/v2/performance/units.csv	10.1038/s41586-025-08829-y	51bfbb8ed727ea45221493a84ff862c222582e6011fbd022e05cfa8e6eb65f30	public	Digital-twin performance for reliability filtering
