config_dir,core_type,ie_synapses,dataset_name,seed,strategy,test_accuracy,train_accuracy,valid_accuracy
config_46,dendritic_shunting,40,noise_resilience,43,local_ca,0.8030000329017639,0.8372500538825989,0.8080000281333923
config_47,dendritic_shunting,40,noise_resilience,44,local_ca,0.7610000371932983,0.7912500500679016,0.7560000419616699
config_48,dendritic_shunting,40,noise_resilience,45,local_ca,0.9250000715255737,0.9767500758171082,0.9200000166893005
config_49,dendritic_shunting,40,noise_resilience,46,local_ca,0.9160000681877136,0.9718750715255737,0.9110000729560852
config_50,dendritic_additive,0,mnist,42,local_ca,0.7777000069618225,0.773395836353302,0.7681666612625122
config_51,dendritic_additive,0,mnist,43,local_ca,0.7739999890327454,0.7664583325386047,0.7636666297912598
config_52,dendritic_additive,0,mnist,44,local_ca,0.7803999781608582,0.7731249928474426,0.7743332982063293
config_53,dendritic_additive,0,mnist,45,local_ca,0.8107999563217163,0.8066250085830688,0.8105833530426025
config_54,dendritic_additive,0,mnist,46,local_ca,0.8102999925613403,0.8004999756813049,0.8019999861717224
config_55,dendritic_additive,0,noise_resilience,42,local_ca,0.3160000145435333,0.3218750059604645,0.34700000286102295
config_56,dendritic_additive,0,noise_resilience,43,local_ca,0.35600000619888306,0.33512502908706665,0.359000027179718
config_57,dendritic_additive,0,noise_resilience,44,local_ca,0.32500001788139343,0.34287500381469727,0.3370000123977661
config_58,dendritic_additive,0,noise_resilience,45,local_ca,0.32500001788139343,0.335875004529953,0.3450000286102295
config_59,dendritic_additive,0,noise_resilience,46,local_ca,0.3370000123977661,0.328000009059906,0.33900001645088196
config_60,dendritic_additive,5,mnist,42,local_ca,0.8901000022888184,0.8918333053588867,0.8826666474342346
config_61,dendritic_additive,5,mnist,43,local_ca,0.8779999613761902,0.8778125047683716,0.8711666464805603
config_62,dendritic_additive,5,mnist,44,local_ca,0.8903999924659729,0.8934999704360962,0.8885833024978638
config_63,dendritic_additive,5,mnist,45,local_ca,0.8901000022888184,0.8844166398048401,0.8839166760444641
config_64,dendritic_additive,5,mnist,46,local_ca,0.9009000062942505,0.9056249856948853,0.8974999785423279
config_65,dendritic_additive,5,noise_resilience,42,local_ca,0.3290000259876251,0.33787500858306885,0.35600000619888306
config_66,dendritic_additive,5,noise_resilience,43,local_ca,0.5090000033378601,0.512374997138977,0.5200000405311584
config_67,dendritic_additive,5,noise_resilience,44,local_ca,0.5020000338554382,0.5347500443458557,0.503000020980835
config_68,dendritic_additive,5,noise_resilience,45,local_ca,0.5710000395774841,0.5905000567436218,0.5710000395774841
config_69,dendritic_additive,5,noise_resilience,46,local_ca,0.4540000259876251,0.48212501406669617,0.4540000259876251
config_70,dendritic_additive,10,mnist,42,local_ca,0.9004999995231628,0.9078124761581421,0.8954166769981384
config_71,dendritic_additive,10,mnist,43,local_ca,0.892799973487854,0.8959166407585144,0.8941666483879089
config_72,dendritic_additive,10,mnist,44,local_ca,0.9036999940872192,0.9044166803359985,0.8953333497047424
config_73,dendritic_additive,10,mnist,45,local_ca,0.8899999856948853,0.8970833420753479,0.89041668176651
config_74,dendritic_additive,10,mnist,46,local_ca,0.9010999798774719,0.8991875052452087,0.8959166407585144
config_75,dendritic_additive,10,noise_resilience,42,local_ca,0.3440000116825104,0.33912500739097595,0.3450000286102295
config_76,dendritic_additive,10,noise_resilience,43,local_ca,0.35600000619888306,0.33512502908706665,0.359000027179718
config_77,dendritic_additive,10,noise_resilience,44,local_ca,0.43400001525878906,0.3877500295639038,0.42100003361701965
config_78,dendritic_additive,10,noise_resilience,45,local_ca,0.3460000157356262,0.3370000123977661,0.33400002121925354
config_79,dendritic_additive,10,noise_resilience,46,local_ca,0.3370000123977661,0.328000009059906,0.33900001645088196
config_80,dendritic_additive,20,mnist,42,local_ca,0.8992999792098999,0.8993124961853027,0.8932499885559082
config_81,dendritic_additive,20,mnist,43,local_ca,0.8968999981880188,0.9031041860580444,0.8949166536331177
config_82,dendritic_additive,20,mnist,44,local_ca,0.8872999548912048,0.8888541460037231,0.8851666450500488
config_83,dendritic_additive,20,mnist,45,local_ca,0.8991999626159668,0.901687502861023,0.8956666588783264
config_84,dendritic_additive,20,mnist,46,local_ca,0.8930999636650085,0.8924791812896729,0.8837499618530273
config_85,dendritic_additive,20,noise_resilience,42,local_ca,0.3440000116825104,0.33912500739097595,0.3460000157356262
config_86,dendritic_additive,20,noise_resilience,43,local_ca,0.35600000619888306,0.33512502908706665,0.359000027179718
config_87,dendritic_additive,20,noise_resilience,44,local_ca,0.3450000286102295,0.3252500295639038,0.3400000035762787
config_88,dendritic_additive,20,noise_resilience,45,local_ca,0.3240000009536743,0.3386250138282776,0.34200000762939453
config_89,dendritic_additive,20,noise_resilience,46,local_ca,0.4520000219345093,0.46775001287460327,0.44200003147125244
config_90,dendritic_additive,40,mnist,42,local_ca,0.8842999935150146,0.8910208344459534,0.8808333277702332
config_91,dendritic_additive,40,mnist,43,local_ca,0.8950999975204468,0.8961250185966492,0.8862500190734863
config_92,dendritic_additive,40,mnist,44,local_ca,0.8598999977111816,0.8603958487510681,0.8533333539962769
config_93,dendritic_additive,40,mnist,45,local_ca,0.8948999643325806,0.8916666507720947,0.8890833258628845
config_94,dendritic_additive,40,mnist,46,local_ca,0.8826999664306641,0.883062481880188,0.878333330154419
config_95,dendritic_additive,40,noise_resilience,42,local_ca,0.3160000145435333,0.3218750059604645,0.34700000286102295
config_96,dendritic_additive,40,noise_resilience,43,local_ca,0.35600000619888306,0.33512502908706665,0.359000027179718
config_97,dendritic_additive,40,noise_resilience,44,local_ca,0.3450000286102295,0.3252500295639038,0.3400000035762787
config_98,dendritic_additive,40,noise_resilience,45,local_ca,0.3630000054836273,0.3553750216960907,0.34800001978874207
config_99,dendritic_additive,40,noise_resilience,46,local_ca,0.3890000283718109,0.3915000259876251,0.367000013589859
