config_id,model_type,ie_synapses,dataset,seed,strategy,broadcast_mode,layer_name,is_shunting,R_tot_mean,R_tot_std,R_tot_median,R_tot_q25,R_tot_q75,R_tot_max,R_tot_min,g_tot_mean,g_tot_std,voltage_mean,voltage_std,sensitivity_exc_mean,sensitivity_exc_std,sensitivity_inh_mean,sensitivity_inh_std
config_36,dendritic_additive,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4603532552719116,0.11650394648313522,0.5396468043327332,0.11650394648313522,0.4603532552719116,0.11650394648313522
config_36,dendritic_additive,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5072055459022522,0.11932411789894104,0.4927944839000702,0.11932411044836044,0.5072055459022522,0.11932411789894104
config_36,dendritic_additive,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5504652261734009,0.011597870849072933,0.4495348036289215,0.011597870849072933,0.5504652261734009,0.011597870849072933
config_37,dendritic_additive,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45278194546699524,0.13032744824886322,0.5472180843353271,0.13032744824886322,0.45278194546699524,0.13032744824886322
config_37,dendritic_additive,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48665952682495117,0.13179084658622742,0.5133404731750488,0.13179084658622742,0.48665952682495117,0.13179084658622742
config_37,dendritic_additive,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5477681756019592,0.012460225261747837,0.45223182439804077,0.012460225261747837,0.5477681756019592,0.012460225261747837
config_38,dendritic_additive,2,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47785326838493347,0.09835939109325409,0.5221467614173889,0.09835939109325409,0.47785326838493347,0.09835939109325409
config_38,dendritic_additive,2,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5381386876106262,0.0833708867430687,0.4618613123893738,0.0833708867430687,0.5381386876106262,0.0833708867430687
config_38,dendritic_additive,2,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5555242300033569,0.008167671039700508,0.44447579979896545,0.008167671971023083,0.5555242300033569,0.008167671039700508
config_39,dendritic_additive,2,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45771780610084534,0.11697517335414886,0.5422821640968323,0.11697518080472946,0.45771780610084534,0.11697517335414886
config_39,dendritic_additive,2,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5284337401390076,0.08957917988300323,0.47156623005867004,0.08957917988300323,0.5284337401390076,0.08957917988300323
