seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,opposed_strong,bound_sensitivity,64,sgd,unit_broadcast,0.3,True,True,0.8050855132297839,0.7963451949843772,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,sgd,calibrated_broadcast,0.3,True,True,0.8781947490301488,0.8696221988615558,0,0,7.0
2111,opposed_strong,bound_sensitivity,64,sgd,ancestry_three_oracle,0.3,True,True,0.03254228257030748,0.032931721624501746,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,adam,exact,0.03,True,True,0.0005161091106239057,0.0005075125754816445,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,adam,unit_broadcast,0.03,True,True,0.6203907403597915,0.6181488262644593,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,adam,calibrated_broadcast,0.03,True,True,0.6203907439837011,0.6181488327012061,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,adam,ancestry_three_oracle,0.03,True,True,0.0005015490446894118,0.0004939607116277283,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,sgd,exact,0.3,True,True,0.0018663075209888378,0.001885320808591987,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,sgd,unit_broadcast,0.3,True,True,0.6316889577755812,0.6290970380363217,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,sgd,calibrated_broadcast,0.3,True,True,0.8194792560776908,0.8155884512478211,0,0,7.0
2111,opposed_strong,bound_sensitivity,256,sgd,ancestry_three_oracle,0.3,True,True,0.001929736693351525,0.0019493395139712117,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,adam,exact,0.03,True,True,0.000327715596063536,0.0003288052526343321,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,adam,unit_broadcast,0.03,True,True,0.5933776695960044,0.5953476988493029,0,424,7.0
2111,opposed_strong,bound_sensitivity,1024,adam,calibrated_broadcast,0.03,True,True,0.5933775802691673,0.595347608801903,0,424,7.0
2111,opposed_strong,bound_sensitivity,1024,adam,ancestry_three_oracle,0.03,True,True,0.00027485740834077524,0.00027212641287776705,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,sgd,exact,0.3,True,True,0.0003459217294963896,0.0003452181822464721,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,sgd,unit_broadcast,0.3,True,True,0.5393350754350266,0.5385524334941537,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,sgd,calibrated_broadcast,0.3,True,True,0.6110634672730055,0.6090587087998239,0,0,7.0
2111,opposed_strong,bound_sensitivity,1024,sgd,ancestry_three_oracle,0.3,True,True,0.00035730935320311415,0.0003556609896970899,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,adam,exact,0.03,True,True,0.00016180529258651052,0.0001586423584604291,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,adam,unit_broadcast,0.03,True,True,0.7362382711957963,0.7342853854332279,0,1448,7.0
2111,opposed_strong,bound_sensitivity,2048,adam,calibrated_broadcast,0.03,True,True,0.7362380113982395,0.7342851270869842,0,1448,7.0
2111,opposed_strong,bound_sensitivity,2048,adam,ancestry_three_oracle,0.03,True,True,0.0001535887830482975,0.0001503069331961161,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,sgd,exact,0.3,True,True,0.00029823155057528093,0.0002985970948174029,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,sgd,unit_broadcast,0.3,True,True,0.638057251008779,0.6415421799434287,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,sgd,calibrated_broadcast,0.3,True,True,0.5630814075976366,0.5643566245535092,0,0,7.0
2111,opposed_strong,bound_sensitivity,2048,sgd,ancestry_three_oracle,0.3,True,True,0.0002930847131597427,0.00029354985841124393,0,0,7.0
2111,opposed_strong,bound_sensitivity,4096,adam,exact,0.03,True,True,4.189288797058324e-05,4.302829691639628e-05,0,0,7.0
2111,opposed_strong,bound_sensitivity,4096,adam,unit_broadcast,0.03,True,True,1.0409678148985544,1.0390458652630996,0,3211,7.0
2111,opposed_strong,bound_sensitivity,4096,adam,calibrated_broadcast,0.03,True,True,1.0409672958655491,1.039045357591626,0,3211,7.0
2111,opposed_strong,bound_sensitivity,4096,adam,ancestry_three_oracle,0.03,True,True,4.399222521581286e-05,4.514444494564628e-05,0,0,7.0
