seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture,bound
2119,opposed_strong,bound_sensitivity,adam,calibrated_broadcast,0.03,True,True,12288,0.0002892634389808978,0.0002984367830111355,0.9876020486791278,0.8454825319309754,1.3536995449152975,0.5100196248482705,0.8309017048144925,0.9874709934814677,0.8459159620666853,1.3526021324740671,0.5111812875608797,0.8236690182904073,0.6164328318236088,0.5582603194353788,7.0
2119,opposed_strong,bound_sensitivity,adam,ancestry_three_oracle,0.03,True,True,16384,2.7847406577125035e-07,2.951122136766335e-07,0.9574310441519394,0.8852233148021541,1.25502952370286,0.5426202497275876,0.8260514822166147,0.956974912084729,0.9067760997436022,1.2034656093557163,0.5444121512739865,0.8628865848212395,0.6678322950672715,0.7964547245579664,7.0
2119,opposed_strong,bound_sensitivity,sgd,exact,0.3,True,True,16384,0.0001641323875109389,0.00017659914893772087,0.9593322170339708,0.8725634526783865,1.2859965669412976,0.5288858788860403,0.8175701427854364,0.9595631106290325,0.8826581160886726,1.2612655169939506,0.5287719748988842,0.7990417233167894,0.6113969507445189,0.5633973196811637,7.0
2119,opposed_strong,bound_sensitivity,sgd,unit_broadcast,0.3,True,True,16384,0.04407762469726447,0.04342728744140292,0.9287464097179499,0.8420531222634996,1.3623965637509508,0.49485241522559636,0.743135205401428,0.9293803704514277,0.847765602018462,1.3479235673395817,0.4949036845605606,0.7331869452357912,0.45018086310636485,0.42633897692958544,7.0
2119,opposed_strong,bound_sensitivity,sgd,calibrated_broadcast,0.3,True,True,16384,0.3840174588380003,0.382789845835878,0.9063360815579005,0.8446663347726419,1.3557671864832248,0.48755760438871687,0.7141907550520716,0.9070529076640268,0.8485475389468423,1.3459479635645886,0.487658217979124,0.7076707688890693,0.42728725280649715,0.41339881218279817,7.0
2119,opposed_strong,bound_sensitivity,sgd,ancestry_three_oracle,0.3,True,True,16384,0.00015920036104390324,0.00017139178392400198,0.9584925738563329,0.8728493032572551,1.2852921860454938,0.5288721449780186,0.8166897295954251,0.9587200646149125,0.8820069093779763,1.2628517938850583,0.5286271525878469,0.7990191647835949,0.611207899250416,0.565717247294405,7.0
2119,aligned_strong,bound_sensitivity,adam,exact,0.03,True,True,8192,3.3471967829040055e-07,3.3051203544818587e-07,0.9340816589585995,0.8950619732467209,1.2313027820562443,0.5474352560860156,0.7944169221990139,0.9345721468705424,0.8988017387046114,1.2223658923910818,0.5447863805364106,0.781929530885364,0.6685101221606586,0.6224002131446087,20.0
2119,aligned_strong,bound_sensitivity,adam,unit_broadcast,0.03,True,True,16384,1.7285399805373205e-06,1.7234992965943631e-06,0.9569205263699166,0.8884480229143149,1.2472191176082812,0.556985527619308,0.8148760534345608,0.9594488871423057,0.9175617392993951,1.1782509777861214,0.540217972243744,0.7719084611937956,0.669455415205551,0.5082812677787976,20.0
2119,aligned_strong,bound_sensitivity,adam,calibrated_broadcast,0.03,True,True,16384,1.1448544648494998e-06,1.1785927301649786e-06,0.9570675116130342,0.8882141909578161,1.2477843777182398,0.5567720201128816,0.8149851699153384,0.955309783440491,0.894157340893664,1.233471453595788,0.5684470317402913,0.845034785837932,0.6689503126244125,0.8148000398394333,20.0
2119,aligned_strong,bound_sensitivity,adam,ancestry_three_oracle,0.03,True,True,16384,8.47728744039137e-08,8.083045255545121e-08,0.9347780618229491,0.889625944313752,1.2443742571452399,0.5413462984039449,0.7915174492318043,0.9347157847593601,0.8893750811494804,1.2449797628387544,0.5416564467383126,0.7931119276548209,0.6485949220758016,0.6609465124445166,20.0
