seed,family,family_index,structure,rule,optimizer,rate,step,test_nmse,clean_test_nmse,population_nmse,true_cut_bound,status,gradient_clipped_steps,parameter_projected_steps,max_abs_parameter,parameter_norm,parameters,edges,seconds
930921,quartet,1,oracle_dp,broadcast,adam,0.003,0,1.0500536909993394,1.0219874430269011,1.0174857618065973,0.0,completed,0,0,1.154612849115492,2.1293408416302655,28,14,0.00286501192022115
930921,quartet,1,estimated_dp,exact,adam,0.01,1,1.0202795425447957,0.9918873393268596,1.011603609844876,0.0,completed,0,0,1.1646127664591546,2.134559014614363,28,14,0.006249338970519602
930921,quartet,1,estimated_dp,broadcast,adam,0.003,1,1.0248457676974148,0.9963965438234684,1.0164969030870434,0.0,completed,0,0,1.1516128511409711,2.1285662578529614,28,14,0.006284117000177503
930921,quartet,1,development_fixed,exact,adam,0.01,1,1.0521389642112702,1.023919833796612,1.0425450088508774,0.2195383043304229,completed,0,0,1.1646128377558258,2.1220417840242463,28,14,0.00629996694624424
930921,quartet,1,development_fixed,broadcast,adam,0.003,1,1.053925580121168,1.0256484793007759,1.044636991567879,0.2195383043304229,completed,0,0,1.1576128489598383,2.1255365981961445,28,14,0.006314936908893287
930921,quartet,1,oracle_dp,exact,adam,0.01,1,1.044849546556881,1.0167405624215524,1.0123789910940746,0.0,completed,0,0,1.1446128537255944,2.106344361064328,28,14,0.006328349933028221
930921,quartet,1,oracle_dp,broadcast,adam,0.003,1,1.048396419124304,1.0203223167218267,1.015858625181898,0.0,completed,0,0,1.151612849217555,2.122732663363535,28,14,0.006340922904200852
930921,quartet,1,estimated_dp,exact,adam,0.01,16,0.9521115660306585,0.9242089649618235,0.9386596621628824,0.0,completed,0,0,1.1020101862949254,2.0508736189233607,28,14,0.019287233939394355
930921,quartet,1,estimated_dp,broadcast,adam,0.003,16,1.0146328752505345,0.9862954466281207,1.004923812775644,0.0,completed,0,0,1.1266222079426724,2.0958554960145945,28,14,0.01932208996731788
930921,quartet,1,development_fixed,exact,adam,0.01,16,1.022778819227013,0.9943901296971842,1.0098063800626034,0.2195383043304229,completed,0,0,1.1457654882604271,1.949085800370611,28,14,0.01933853793889284
930921,quartet,1,development_fixed,broadcast,adam,0.003,16,1.039178631920042,1.0108666079909465,1.0287137676341818,0.2195383043304229,completed,0,0,1.1594078704890918,2.0919319991160443,28,14,0.01935352000873536
930921,quartet,1,oracle_dp,exact,adam,0.01,16,0.9789800802285193,0.9505029316273191,0.9547100017625314,0.0,completed,0,0,1.1004013286814038,1.9779699621020808,28,14,0.019376857904717326
930921,quartet,1,oracle_dp,broadcast,adam,0.003,16,1.031392656933552,1.0031508520999428,1.0024315264966597,0.0,completed,0,0,1.1317854462644847,2.0753778114279626,28,14,0.019391202949918807
930921,quartet,1,estimated_dp,exact,adam,0.01,64,0.04900701202093392,0.026955771174354264,0.026822615288693803,0.0,completed,0,0,1.5311425552527365,2.870566433385051,28,14,0.05399341299198568
930921,quartet,1,estimated_dp,broadcast,adam,0.003,64,1.0051769814874458,0.9768939564498781,0.9908007654593567,0.0,completed,0,0,1.081710535935404,2.0036768061535435,28,14,0.05401901691220701
930921,quartet,1,development_fixed,exact,adam,0.01,64,1.0186718694898935,0.9901148933978586,1.0027890498841279,0.2195383043304229,completed,0,0,1.1093892806818424,1.8424501664916708,28,14,0.054035228909924626
930921,quartet,1,development_fixed,broadcast,adam,0.003,64,1.0235910105144872,0.9951825498923961,1.010111154623595,0.2195383043304229,completed,0,0,1.1355566680482936,2.0207625363034056,28,14,0.05404955195263028
930921,quartet,1,oracle_dp,exact,adam,0.01,64,0.06607255297305487,0.04353188639038279,0.043927730912488465,0.0,completed,0,0,1.530696880975946,2.8630133076419355,28,14,0.05406315892469138
930921,quartet,1,oracle_dp,broadcast,adam,0.003,64,1.013291592654042,0.9848661388788056,0.9871113227517099,0.0,completed,0,0,1.1024884859853123,2.021953316795897,28,14,0.054076292901299894
930921,quartet,1,estimated_dp,exact,adam,0.01,256,0.023414678932364673,0.000964409936055114,0.0009612937661076248,0.0,completed,0,0,1.5149521372697825,2.8443487772701674,28,14,0.1835715170018375
930921,quartet,1,estimated_dp,broadcast,adam,0.003,256,1.0140024910375378,0.9856593927257578,0.9921597959245891,0.0,completed,0,0,1.02666471748092,1.928212666024804,28,14,0.1835968439700082
930921,quartet,1,development_fixed,exact,adam,0.01,256,1.0174723472404448,0.9890613454655378,1.0014567793937428,0.2195383043304229,completed,0,0,1.0715585414594853,1.8710047525517572,28,14,0.18361359892878681
930921,quartet,1,development_fixed,broadcast,adam,0.003,256,1.0196975903308956,0.9910294263576065,1.0035425190995269,0.2195383043304229,completed,0,0,1.1120246261047235,1.9460523333738884,28,14,0.18362825689837337
930921,quartet,1,oracle_dp,exact,adam,0.01,256,0.023348014941485584,0.000865050547146479,0.0008701528789368731,0.0,completed,0,0,1.5053205016413505,2.8434652457360796,28,14,0.18364221695810556
