root_id,nucleus_id,cell_type,matched_additive_localization,focal_shunt_localization,shunt_minus_additive,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,n_focal_sites
864691135716174106,222828,L2IT,0.0103345440161211,0.1683304776437654,0.1579959336276442,0.0474596778297856,0.1208707998139797,5.0
864691135740320660,221009,L2IT,0.0024923127864487,0.0861286668843435,0.0836363540978949,-0.0195985490463784,0.105727215930722,2.0
864691135762339894,260666,L3IT,0.0242287340925141,0.2182365239156723,0.1940077898231581,-0.0110624750003918,0.2292989989160641,5.0
864691135856802606,263003,L4IT,0.0040850875889173,0.1211410789035617,0.1170559913146443,0.0613894337182475,0.0597516451853141,6.0
864691135856845358,294583,L2IT,0.0075028591453983,0.1486788119476096,0.1411759528022113,0.0629158254187299,0.0857629865288797,7.0
864691135867632406,222924,L2IT,0.0155472619832156,0.1611836154625855,0.1456363534793699,0.0172189066085251,0.1439647088540604,10.0
864691135919106224,255199,L2IT,0.000740443597667,0.2626987913289784,0.2619583477313114,0.2621621206769375,0.0005366706520409,2.0
864691135938349828,255117,L2IT,0.002526363517997,0.1161274582897091,0.113601094771712,0.1159521049828847,0.0001753533068243,2.0
864691135947212897,256610,L2IT,0.0044626249780184,0.1299550171277154,0.1254923921496969,0.0378368988474031,0.0921181182803122,8.0
864691135952698659,256498,L2IT,0.0125149876143767,0.2084969051416695,0.1959819175272927,0.1452528145400247,0.0632440906016447,3.0
864691135992368833,221045,L2IT,0.0004400755505648,0.042701360490257,0.0422612849396922,,,1.0
864691136024229689,256503,L2IT,0.0047250838315735,0.2086291635497615,0.2039040797181879,-0.0730802210817006,0.2817093846314621,4.0
864691136066506392,260673,L4IT,0.0012078812869401,0.0159326573244664,0.0147247760375263,-3.918306651362613e-16,0.0159326573244667,2.0
864691136066697624,262925,L4IT,0.0450620323168929,0.248199948549753,0.20313791623286,0.0214205833676052,0.2267793651821477,11.0
864691136066733720,255156,L2IT,0.0048109138734951,0.0990977574987726,0.0942868436252774,0.0984468101102701,0.0006509473885024,2.0
864691136100511093,291175,L2IT,0.029512176039532,0.19292273208833,0.1634105560487979,0.0228201972585313,0.1701025348297987,4.0
864691136109892792,228527,L4IT,0.0090046281680948,0.101952919195062,0.0929482910269671,1.1145598333150986e-16,0.1019529191950618,2.0
864691136137737085,256459,L2IT,0.0069646125276035,0.0871239677329939,0.0801593552053904,,,1.0
864691136195348812,267033,L5ET,0.0222345219054663,0.5117210649769278,0.4894865430714614,0.078612002493036,0.4331090624838917,16.0
864691136275165965,262910,L4IT,0.0078946495116684,0.0914197907833742,0.0835251412717057,0.0018361235771617,0.0895836672062125,6.0
864691136371808392,228537,L4IT,0.0138163763070561,0.078307160167782,0.0644907838607258,-0.0189772562597115,0.0972844164274935,8.0
864691136389026167,222743,L2IT,0.0021368657158229,0.1301525498901775,0.1280156841743545,0.0056950633130701,0.1244574865771074,4.0
864691136419314071,221169,L2IT,,,,,,
864691136486753554,222814,L2IT,0.0009548244969039,0.0614043800914653,0.0604495555945614,-0.0061895144668864,0.0675938945583518,5.0
864691136619341965,255146,L2IT,,,,,,
864691136663284190,256512,L2IT,0.000308463124974,0.0496813756586843,0.0493729125337103,,,1.0
864691136673975943,264990,L4IT,0.0159697154809569,0.1491364808704192,0.1331667653894622,0.0166526508502731,0.1324838300201461,6.0
864691136953057759,258301,L2IT,0.0107656845383561,0.2035258033103029,0.1927601187719468,0.0877607703532988,0.1157650329570041,10.0
864691137197373249,255360,L2IT,0.0025015574059473,0.1788420702367376,0.1763405128307903,0.1755329213940396,0.003309148842698,3.0
