root_id,n_segments,n_e_segments,n_i_segments,mapping_pass_fraction,credit_kernel_participation_rank,max_topological_depth,wiring_nonzeros,morphology_wiring_density,capture_dense_oracle,capture_depth_bins,capture_morphology_paths,capture_random_paths,capture_shuffled_ancestry,residual_dense_oracle,residual_depth_bins,residual_morphology_paths,residual_random_paths,residual_shuffled_ancestry,morphology_capture_fraction_of_dense,morphology_minus_random_capture,morphology_minus_depth_capture,morphology_minus_shuffled_capture,focal_shunt_localization,matched_additive_localization,shunt_minus_additive,n_focal_sites,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,nucleus_id,source_root_id,cell_type
864691135495249040,104,37,63,0.9880281690140844,9.80168220611694,8,15.0,0.05067567567567568,0.7830453311901574,0.29837699417661073,0.6888705844787837,0.2370039620037025,0.23999045282626064,0.46571813579370314,0.8376174310976492,0.5577363417050061,0.8734818381778883,0.8717656341840184,0.8797327013389675,0.4518666224750812,0.39049359030217295,0.44888013165252305,0.16633316356982034,0.02131706190147707,0.14501610166834325,3.0,0.057947078451097506,0.10838608511872283,256280,864691135938775556,L2IT
864691135502788957,124,38,61,0.9823518127757528,9.406680039742438,13,9.0,0.029605263157894735,0.8158233094920473,0.2506832840083365,0.7651584095919761,0.1691619374898288,0.20271985132601214,0.4291247234781085,0.8656225381115901,0.48455006629241915,0.9114778986932922,0.892884253228725,0.9378972146167085,0.5959964721021473,0.5144751255836396,0.562438558265964,0.15028605131656536,0.07324275428174945,0.07704329703481591,2.0,-3.3398847923415964e-16,0.1502860513165657,222898,864691136211425724,L2IT
864691135516884435,98,24,47,0.9912905779889152,3.099506037002465,9,18.0,0.09375,0.9684782760463552,0.33055617883281235,0.9530865532300098,0.3194727918628592,0.36861781388631804,0.17748029523225148,0.8181879886515253,0.21651217392713917,0.8247550808198261,0.7944392707958076,0.9841073122680878,0.6336137613671506,0.6225303743971975,0.5844687393436918,0.0202290229851409,0.0007079410176592,0.019521081967481698,1.0,,,256386,864691135516884435,L2IT
864691135572379429,101,42,53,0.9814449269640744,7.302197982580194,9,17.0,0.050595238095238096,0.84128097608492,0.32401389106794537,0.7394977668334328,0.2601484093123533,0.2400568016117255,0.3983299803350029,0.8221770278163906,0.5103447177274222,0.8600464763228641,0.8717343453441634,0.8790140129815404,0.47934935752107954,0.41548387576548745,0.49944096522170733,0.12487745278205405,0.008732673970785974,0.11614477881126808,4.0,0.04218734243525185,0.0826901103468022,256521,864691135398805281,L2IT
864691135573814980,111,46,77,0.9824236817761332,10.472102480383622,12,14.0,0.03804347826086957,0.7627868278348562,0.29831889762243347,0.6763816409321001,0.1974302779696841,0.19654046273544976,0.4870189907325785,0.8376616653425163,0.5688311779251809,0.895822604271886,0.8963284492061636,0.8867243327365599,0.47895136296241597,0.3780627433096666,0.4798411781966503,0.1471364946450037,0.013091507598870648,0.13404498704613305,13.0,0.03428582439216099,0.1128506702528427,258345,864691135573814980,L2IT
864691135658994050,97,42,62,0.977866779089376,13.049475735625212,8,14.0,0.041666666666666664,0.7273643350373369,0.31326090045675664,0.6172256782369655,0.2058218220554456,0.20252788538144467,0.5221252771007528,0.8286878572392966,0.6186665289352659,0.8911462448472701,0.8929921143410059,0.8485784200641103,0.41140385618151987,0.30396477778020886,0.41469779285552083,0.11282431213425266,0.010484810759063256,0.1023395013751894,11.0,0.004475532136533858,0.1083487799977188,294510,864691135274038801,L3IT
864691135687601120,118,36,70,0.9789944903581268,12.182939470212109,9,16.0,0.05555555555555555,0.7131567565016221,0.2790522764206341,0.580795339572966,0.2365392166741362,0.22623625933400987,0.535548216474387,0.8490776524793564,0.6474211548585794,0.8737394899141868,0.8796171222630764,0.814400668966592,0.34425612289882984,0.3017430631523319,0.35455908023895616,0.18453237801703495,0.0196113308710462,0.16492104714598876,3.0,0.02411554638168953,0.16041683163534545,255252,864691136238610447,L2IT
864691135716106266,50,30,40,0.984517766497462,12.69137136466138,5,11.0,0.04583333333333333,0.720489006316656,0.3353418658236942,0.5666145695971948,0.2906785909566774,0.2600115129832924,0.5286634331490403,0.8152522531513441,0.6582738219903546,0.8421876151507514,0.8602028970137565,0.7864305556775794,0.2759359786405174,0.23127270377350062,0.3066030566139024,0.04067691722244832,0.0083437123741513,0.03233320484829702,5.0,0.003236879971595802,0.03744003725085252,263031,864691136288301507,L4IT
864691135716174106,104,30,62,0.9838387869114126,8.338468672204735,9,14.0,0.058333333333333334,0.7967957886234528,0.4512510011087004,0.7081447725206355,0.2698883749713396,0.31469869096588204,0.4507376050986764,0.7407526004730529,0.5401746039890305,0.8544122138974292,0.8277631563761464,0.8887406066038939,0.43825639754929585,0.25689377141193503,0.3934460815547534,0.16833047764376546,0.01033454401612118,0.15799593362764427,5.0,0.047459677829785676,0.12087079981397979,222828,864691135387916629,L2IT
864691135740320660,109,25,54,0.9859566998244588,4.943436961165847,10,9.0,0.045,0.9332923049879973,0.5125132123915661,0.8152595868086255,0.21364687367366236,0.3136314503695347,0.25820123083784063,0.698168737183203,0.4296820455689784,0.8866300632881401,0.8283679318487277,0.873530813927701,0.6016127131349631,0.3027463744170594,0.5016281364390909,0.08612866688434359,0.0024923127864487,0.0836363540978949,2.0,-0.01959854904637841,0.10572721593072201,221009,864691136421187991,L2IT
