root_id,channels,method,credit_capture,seed_capture_sd,wiring_nonzeros,wiring_density,n_monte_carlo_streams
864691135404231406,1,depth-only bins,0.07992293818530347,0.004127849579692084,34.0,1.0,20
864691135404231406,1,morphology-aware paths,0.2652583281929962,0.012454395541273252,3.0,0.088235294117647,20
864691135404231406,1,random paths,0.036140105805873096,0.00913329916939372,1.465625,0.043106617647058774,20
864691135404231406,1,shuffled ancestry,0.050105483191360455,0.0069082109588526446,3.0,0.088235294117647,20
864691135404231406,2,dense PCA oracle,0.4789844876190359,0.011608461978233108,68.0,1.0,20
864691135404231406,2,depth-only bins,0.12877674957058796,0.006395778290934471,34.0,0.5,20
864691135404231406,2,morphology-aware paths,0.4658804291314172,0.012288098840888235,4.0,0.0588235294117647,20
864691135404231406,2,random paths,0.07500444832271946,0.011863416811811819,3.3703125,0.049563419117647015,20
864691135404231406,2,shuffled ancestry,0.08279075004112917,0.013620581553617724,4.0,0.0588235294117647,20
864691135404231406,4,dense PCA oracle,0.6828665324261038,0.00848571920930957,136.0,1.0,20
864691135404231406,4,depth-only bins,0.18931111153674313,0.007810815810577321,34.0,0.25,20
864691135404231406,4,morphology-aware paths,0.6177586679147411,0.009461016109717056,8.0,0.0588235294117647,20
864691135404231406,4,random paths,0.14059500484378323,0.018071775350093727,6.32421875,0.046501608455882304,20
864691135404231406,4,shuffled ancestry,0.15621438788927494,0.011607717736784031,8.0,0.0588235294117647,20
864691135404231406,8,dense PCA oracle,0.8516402810984269,0.0033898784257390623,272.0,1.0,20
864691135404231406,8,depth-only bins,0.3444336478207578,0.012351185689675965,34.0,0.125,20
864691135404231406,8,morphology-aware paths,0.7481521451819592,0.008999915872400956,15.0,0.0551470588235294,20
864691135404231406,8,random paths,0.2666417646946843,0.022601190141495194,12.459375,0.04580652573529407,20
864691135404231406,8,shuffled ancestry,0.2911631560553463,0.019075310894123967,15.0,0.0551470588235294,20
864691135404231406,16,dense PCA oracle,0.9802447583930194,0.0008349111324763214,544.0,1.0,20
864691135404231406,16,depth-only bins,0.6567754728759038,0.006979515638073883,34.0,0.0625,20
864691135404231406,16,morphology-aware paths,0.9483225153367953,0.001971376678213386,29.0,0.0533088235294117,20
864691135404231406,16,random paths,0.4717297508128587,0.015505004286495627,24.3625,0.04478400735294113,20
864691135404231406,16,shuffled ancestry,0.5250736971610404,0.019767481193654228,29.0,0.0533088235294117,20
864691135404277230,1,dense PCA oracle,0.48375939839602095,0.019119288166521142,30.0,1.0,20
864691135404277230,1,depth-only bins,0.14164410712875677,0.009146851119005345,30.0,1.0,20
864691135404277230,1,morphology-aware paths,0.48231084368511523,0.018781067191605886,2.0,0.0666666666666666,20
864691135404277230,1,random paths,0.0322302251230381,0.009345345790177399,1.34375,0.04479166666666663,20
864691135404277230,1,shuffled ancestry,0.05055020328530059,0.012526711568393476,2.0,0.0666666666666666,20
864691135404277230,2,dense PCA oracle,0.6356966947353924,0.013901404760907262,60.0,1.0,20
864691135404277230,2,depth-only bins,0.23562625827316258,0.010400883615595644,30.0,0.5,20
864691135404277230,2,morphology-aware paths,0.6330346530198988,0.013663908286539331,4.0,0.0666666666666666,20
864691135404277230,2,random paths,0.07213281814422358,0.011004030508993692,3.20078125,0.053346354166666624,20
864691135404277230,2,shuffled ancestry,0.0974878053491278,0.01124202399921961,4.0,0.0666666666666666,20
864691135404277230,4,dense PCA oracle,0.7744800667904865,0.00806717098650272,120.0,1.0,20
864691135404277230,4,depth-only bins,0.3474037828459606,0.008155137457554399,30.0,0.25,20
864691135404277230,4,morphology-aware paths,0.7596324701903377,0.009059607100578484,6.0,0.05,20
864691135404277230,4,random paths,0.14721172256508977,0.0251256926537532,6.44296875,0.053691406249999976,20
864691135404277230,4,shuffled ancestry,0.17598670497942587,0.022289644631986384,6.0,0.05,20
864691135404277230,8,dense PCA oracle,0.8822003041898732,0.003737132631590383,240.0,1.0,20
864691135404277230,8,depth-only bins,0.45535181766735133,0.00823560844969552,30.0,0.125,20
864691135404277230,8,morphology-aware paths,0.8183432952817007,0.007105702048750696,39.0,0.1625,20
864691135404277230,8,random paths,0.26728693798522307,0.03347006606982049,12.37421875,0.05155924479166664,20
864691135404277230,8,shuffled ancestry,0.374158986414448,0.021949090870331436,39.0,0.1625,20
864691135404277230,16,dense PCA oracle,0.9793123857085494,0.0009385859588748008,480.0,1.0,20
864691135404277230,16,depth-only bins,0.8270142295858547,0.005616999227801182,30.0,0.0625,20
864691135404277230,16,morphology-aware paths,0.9237792978196016,0.0039864225351689654,52.0,0.10833333333333331,20
864691135404277230,16,random paths,0.47915279212815404,0.026280307138759795,25.44375,0.05300781249999996,20
864691135404277230,16,shuffled ancestry,0.6065682115218103,0.013263749205745357,52.0,0.10833333333333331,20
864691135416557754,1,dense PCA oracle,0.6591389303452103,0.02011311205052812,16.0,1.0,20
864691135416557754,1,depth-only bins,0.17051824862112872,0.006011132684507744,16.0,1.0,20
864691135416557754,1,morphology-aware paths,0.6556803821707449,0.019727075931262043,3.0,0.1875,20
864691135416557754,1,random paths,0.07377648809569608,0.025335010045372156,0.54765625,0.034228515625,20
864691135416557754,1,shuffled ancestry,0.10839019975362012,0.023182708355084337,3.0,0.1875,20
864691135416557754,2,dense PCA oracle,0.7636937620426789,0.011784301854692446,32.0,1.0,20
864691135416557754,2,depth-only bins,0.35643596792644966,0.005508277529121346,16.0,0.5,20
864691135416557754,2,morphology-aware paths,0.7529924980915801,0.011297155157536844,6.0,0.1875,20
864691135416557754,2,random paths,0.1347149501332957,0.028275011941533645,1.08984375,0.0340576171875,20
864691135416557754,2,shuffled ancestry,0.2028354526857497,0.02747170862938288,6.0,0.1875,20
864691135416557754,4,dense PCA oracle,0.8998535882309071,0.00572217595265297,64.0,1.0,20
864691135416557754,4,depth-only bins,0.6876255719358008,0.015038688726215775,16.0,0.25,20
864691135416557754,4,morphology-aware paths,0.8374575481402099,0.008236913052315619,11.0,0.171875,20
864691135416557754,4,random paths,0.24752701781872616,0.03249643901107198,2.12734375,0.03323974609375,20
864691135416557754,4,shuffled ancestry,0.3710925725450479,0.02508061169519964,11.0,0.171875,20
864691135416557754,8,dense PCA oracle,0.9887270570120006,0.0006665758502960587,128.0,1.0,20
864691135416557754,8,depth-only bins,0.8465848032647043,0.00743819142989902,16.0,0.125,20
864691135416557754,8,morphology-aware paths,0.9110603275526961,0.0044637760936243704,16.0,0.125,20
864691135416557754,8,random paths,0.4449523789736246,0.04831151740776082,4.328125,0.0338134765625,20
864691135416557754,8,shuffled ancestry,0.5843816986694744,0.02734455455026235,16.0,0.125,20
864691135416557754,16,dense PCA oracle,1.0,0.0,256.0,1.0,20
864691135416557754,16,depth-only bins,1.0,0.0,16.0,0.0625,20
864691135416557754,16,morphology-aware paths,0.9895028732001434,0.0006908375110716096,27.0,0.10546875,20
864691135416557754,16,random paths,0.6923561714612338,0.03031846947665175,8.5484375,0.033392333984375,20
864691135416557754,16,shuffled ancestry,0.8503686000742215,0.023433535513142836,27.0,0.10546875,20
864691135455195242,1,dense PCA oracle,0.27329912864364786,0.012488087505291923,21.0,1.0,20
864691135455195242,1,depth-only bins,0.06946349739843956,0.004153963094661369,21.0,1.0,20
864691135455195242,1,morphology-aware paths,0.2561251885859038,0.011077320218654612,2.0,0.0952380952380952,20
864691135455195242,1,random paths,0.053274036427774486,0.010733005405047333,1.13125,0.05386904761904758,20
864691135455195242,1,shuffled ancestry,0.06012335666023148,0.009304646495029892,2.0,0.0952380952380952,20
864691135455195242,2,dense PCA oracle,0.5083012414731133,0.011451762668324384,42.0,1.0,20
864691135455195242,2,depth-only bins,0.14536587605334128,0.0050908926991625305,21.0,0.5,20
864691135455195242,2,morphology-aware paths,0.47975825213733125,0.011198241530493506,3.0,0.0714285714285714,20
864691135455195242,2,random paths,0.09940360247517278,0.012201179490274116,2.36328125,0.05626860119047614,20
864691135455195242,2,shuffled ancestry,0.10890527848363227,0.011255382202344242,3.0,0.0714285714285714,20
864691135455195242,4,dense PCA oracle,0.8876601069967242,0.003666576151776782,84.0,1.0,20
864691135455195242,4,depth-only bins,0.23632322169788728,0.006335787952853453,21.0,0.25,20
864691135455195242,4,morphology-aware paths,0.726637955158187,0.013970889426771462,7.0,0.0833333333333333,20
864691135455195242,4,random paths,0.19459079957923428,0.018866734227841294,4.8921875,0.05824032738095233,20
864691135455195242,4,shuffled ancestry,0.21909810982234315,0.017235788588146277,7.0,0.0833333333333333,20
864691135455195242,8,dense PCA oracle,0.9814323171346242,0.0008407497460280642,168.0,1.0,20
864691135455195242,8,depth-only bins,0.627799483925674,0.006112000601485077,21.0,0.125,20
864691135455195242,8,morphology-aware paths,0.9211070790546575,0.003581801413420057,17.0,0.1011904761904761,20
864691135455195242,8,random paths,0.3720526848377373,0.023329680564317216,9.45546875,0.056282552083333284,20
864691135455195242,8,shuffled ancestry,0.42854425645010225,0.021694151743564993,17.0,0.1011904761904761,20
864691135455195242,16,dense PCA oracle,1.0,0.0,336.0,1.0,20
864691135455195242,16,depth-only bins,0.9043326825343831,0.0033989312418851196,21.0,0.0625,20
864691135455195242,16,morphology-aware paths,0.9954265670771528,0.00032965550855906263,50.0,0.1488095238095238,20
864691135455195242,16,random paths,0.645955311334916,0.023566191354224695,19.5875,0.0582961309523809,20
864691135455195242,16,shuffled ancestry,0.7478552746718196,0.01638848259127521,50.0,0.1488095238095238,20
864691135468547212,1,dense PCA oracle,0.18714138985980816,0.010761033581543336,33.0,1.0,20
864691135468547212,1,depth-only bins,0.049788355167799524,0.003789615763920866,33.0,1.0,20
864691135468547212,1,morphology-aware paths,0.08622628415243178,0.007638879983862366,2.0,0.060606060606060594,20
864691135468547212,1,random paths,0.030949319584296465,0.00484699488317299,0.859375,0.026041666666666623,20
864691135468547212,1,shuffled ancestry,0.03748688427952943,0.004234921605549833,2.0,0.060606060606060594,20
864691135468547212,2,dense PCA oracle,0.30292570320227047,0.011330276449871961,66.0,1.0,20
864691135468547212,2,depth-only bins,0.09473542246895514,0.004648346791776878,33.0,0.5,20
864691135468547212,2,morphology-aware paths,0.12699915181269272,0.00925565442798817,3.0,0.0454545454545454,20
864691135468547212,2,random paths,0.06026415011379268,0.00659828706037977,1.74375,0.02642045454545449,20
