seed,topology,owner,active_contacts,unique_input_features,input_coverage_fraction,repeated_contact_fraction,mean_pairwise_branch_jaccard,feature_degree_cv
42,random,98,336,277,0.35331632653061223,0.17559523809523814,0.014869449656035023,1.5275252316519465
42,random,99,336,274,0.3494897959183674,0.18452380952380953,0.013932926829268293,1.5092308563562362
42,random,100,336,270,0.34438775510204084,0.1964285714285714,0.015021888680425265,1.532064692570853
42,random,101,336,280,0.35714285714285715,0.16666666666666663,0.013212163852407754,1.49071198499986
42,random,102,336,264,0.336734693877551,0.2142857142857143,0.01674414107501399,1.5679073101855652
42,random,103,336,281,0.35841836734693877,0.16369047619047616,0.011942620387742341,1.4624940645653537
42,random,104,336,276,0.3520408163265306,0.1785714285714286,0.01311991869918699,1.49071198499986
42,random,105,336,274,0.3494897959183674,0.18452380952380953,0.0171568167604753,1.576740660702042
42,random,106,336,272,0.3469387755102041,0.19047619047619047,0.014017436884895164,1.5092308563562362
42,random,107,336,276,0.3520408163265306,0.1785714285714286,0.013567854909318324,1.5000000000000002
42,random,108,336,277,0.35331632653061223,0.17559523809523814,0.014007274283269148,1.5092308563562362
42,random,109,336,275,0.350765306122449,0.18154761904761907,0.01399624765478424,1.5092308563562362
42,random,110,336,284,0.3622448979591837,0.15476190476190477,0.012317073170731708,1.4719601443879746
42,random,111,336,280,0.35714285714285715,0.16666666666666663,0.012145090681676046,1.4672347384715843
42,random,112,336,274,0.3494897959183674,0.18452380952380953,0.014969512195121952,1.532064692570853
42,random,113,336,280,0.35714285714285715,0.16666666666666663,0.012724358974358974,1.481365736219265
42,random,114,336,280,0.35714285714285715,0.16666666666666663,0.013608505315822389,1.5000000000000002
42,random,115,336,278,0.35459183673469385,0.17261904761904767,0.012703252032520325,1.481365736219265
42,random,116,336,279,0.35586734693877553,0.1696428571428571,0.013751563477173235,1.5046225071056492
42,random,117,336,278,0.35459183673469385,0.17261904761904767,0.01303322800434482,1.4860462083439174
42,random,118,336,288,0.3673469387755102,0.1428571428571429,0.010844277673545965,1.4385563751360058
42,random,119,336,268,0.34183673469387754,0.20238095238095233,0.017553939962476547,1.5855247992033707
42,random,120,336,274,0.3494897959183674,0.18452380952380953,0.014068167604752971,1.5092308563562362
42,random,121,336,278,0.35459183673469385,0.17261904761904767,0.014004846779237023,1.5092308563562362
42,random,122,336,281,0.35841836734693877,0.16369047619047616,0.011463414634146341,1.4529663145135578
42,random,123,336,280,0.35714285714285715,0.16666666666666663,0.01236944965603502,1.4719601443879746
42,random,124,336,283,0.36096938775510207,0.15773809523809523,0.011497111681643132,1.4529663145135578
42,random,125,336,273,0.3482142857142857,0.1875,0.015021888680425265,1.532064692570853
42,random,126,336,268,0.34183673469387754,0.20238095238095233,0.01649624765478424,1.563471919941143
42,random,127,336,282,0.3596938775510204,0.1607142857142857,0.013364602876797999,1.4953632037438633
42,spatial,0,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,1,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,2,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,3,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,4,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,5,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,6,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,7,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,8,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,9,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,10,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,11,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,12,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,13,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,14,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,15,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,16,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,17,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,18,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,19,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,20,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,21,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,22,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,23,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,24,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,25,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,26,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,27,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,28,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,29,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,30,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,31,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
