target_root_id,session,scan_idx,replicate,median_partner_reliability,target_reliability,n_manual,n_partners
864691135277186789,4,7,5,0.115879467824,0.311165404884,6,12
864691135277186789,4,7,6,0.158127268219,0.26397222911,6,12
864691135277186789,4,7,7,0.206529538388,0.262343253494,6,12
864691135277186789,4,7,8,0.11077699885,0.293339043798,6,12
864691135277186789,4,7,9,0.151940649299,0.272152176778,6,12
864691135277186789,8,5,0,0.273628925005,0.405216058427,7,17
864691135277186789,8,5,1,0.332790305525,0.397582097231,7,17
864691135277186789,8,5,2,0.264749813294,0.371227430479,7,17
864691135277186789,8,5,3,0.297354102208,0.422799530567,7,17
864691135277186789,8,5,4,0.307287604535,0.334310123301,7,17
864691135277186789,8,5,5,0.278216318017,0.407707417833,7,17
864691135277186789,8,5,6,0.305403984145,0.438442530718,7,17
864691135277186789,8,5,7,0.28497405017,0.426067935325,7,17
864691135277186789,8,5,8,0.335662601718,0.420075287965,7,17
864691135277186789,8,5,9,0.264413438367,0.396691035013,7,17
864691135739661169,7,3,0,0.323016852659,0.239761191022,1,6
864691135739661169,7,3,1,0.326837725381,0.0117998506348,1,6
864691135739661169,7,3,2,0.314225818813,0.180957103893,1,6
864691135739661169,7,3,3,0.34439882107,0.160702320075,1,6
864691135739661169,7,3,4,0.369106481085,0.135747425381,1,6
864691135739661169,7,3,5,0.32372555184,0.145826783656,1,6
864691135739661169,7,3,6,0.340335534025,0.156210999648,1,6
864691135739661169,7,3,7,0.339720125338,0.109977211223,1,6
864691135739661169,7,3,8,0.3033286652,0.0501205140663,1,6
864691135739661169,7,3,9,0.354582522472,0.112945973496,1,6
864691135196576298,7,3,0,0.233786274073,0.4725582714,3,9
864691135196576298,7,3,1,0.249230980231,0.548521718686,3,9
864691135196576298,7,3,2,0.284360978859,0.509502537275,3,9
864691135196576298,7,3,3,0.228416430637,0.531433110042,3,9
864691135196576298,7,3,4,0.249345032248,0.503872645689,3,9
864691135196576298,7,3,5,0.23763502864,0.54378964364,3,9
864691135196576298,7,3,6,0.217795595183,0.518439350589,3,9
864691135196576298,7,3,7,0.250359031011,0.493955653752,3,9
864691135196576298,7,3,8,0.184103870342,0.544187724004,3,9
864691135196576298,7,3,9,0.227115399149,0.507922513036,3,9
864691135324623260,6,6,0,0.364312853304,0.404225743675,2,5
864691135324623260,6,6,1,0.285880324292,0.350824544857,2,5
864691135324623260,6,6,2,0.275080585172,0.364533507653,2,5
864691135324623260,6,6,3,0.322044070994,0.360170339249,2,5
864691135324623260,6,6,4,0.328905782155,0.334794397498,2,5
864691135324623260,6,6,5,0.355296370003,0.342348288284,2,5
864691135324623260,6,6,6,0.278119153349,0.377463201316,2,5
864691135324623260,6,6,7,0.319609516697,0.328016643551,2,5
864691135324623260,6,6,8,0.352149791956,0.359394004054,2,5
864691135324623260,6,6,9,0.309257723409,0.384687953556,2,5
864691135409937097,6,4,0,0.219393856562,0.26168551611,5,9
864691135409937097,6,4,1,0.210250984541,0.187582045103,5,9
864691135409937097,6,4,2,0.213819581392,0.177817790353,5,9
864691135409937097,6,4,3,0.210517998536,0.279967063677,5,9
864691135409937097,6,4,4,0.203292103735,0.254851880958,5,9
864691135409937097,6,4,5,0.259188351765,0.218318764642,5,9
864691135409937097,6,4,6,0.240126030952,0.181132425169,5,9
864691135409937097,6,4,7,0.215048576516,0.251655658995,5,9
864691135409937097,6,4,8,0.140072436533,0.238997847405,5,9
864691135409937097,6,4,9,0.287645045665,0.310666045645,5,9
