target_root_id,session,scan_idx,replicate,method,nmse,n_features,n_available
864691135060651419,5,6,6,training_reliability_ge_0,0.735897096776,10,10
864691135060651419,5,6,6,training_reliability_ge_0.1,0.735897096776,10,10
864691135060651419,5,6,6,training_reliability_ge_0.2,0.734004298915,9,10
864691135060651419,5,6,7,keep_0.25,0.913394134359,2,10
864691135060651419,5,6,7,keep_0.5,0.879633209384,5,10
864691135060651419,5,6,7,keep_0.75,0.774644340588,8,10
864691135060651419,5,6,7,manual_only,0.805183071139,2,10
864691135060651419,5,6,7,noise_0.25,0.756830587031,10,10
864691135060651419,5,6,7,noise_0.5,0.825805953607,10,10
864691135060651419,5,6,7,noise_1,0.867262881844,10,10
864691135060651419,5,6,7,ols_all,0.739429094509,10,10
864691135060651419,5,6,7,ridge_all,0.743894535816,10,10
864691135060651419,5,6,7,ridge_raw,0.721675554293,10,10
864691135060651419,5,6,7,training_mean,1,0,10
864691135060651419,5,6,7,training_reliability_ge_0,0.743894535816,10,10
864691135060651419,5,6,7,training_reliability_ge_0.1,0.743894535816,10,10
864691135060651419,5,6,7,training_reliability_ge_0.2,0.819960630478,9,10
864691135060651419,5,6,8,keep_0.25,1.01598509828,2,10
864691135060651419,5,6,8,keep_0.5,0.96892657026,5,10
864691135060651419,5,6,8,keep_0.75,0.926863138137,8,10
864691135060651419,5,6,8,manual_only,1.11537774891,2,10
864691135060651419,5,6,8,noise_0.25,0.969160785438,10,10
864691135060651419,5,6,8,noise_0.5,0.934963743061,10,10
864691135060651419,5,6,8,noise_1,0.997327886187,10,10
864691135060651419,5,6,8,ols_all,0.958473610527,10,10
864691135060651419,5,6,8,ridge_all,0.935773482302,10,10
864691135060651419,5,6,8,ridge_raw,0.987367632208,10,10
864691135060651419,5,6,8,training_mean,1,0,10
864691135060651419,5,6,8,training_reliability_ge_0,0.935773482302,10,10
864691135060651419,5,6,8,training_reliability_ge_0.1,0.935773482302,10,10
864691135060651419,5,6,8,training_reliability_ge_0.2,0.956601016859,9,10
864691135060651419,5,6,9,keep_0.25,0.956101834778,2,10
864691135060651419,5,6,9,keep_0.5,0.847518715524,5,10
864691135060651419,5,6,9,keep_0.75,0.823880088894,8,10
864691135060651419,5,6,9,manual_only,0.884287072808,2,10
864691135060651419,5,6,9,noise_0.25,0.782128127449,10,10
864691135060651419,5,6,9,noise_0.5,0.778404392729,10,10
864691135060651419,5,6,9,noise_1,0.799489315019,10,10
864691135060651419,5,6,9,ols_all,0.842005044287,10,10
864691135060651419,5,6,9,ridge_all,0.799349381722,10,10
864691135060651419,5,6,9,ridge_raw,0.799459066808,10,10
864691135060651419,5,6,9,training_mean,1,0,10
864691135060651419,5,6,9,training_reliability_ge_0,0.799349381722,10,10
864691135060651419,5,6,9,training_reliability_ge_0.1,0.799349381722,10,10
864691135060651419,5,6,9,training_reliability_ge_0.2,0.799349381722,10,10
864691135060651419,5,7,0,keep_0.25,0.832285447668,2,8
864691135060651419,5,7,0,keep_0.5,0.780495357601,4,8
864691135060651419,5,7,0,keep_0.75,0.77037601858,6,8
864691135060651419,5,7,0,manual_only,0.916652605911,2,8
864691135060651419,5,7,0,noise_0.25,0.796151331286,8,8
864691135060651419,5,7,0,noise_0.5,0.834482784023,8,8
864691135060651419,5,7,0,noise_1,0.889273766006,8,8
864691135060651419,5,7,0,ols_all,0.767667148482,8,8
864691135060651419,5,7,0,ridge_all,0.762168075692,8,8
864691135060651419,5,7,0,ridge_raw,0.776759971321,8,8
864691135060651419,5,7,0,training_mean,1,0,8
864691135060651419,5,7,0,training_reliability_ge_0,0.762168075692,8,8
864691135060651419,5,7,0,training_reliability_ge_0.1,0.762168075692,8,8
864691135060651419,5,7,0,training_reliability_ge_0.2,0.85400653465,6,8
