target_root_id,session,scan_idx,replicate,train_trial_mask_sha256,test_trial_mask_sha256,train_stimulus_ids_sha256,test_stimulus_ids_sha256,n_train_trials,n_test_trials,inner_identity_disjoint
864691135810666525,6,6,4,77570bbcbe4b6ce9035bd90206f21a37ba89b057d0a45bcf41a0c35864be7fb4,ebb2ec56d4e1287e182ba5cc4247ed78e03c02d9966c6d6779c95d5d4c40105b,791ea73b957a2ee09df811b484e3580af44e9afebe02f770b8915f3772e64b13,668d97d6760250178a384b54dff6634171b4aa2cc0d925f2628d6d0edf008ed4,374,90,True
864691135810666525,6,6,5,ee5c37358edc1eee6330a3daa7246bca50112dde861f89b0dc683ad944fdf923,a4ad00eed3b201d7151dbc5f1e4b8291424eb1c77f1aecb2c354d0642b870136,95d70909bc0f551084ed751f15f5f8d972f545bbef61245992d54c3f01447047,a7fe43cad20ae5a0e693c617b0db35b2d68ed2865c9204055c1a3ee3e1cb5481,381,83,True
864691135810666525,6,6,6,e705dd644172c6456685e6944d5d2d22a4696164629b9d86a5bbc6d33cc5d20a,a104c0aeae9f0c24d8accee122aaa297b9c4fe6782ccbb01455fabcd358ccdc2,337517303e820e7992f06ff165715460fcc04c6560e134c7139201a53f645c5c,2cad907d3426d327cac44badf23fed057ce59b4ad6f502db5c33c6cc3ae23099,363,101,True
864691135810666525,6,6,7,5c27d2b3c6d3583aa8c86ab1e9f2f3ab20c476fa67bdb614bb860049eb27a498,0eef4e71f1d9f9f18b984c8c5a47ac9a149eec1d7eca12516d25834cadafac97,dc8717a8c461733eec87f23dfb8d4707ef52d93714a361b8d4d538a9ae0a1640,0d1bfd0eb96fdf9e4d34c148eaa48b904903bcf469340935526bd2fa9a74afa4,381,83,True
864691135810666525,6,6,8,3494c667fb51f0a066a8c1d29572ff03f62949ddabd75641be58b03fef9d44e6,b875d1b2ec0d66f67f7e1d46d7a81819ae3647491d90a9f622715e2a9e43d0fe,4dcf1178d04d350c5b68047b66bfca7bbf1a1c785ac529dbda7039a43414f642,25a1e5a7684d33530f3c168e5b0d76423a6d801347a346749803ac0f309ffca6,375,89,True
864691135810666525,6,6,9,74d8659ca18de465e61c9ec013c9b6218cd5c9a22894fee75640c9fa8df1bb09,9183a255411b004685538b222912b8b995ee6b0b2994b76b20ebf93cbc57bd44,9d686fd1e06dac0be874006e7399ceb1f7290192327abbbea6210fdef2135f34,bcb71b1a3af9f593aaa5a79cd583637bc016890bad1fde01b09af95892e0e1b8,379,85,True
864691135810666525,7,4,0,5bf959798b9d7bd1e5ec9ce683f8fac4f0016027ca43d6a2626ff44efde7bcf8,c4d024b0272afd29630a532fc5b9988dd887655248c132d8a1b3d94e62662b39,84071da343202c8b565e0d79532fff0d7d5f6733faa3943ba1f9389bb4db31f1,c4393ad0fe4dae656431914525f7ef8607441dd01215a1dade78ddbda3b6fef4,372,92,True
864691135810666525,7,4,1,3f81d8ca1c7741c41b65fe82bd066344f6789a3d0ab2b46db58a6a7ebfa0a947,e9ea19d3a4b1a0c8f72ef9fc47db16b033acee8aa65b21d53cbafa17005039e1,8aba653726af6420fe68f05a50b9d4603bc0832a207008d0b66c5e7b7c84aeb2,a9652de16e9c1e915f38adc86efe73073a4613cbdc5beb5886da862f29f19638,373,91,True
864691135810666525,7,4,2,ee3a078319401f1de11c9378169cb225a4dd03344013bdfcd46cc497485bd6ba,c760acd042ac31af27487ea2ef030b2a81d8d1e97baf681e5af7d32eb52e4ec3,e91f6f3e2d3661977450e13213e37a5b24e3f9c10133dab464e40df9485945ec,4702577aff92459ebeb734c0d724f0c400f7b1f86cff3640e06aa4ee3f160fa6,372,92,True
864691135810666525,7,4,3,1e71e30e8f5726d6b3a28a0d65656ef89661ec6a44fb114f66d0e9101371ac6a,fa4ca96c0cc5f0e57059d71eed405409386bdfc2db82cc07b57c77109940cc59,274ba3b38ecc99b4e3993157e478c2abdec837da0fc4eefedc9206f72168352e,69a4a7601bcd5c366862172ffe9f9685f0985be0299d33e767ba0531491cce4b,374,90,True
864691135810666525,7,4,4,4430eeb9572abdec1c3959e523f25251144a01e04dde2272dc197045f9d3ea57,dfea37166c56d74783ac4b29cb1510b9416eecd4b94561014962e1028ab64a8e,82341ec516982745db82fadadde88eaeed19fa00dc78226b05b04a9e92cb2611,5a2deaed5f67c2b9c8906105e786c044f5ca3facf8bac9975a9dedb3f1eb530b,378,86,True
864691135810666525,7,4,5,01ce9cd3e21b8db544b482ffa658fd19cef3f19c030cdb03aa1b8c31354e8137,1625971b931a24438de1366c85d8b791772493d0b8ff4397ca98272dccc3ee05,d6111a370ab744754ed6e1045ad012bb004aed14fb6065b93ae134914d7dd3cb,fba44abfef679cd316e22f891bb6c8edcf1b188b94a563e04d9cedc760a0fbcc,387,77,True
864691135810666525,7,4,6,b170aa61d4a2ed208a5a4aad1222e9bef7decf6883cc013e2b8974294c0afc24,f0fd45d05c9ce098e91bbad8554966ef8900755376bef0fd5df808f433ab899c,372ab25ce57cfd5923e49fa28f732cd1c1702593a882f774965c5de189e50c4e,52222ad0a769b8e786d7ca14ec426960c4dd410e48c8fe18fb57431f42feb90c,375,89,True
864691135810666525,7,4,7,5a129025433e6ca9da479e0a7a795a3886f86e4c1faadd712d69b036c87561c2,96bfad9e5387555b3139c7d59600feda035358619fcac5a02fc922b292022791,1fc5747b01fc40bcabcde24e85a958732e3518986c263c2f8a1a7c283bfe9b83,d7788935bc23094e59979bfac96a036725b535560147a08bbe9c5895ea5d6593,375,89,True
864691135810666525,7,4,8,40b7609e9bf56f5ec873d0fc3972dd3b2c31f944ff763bd8a37f6879479855bf,81ee7ccb49aecf906593f6bd384448f14b8dcdd7a0449b249409903ec73a622f,111d899efe38112a35aa2bc3b8d85394235893035c3fe59ddbded86155af7ddf,a126d86da1583e86a9d56d3e0ce045086b6e40dbf1a7888906c0017f19be142a,366,98,True
864691135810666525,7,4,9,93a8dfb43ee11d36c17035e291ffba44486f0d32d2025876ed0840ec06046665,7a0429aefad0b9418a40ca116d1e852e0fd246fb62809f4bda771f6d1505bbe4,ba53a7f1f3e4f9f2da64bd6054377f9872926bebc1ca7c070558e4a7dfed5f1e,5ca18e26d3eeb89055a9f574b0503fec4848f51e5b973437b865220e32a1de79,382,82,True
