target_root_id,method,nmse,n_features,n_available
864691135324623260,noise_1,0.860710851207,5,5
864691135324623260,ols_all,0.849816759757,5,5
864691135324623260,ridge_all,0.831425861059,5,5
864691135324623260,ridge_raw,0.833024563513,5,5
864691135324623260,training_mean,1,0,5
864691135324623260,training_reliability_ge_0,0.830902227587,4.7,5
864691135324623260,training_reliability_ge_0.1,0.823837123643,4.1,5
864691135324623260,training_reliability_ge_0.2,0.840871002599,3.7,5
864691135409937097,archived_exact compartment error,0.887990966106,9,9
864691135409937097,archived_random anatomical routes,0.943842331641,9,9
864691135409937097,archived_site-shuffled routes,0.910821373724,9,9
864691135409937097,archived_topology-matched routes,0.952831373378,9,9
864691135409937097,keep_0.25,0.956455683543,2,9
864691135409937097,keep_0.5,0.923458912167,4,9
864691135409937097,keep_0.75,0.893870970558,7,9
864691135409937097,manual_only,0.893636514277,5,9
864691135409937097,noise_0.25,0.873870274375,9,9
864691135409937097,noise_0.5,0.880796812544,9,9
864691135409937097,noise_1,0.909992363656,9,9
864691135409937097,ols_all,0.879861531825,9,9
864691135409937097,ridge_all,0.885547088965,9,9
864691135409937097,ridge_raw,0.872259456048,9,9
864691135409937097,training_mean,1,0,9
864691135409937097,training_reliability_ge_0,0.880841163047,8.7,9
864691135409937097,training_reliability_ge_0.1,0.880182856809,6.9,9
864691135409937097,training_reliability_ge_0.2,0.919850117613,5.3,9
864691135739661169,archived_exact compartment error,0.791078974413,6,6
864691135739661169,archived_random anatomical routes,0.79060620497,6,6
864691135739661169,archived_site-shuffled routes,0.809445481952,6,6
864691135739661169,archived_topology-matched routes,0.79051214704,6,6
864691135739661169,keep_0.25,0.917181639466,2,6
864691135739661169,keep_0.5,0.893244291762,3,6
864691135739661169,keep_0.75,0.870125100454,4,6
864691135739661169,manual_only,0.932630264505,1,6
864691135739661169,noise_0.25,0.834471121078,6,6
864691135739661169,noise_0.5,0.85836909724,6,6
864691135739661169,noise_1,0.912870864824,6,6
864691135739661169,ols_all,0.826669088244,6,6
864691135739661169,ridge_all,0.82481730375,6,6
864691135739661169,ridge_raw,0.82971013166,6,6
864691135739661169,training_mean,1,0,6
864691135739661169,training_reliability_ge_0,0.827330916741,5.9,6
864691135739661169,training_reliability_ge_0.1,0.827491795148,5.3,6
864691135739661169,training_reliability_ge_0.2,0.831256568969,5,6
864691135810666525,archived_exact compartment error,0.631443445844,9,9
864691135810666525,archived_random anatomical routes,0.735987286697,9,9
864691135810666525,archived_site-shuffled routes,0.714820548447,9,9
864691135810666525,archived_topology-matched routes,0.758739750612,9,9
864691135810666525,keep_0.25,0.780515657851,2.25,9
864691135810666525,keep_0.5,0.704891614701,4.5,9
864691135810666525,keep_0.75,0.658606847743,6.75,9
864691135810666525,manual_only,0.912456312296,1.75,9
864691135810666525,noise_0.25,0.643402909233,9,9
864691135810666525,noise_0.5,0.669163732794,9,9
864691135810666525,noise_1,0.735215191807,9,9
864691135810666525,ols_all,0.632283738757,9,9
864691135810666525,ridge_all,0.634406786246,9,9
864691135810666525,ridge_raw,0.652248680963,9,9
864691135810666525,training_mean,1,0,9
864691135810666525,training_reliability_ge_0,0.646219909533,8.625,9
864691135810666525,training_reliability_ge_0.1,0.671457057784,6.575,9
864691135810666525,training_reliability_ge_0.2,0.751563015759,3.475,9
