target_root_id,session,scan_idx,method,nmse,n_features,n_available
864691135409937097,6,4,noise_1,0.909992363656,9,9
864691135409937097,6,4,ols_all,0.879861531825,9,9
864691135409937097,6,4,ridge_all,0.885547088965,9,9
864691135409937097,6,4,ridge_raw,0.872259456048,9,9
864691135409937097,6,4,training_mean,1,0,9
864691135409937097,6,4,training_reliability_ge_0,0.880841163047,8.7,9
864691135409937097,6,4,training_reliability_ge_0.1,0.880182856809,6.9,9
864691135409937097,6,4,training_reliability_ge_0.2,0.919850117613,5.3,9
864691135739661169,7,3,archived_exact compartment error,0.791078974413,6,6
864691135739661169,7,3,archived_random anatomical routes,0.79060620497,6,6
864691135739661169,7,3,archived_site-shuffled routes,0.809445481952,6,6
864691135739661169,7,3,archived_topology-matched routes,0.79051214704,6,6
864691135739661169,7,3,keep_0.25,0.917181639466,2,6
864691135739661169,7,3,keep_0.5,0.893244291762,3,6
864691135739661169,7,3,keep_0.75,0.870125100454,4,6
864691135739661169,7,3,manual_only,0.932630264505,1,6
864691135739661169,7,3,noise_0.25,0.834471121078,6,6
864691135739661169,7,3,noise_0.5,0.85836909724,6,6
864691135739661169,7,3,noise_1,0.912870864824,6,6
864691135739661169,7,3,ols_all,0.826669088244,6,6
864691135739661169,7,3,ridge_all,0.82481730375,6,6
864691135739661169,7,3,ridge_raw,0.82971013166,6,6
864691135739661169,7,3,training_mean,1,0,6
864691135739661169,7,3,training_reliability_ge_0,0.827330916741,5.9,6
864691135739661169,7,3,training_reliability_ge_0.1,0.827491795148,5.3,6
864691135739661169,7,3,training_reliability_ge_0.2,0.831256568969,5,6
864691135810666525,4,10,archived_exact compartment error,0.642783706206,9,9
864691135810666525,4,10,archived_random anatomical routes,0.746384341557,9,9
864691135810666525,4,10,archived_site-shuffled routes,0.787415778676,9,9
864691135810666525,4,10,archived_topology-matched routes,0.724298135362,9,9
864691135810666525,4,10,keep_0.25,0.864826185152,2,9
864691135810666525,4,10,keep_0.5,0.764746931305,4,9
864691135810666525,4,10,keep_0.75,0.675177588325,7,9
