config_index,status,run_name,seed,condition,dataset,learning_rule,rule_variant,broadcast_mode,broadcast_rank,core,normalize_inputs,has_i_to_e,has_i_to_i,additive_gain_mode,dendritic_normalization,train_accuracy,valid_accuracy,test_accuracy,train_loss,valid_loss,test_loss
61,complete,cifar10_shunting_5f_path_transport_learned_i_s43,43,cifar10_shunting_5f_path_transport_learned_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,True,False,none,False,0.5289555788040161,0.4621999859809875,0.4721999764442444,,,
62,complete,cifar10_shunting_5f_path_transport_learned_i_s44,44,cifar10_shunting_5f_path_transport_learned_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,True,False,none,False,0.5458000302314758,0.4709999859333038,0.4812999963760376,,,
63,complete,cifar10_shunting_5f_path_transport_learned_i_s45,45,cifar10_shunting_5f_path_transport_learned_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,True,False,none,False,0.5356666445732117,0.4790000021457672,0.4711999893188476,,,
64,complete,cifar10_shunting_5f_path_transport_learned_i_s46,46,cifar10_shunting_5f_path_transport_learned_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,True,False,none,False,0.5351777672767639,0.4755999743938446,0.4711999893188476,,,
65,complete,cifar10_shunting_5f_path_transport_no_i_s42,42,cifar10_shunting_5f_path_transport_no_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,False,False,none,False,0.3729333281517029,0.362199991941452,0.371099978685379,,,
66,complete,cifar10_shunting_5f_path_transport_no_i_s43,43,cifar10_shunting_5f_path_transport_no_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,False,False,none,False,0.3946666717529297,0.3677999973297119,0.3903999924659729,,,
67,complete,cifar10_shunting_5f_path_transport_no_i_s44,44,cifar10_shunting_5f_path_transport_no_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,False,False,none,False,0.3878888785839081,0.3651999831199646,0.3819999992847442,,,
68,complete,cifar10_shunting_5f_path_transport_no_i_s45,45,cifar10_shunting_5f_path_transport_no_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,False,False,none,False,0.3984888792037964,0.3944000005722046,0.3967999815940857,,,
69,complete,cifar10_shunting_5f_path_transport_no_i_s46,46,cifar10_shunting_5f_path_transport_no_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,False,False,none,False,0.3958222270011902,0.3910000026226043,0.3913999795913696,,,
45,complete,cifar10_shunting_5f_per_soma_learned_i_s42,42,cifar10_shunting_5f_per_soma_learned_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,True,False,none,False,0.2775777876377105,0.2777999937534332,0.2759999930858612,,,
46,complete,cifar10_shunting_5f_per_soma_learned_i_s43,43,cifar10_shunting_5f_per_soma_learned_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,True,False,none,False,0.300266683101654,0.2856000065803528,0.3030999898910522,,,
47,complete,cifar10_shunting_5f_per_soma_learned_i_s44,44,cifar10_shunting_5f_per_soma_learned_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,True,False,none,False,0.2947555482387543,0.2845999896526336,0.2954999804496765,,,
48,complete,cifar10_shunting_5f_per_soma_learned_i_s45,45,cifar10_shunting_5f_per_soma_learned_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,True,False,none,False,0.2961111068725586,0.2976000010967254,0.2985999882221222,,,
49,complete,cifar10_shunting_5f_per_soma_learned_i_s46,46,cifar10_shunting_5f_per_soma_learned_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,True,False,none,False,0.311088889837265,0.3141999840736389,0.3104999959468841,,,
50,complete,cifar10_shunting_5f_per_soma_no_i_s42,42,cifar10_shunting_5f_per_soma_no_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,False,False,none,False,0.2196000069379806,0.2169999927282333,0.2203999906778335,,,
51,complete,cifar10_shunting_5f_per_soma_no_i_s43,43,cifar10_shunting_5f_per_soma_no_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,False,False,none,False,0.2232666760683059,0.2104000002145767,0.2225999981164932,,,
52,complete,cifar10_shunting_5f_per_soma_no_i_s44,44,cifar10_shunting_5f_per_soma_no_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,False,False,none,False,0.2247777730226516,0.2243999987840652,0.231699988245964,,,
53,complete,cifar10_shunting_5f_per_soma_no_i_s45,45,cifar10_shunting_5f_per_soma_no_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,False,False,none,False,0.225600004196167,0.2349999994039535,0.2280000001192093,,,
54,complete,cifar10_shunting_5f_per_soma_no_i_s46,46,cifar10_shunting_5f_per_soma_no_i,cifar10,local_ca,5f,per_soma,4.0,shunting,False,False,False,none,False,0.2112666666507721,0.2101999968290329,0.2123999893665313,,,
5,complete,cifar10_shunting_standard_learned_i_s42,42,cifar10_shunting_standard_learned_i,cifar10,standard,,,,shunting,False,True,False,,False,0.5889333486557007,0.4966000020503998,0.499099999666214,,,
6,complete,cifar10_shunting_standard_learned_i_s43,43,cifar10_shunting_standard_learned_i,cifar10,standard,,,,shunting,False,True,False,,False,0.5526666641235352,0.4745999872684479,0.4968999922275543,,,
7,complete,cifar10_shunting_standard_learned_i_s44,44,cifar10_shunting_standard_learned_i,cifar10,standard,,,,shunting,False,True,False,,False,0.568422257900238,0.4937999844551086,0.4906999766826629,,,
8,complete,cifar10_shunting_standard_learned_i_s45,45,cifar10_shunting_standard_learned_i,cifar10,standard,,,,shunting,False,True,False,,False,0.5835333466529846,0.4989999830722809,0.4909999966621399,,,
9,complete,cifar10_shunting_standard_learned_i_s46,46,cifar10_shunting_standard_learned_i,cifar10,standard,,,,shunting,False,True,False,,False,0.5760889053344727,0.5098000168800354,0.4980999827384949,,,
10,complete,cifar10_shunting_standard_no_i_s42,42,cifar10_shunting_standard_no_i,cifar10,standard,,,,shunting,False,False,False,,False,0.4540444612503052,0.4417999982833862,0.4441999793052673,,,
11,complete,cifar10_shunting_standard_no_i_s43,43,cifar10_shunting_standard_no_i,cifar10,standard,,,,shunting,False,False,False,,False,0.4644222259521484,0.4403999745845794,0.4535000026226043,,,
12,complete,cifar10_shunting_standard_no_i_s44,44,cifar10_shunting_standard_no_i,cifar10,standard,,,,shunting,False,False,False,,False,0.44195556640625,0.4249999821186065,0.4310999810695648,,,
13,complete,cifar10_shunting_standard_no_i_s45,45,cifar10_shunting_standard_no_i,cifar10,standard,,,,shunting,False,False,False,,False,0.4522888958454132,0.4381999969482422,0.4424999952316284,,,
14,complete,cifar10_shunting_standard_no_i_s46,46,cifar10_shunting_standard_no_i,cifar10,standard,,,,shunting,False,False,False,,False,0.43631112575531,0.4311999976634979,0.4219000041484833,,,
