dataset,network_type,rule_variant,error_broadcast_mode,decoder_update_mode,dynamics_mode,lr,decoder_lr,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_additive,3f,per_soma,local,auto,0.0015,0.0015,0.8711666464805603,0.014716983974513405,0.8761333028475443,0.015097770728481093,-0.42670561869939166,0.05273081167915813
mnist,dendritic_additive,4f,local_mismatch,backprop,auto,0.0015,0.0015,0.44602776567141217,0.13754508568622675,0.4587666690349579,0.1319773339368375,-1.8992685079574585,0.2235343260834863
mnist,dendritic_additive,4f,local_mismatch,backprop,auto,0.003,0.0015,0.44602776567141217,0.13754508568622675,0.4587666690349579,0.1319773339368375,-1.8992685079574585,0.2235343260834863
mnist,dendritic_additive,4f,local_mismatch,backprop,auto,0.0008,0.0015,0.44602776567141217,0.13754508568622675,0.4587666690349579,0.1319773339368375,-1.8992685079574585,0.2235343260834863
mnist,dendritic_additive,3f,local_mismatch,local,auto,0.003,0.0015,0.4293610950311025,0.0763648567613996,0.43843331933021545,0.07982615062618321,-1.9768027861913045,0.19453477557704923
mnist,dendritic_additive,3f,local_mismatch,local,auto,0.0015,0.0015,0.4293610950311025,0.0763648567613996,0.43843331933021545,0.07982615062618321,-1.9768027861913045,0.19453477557704923
mnist,dendritic_additive,3f,local_mismatch,local,auto,0.0008,0.0015,0.4293610950311025,0.0763648567613996,0.43843331933021545,0.07982615062618321,-1.9768027861913045,0.19453477557704923
mnist,dendritic_additive,5f,local_mismatch,backprop,auto,0.0015,0.0015,0.42719443639119464,0.07713770615477526,0.43586665391921997,0.08378151235589489,-1.9788598616917927,0.1511543313283961
mnist,dendritic_additive,5f,local_mismatch,backprop,auto,0.003,0.0015,0.42719443639119464,0.07713770615477526,0.43586665391921997,0.08378151235589489,-1.9788598616917927,0.1511543313283961
mnist,dendritic_additive,5f,local_mismatch,backprop,auto,0.0008,0.0015,0.42719443639119464,0.07713770615477526,0.43586665391921997,0.08378151235589489,-1.9788598616917927,0.1511543313283961
mnist,dendritic_additive,3f,local_mismatch,backprop,auto,0.0008,0.0015,0.4227222204208374,0.09696542830678946,0.4307333330313365,0.0998487562763042,-1.952078143755595,0.20894957484178164
