segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction
7130,6738,61.39229220871219,0.33099673981075145,631.64,482.072,805.16,31,5,123.95739618197628,0,True,False,51,577736.0,9,30136.0,864691135060651419,2.5412805190882524,0.06243422197545392,-7.009198907724464,-7.941867003091669,0.012403054177166492
7161,5247,68.23608189265002,0.37483097653235903,716.832,393.616,901.64,31,7,122.63295578410495,0,True,False,60,743360.0,13,56204.0,864691135060651419,3.27001347426422,0.11644056981379122,-6.586953585735335,-7.771747691206105,0.015958732627252732
7163,0,19.008522756460685,3.0012363916010676,706.616,487.504,841.04,2,1,19.008522756460685,3,False,True,0,0.0,6,34152.0,864691135060651419,23.676711809886275,0.0707543651747313,-1.9646864705770295,-5.129178411571176,0.11633000673677667
7166,7163,13.758522615941008,0.3961046881988208,703.872,488.28,827.72,3,2,32.7670453724017,2,False,True,2,5796.0,2,13688.0,864691135060651419,1.2599605195571473,0.028358097637377663,-3.956487435081571,-4.187567821869243,0.03121484821642872
7203,7166,89.42706075883214,0.3609323428003953,684.792,460.4,757.28,37,3,122.19410613123384,0,True,False,80,733756.0,27,158544.0,864691135060651419,3.884814451501771,0.3284633424766514,-5.07261774759926,-6.42969297004711,0.01575255033582982
7207,7163,5.315404864734327,0.48101213010439064,704.632,483.552,838.4,4,2,24.32392762119501,2,False,True,1,1336.0,3,12888.0,864691135060651419,4.960208511854035,0.026700698593696913,-2.6170102635565566,-4.218458042090042,0.05819587489432192
7242,7207,97.7358093978506,0.3861404000226904,683.24,461.6,760.16,35,3,122.05973701904561,0,True,False,85,955720.0,30,150628.0,864691135060651419,4.672876371740537,0.31206337893943037,-5.057331635804102,-6.599106443306932,0.020517757138557333
7300,6625,92.10584959772986,0.34090464588744146,617.592,518.768,839.44,58,3,121.56490955714062,0,True,False,87,760296.0,16,124036.0,864691135060651419,3.8129305790531443,0.2569714347274822,-5.18672330759086,-6.5251213819153255,0.016322321057858562
7302,5224,10.2922415824277,0.4507341011696082,712.432,464.776,844.12,2,3,24.69078790306345,2,False,True,0,0.0,3,2748.0,864691135060651419,6.196450164273204,0.005693165715043382,-3.7590224172672073,-5.5829989911970515,0.04599496695372749
7305,7302,12.129727714066252,0.4823692594087556,712.84,467.728,832.56,3,4,36.8205156171297,3,False,True,8,77888.0,4,34320.0,864691135060651419,3.855670096141122,0.07110241897390425,-3.8902460740817717,-5.23979089118995,0.027577332313728553
7340,7305,84.74360541576776,0.31895380776698473,708.736,497.928,775.44,35,5,121.56412103289746,0,True,False,60,674788.0,9,17848.0,864691135060651419,3.140103357629606,0.03697657266451757,-6.318336249866264,-7.462591965687242,0.01448660308878419
7356,0,15.747388406105452,2.4855206221060846,719.704,491.04,847.8,4,1,15.747388406105452,2,False,True,1,7180.0,10,40484.0,864691135060651419,16.049674954056055,0.08387267860546445,-1.9646864705770295,-4.740375067864243,0.08546371908714744
7358,7356,4.629669664098221,0.46238191326134614,720.288,495.336,846.2,2,2,20.377058070203674,2,False,True,0,0.0,2,6392.0,864691135060651419,11.241461487872165,0.013242618359009207,-2.1690858289290427,-4.5886946905533925,0.06467039386313567
7362,7358,5.41069620522365,0.4130593274152084,724.368,498.576,846.04,4,3,25.787754275427325,2,False,True,2,6200.0,1,6236.0,864691135060651419,2.0141271712492146,0.012919425545491461,-2.39889764429979,-3.0990835802219583,0.0353827189012313
7412,7362,93.46632399480426,0.34067137148940546,768.44,551.712,884.64,50,4,119.25407827023159,0,True,False,93,754976.0,15,68112.0,864691135060651419,3.713931131399792,0.1411109545789792,-4.143855840898796,-5.455946760684795,0.01620810929293042
7451,6636,69.46458287503845,0.37966048222214066,619.208,449.312,865.4,39,4,118.65005169637824,0,True,False,85,843824.0,11,42108.0,864691135060651419,3.499159177641471,0.08723719866413637,-4.4231756174347545,-5.675698322109502,0.018115531640737877
7459,7026,14.243237304115116,0.3132805769663203,684.632,502.56,849.8,8,3,45.17078721827063,2,False,True,8,43808.0,2,9232.0,864691135060651419,1.3223001803833825,0.019126384964075874,-4.566567704065239,-4.845940485062252,0.026454192709596838
7496,7459,73.25281076273968,0.3313392288566558,632.736,522.48,816.24,37,4,118.42359798101032,0,True,False,57,579968.0,11,52668.0,864691135060651419,2.8418255453339287,0.10911486604072229,-5.7025793277974355,-6.74702597111742,0.012450971594331834
7497,5887,9.655854182825994,0.397,701.912,438.536,874.04,1,7,60.069395145102135,2,False,True,0,0.0,0,0.0,864691135060651419,1.4313040597690823,0.0,-5.449133966500557,-5.807719925125362,
7520,7497,57.52677261771969,0.3307607609277378,680.064,433.992,919.64,23,8,117.59616776282184,0,True,False,53,496516.0,8,42548.0,864691135060651419,2.317155962298227,0.08814876813816079,-6.426187346225966,-7.266527901580988,0.010659392608094351
7558,7302,91.4663938559615,0.38691761566422567,714.992,426.76,781.2,38,4,116.15718175902495,0,True,False,77,857896.0,25,145664.0,864691135060651419,4.311689893934438,0.3017792178733913,-6.351554679564474,-7.8128845935939335,0.018417634639998934
7564,7163,8.717482269258873,0.3698241136335604,701.864,493.208,836.96,6,2,27.72600502571956,2,False,True,2,35144.0,3,14452.0,864691135060651419,1.0291251665054932,0.029940913724092782,-3.6374614748048897,-3.6661705632345942,0.02691928362602603
7605,7564,88.42125622545983,0.3056699505469369,675.64,541.728,780.96,41,3,116.14726125117939,0,True,False,64,637388.0,9,28644.0,864691135060651419,3.0848872183781584,0.059343172758989315,-4.872278750982505,-5.998793849609409,0.013683685793988596
7650,6503,85.36740228844972,0.3591639257945743,771.496,432.92,915.8,45,3,115.52816918930941,0,True,False,77,737768.0,19,62232.0,864691135060651419,3.5916327955706016,0.1289290716079257,-5.978649524463051,-7.257256441272704,0.01583868146381698
7681,6952,82.01218219500724,0.34423793139008,728.944,484.568,949.36,31,3,115.23310973904518,0,True,False,79,659320.0,15,68832.0,864691135060651419,3.2895371803983298,0.1426026137182919,-4.6975963140470185,-5.888343194277729,0.014154530235417927
7686,6855,11.206760281592517,0.4266960618970082,695.472,481.344,874.48,5,2,27.842468475772257,2,False,True,0,0.0,4,19872.0,864691135060651419,11.803707131660811,0.041169792245029875,-2.5836992161046255,-5.052112861937232,0.0455493693234928
7738,7686,86.08460385588263,0.34791079219306054,636.512,443.296,895.56,52,3,113.9270723316549,0,True,False,80,796788.0,16,56908.0,864691135060651419,3.6580160694967176,0.11789908097223029,-5.972558880803552,-7.269479823735983,0.017105745066459656
7787,7356,96.1806755487546,0.36808865600354257,761.632,483.888,794.04,49,2,111.92806395486006,0,True,False,93,961376.0,19,99480.0,864691135060651419,4.431216483640814,0.20609757108170149,-5.658963528778227,-7.147637676412565,0.020639182278112518
7803,7362,28.031993344124093,0.3846912111524343,745.8,508.024,836.28,16,4,53.81974761955142,2,False,True,18,209004.0,8,26408.0,864691135060651419,2.911574511190341,0.05471074243190162,-2.6965557762048253,-3.7652497802006737,0.019041505671730484
7836,7803,57.54490597059077,0.33486613660631365,788.44,516.88,848.44,33,5,111.36465359014218,0,True,False,48,488996.0,6,18448.0,864691135060651419,2.2669289871456377,0.03821962194727813,-4.359361322817643,-5.177787369258513,0.010497950414060585
7844,6769,19.107095993326688,0.3785905840893917,736.8,476.344,882.0,8,3,38.10246561859195,2,False,True,8,70872.0,5,32072.0,864691135060651419,1.8159758696543844,0.06644512766116134,-3.7793715956125826,-4.375994588068152,0.02777278041671837
7872,7844,73.10652209153936,0.3605028214273388,780.84,473.584,931.36,28,4,111.20898771013131,0,True,False,67,754408.0,17,61404.0,864691135060651419,3.3527621174085365,0.1272136635977161,-5.061920251804217,-6.271704770576619,0.01619591525487042
7910,7030,72.84114778733966,0.3407716964628916,677.672,557.856,867.88,38,4,111.20443930092284,0,True,False,78,671856.0,10,36248.0,864691135060651419,3.0329152526116956,0.07509675066917486,-4.157955535096232,-5.267479821642332,0.014423657807812514
7914,7686,5.642683358575718,0.4694048687376923,691.464,484.48,874.68,4,3,33.485151834347974,2,False,True,5,30596.0,3,11124.0,864691135060651419,1.0129792320061008,0.023046133702380855,-2.6485489215658156,-2.6614446451474763,0.02844362425703315
7959,7914,77.65003991932142,0.318251585349659,641.896,521.0,888.36,45,4,111.13519175366939,0,True,False,62,646088.0,14,48812.0,864691135060651419,2.998623514725372,0.10112620265018107,-3.6569799167715855,-4.755133271720848,0.01387046067272447
7968,7358,14.460255970943717,0.3320241900010828,714.36,507.296,841.8,9,3,34.837314041147394,2,False,True,1,13372.0,4,19000.0,864691135060651419,1.3000948133546713,0.039363227287417854,-3.818690599413291,-4.081127794571022,0.029287674961904365
8013,7968,76.27595783898238,0.3367197054379106,684.408,565.48,831.92,45,4,111.11327188012977,0,True,False,66,681468.0,11,57956.0,864691135060651419,3.152144647330095,0.12007027371945206,-4.945991529179968,-6.094074590773068,0.014630011846250355
8015,6767,5.486318562735543,0.35173159949506894,730.136,477.624,862.4,2,2,19.441326172161144,2,False,True,0,0.0,2,7968.0,864691135060651419,1.049072861538848,0.01650769447506029,-2.844904144017728,-2.8928109291121107,0.032750524150421186
8058,8015,90.16779902981926,0.37193264550077404,785.616,467.736,816.0,43,3,109.6091252019804,0,True,False,76,792672.0,24,117508.0,864691135060651419,4.001295459735539,0.24344705853104723,-3.7260653881188945,-5.112683561739743,0.017017381227278406
