task_id,family,bound,total_bound,depth,normalized_mse,max_local_error,parameter_norm,max_abs_parameter
matching_054,quadratic_matching,0.0,0.0,3,1.8125491629797037e-30,2.662405555120915e-30,2.645751311064591,1.000000000000001
matching_055,quadratic_matching,0.0,0.0,3,1.433751165423211e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_056,quadratic_matching,0.0,0.0,3,1.5183568999562971e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_057,quadratic_matching,0.0,0.0,3,2.0143693044515318e-30,4.88415833896603e-30,2.6457513110645916,1.000000000000001
matching_058,quadratic_matching,0.0,0.0,3,1.162743960960814e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_059,quadratic_matching,0.0,0.0,3,1.172814994831903e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_060,quadratic_matching,0.0,0.0,3,7.5123702695115835e-31,1.2818989709841442e-30,2.6457513110645907,1.000000000000001
matching_061,quadratic_matching,0.0,0.0,3,6.766114375067055e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_062,quadratic_matching,0.0,0.0,3,8.867368320244191e-31,2.2186712959340957e-30,2.6457513110645907,1.0000000000000013
matching_063,quadratic_matching,0.0,0.0,3,8.828769206269516e-31,1.5638551148424355e-30,2.645751311064591,1.000000000000001
matching_064,quadratic_matching,0.0,0.0,3,6.669069813940158e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_065,quadratic_matching,0.0,0.0,3,7.176531784918919e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_066,quadratic_matching,0.0,0.0,3,1.2275784585307291e-30,1.779559268613806e-30,2.645751311064591,1.000000000000001
matching_067,quadratic_matching,0.0,0.0,3,4.657679419351319e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_068,quadratic_matching,0.0,0.0,3,5.696624741448493e-31,2.2186712959340957e-30,2.6457513110645907,1.0000000000000013
matching_069,quadratic_matching,0.0,0.0,3,2.1805731496318025e-30,2.662405555120915e-30,2.6457513110645907,1.000000000000001
matching_070,quadratic_matching,0.0,0.0,3,1.5058638314149271e-30,2.662405555120915e-30,2.6457513110645907,1.000000000000001
matching_071,quadratic_matching,0.0,0.0,3,1.6989194920133106e-30,2.662405555120915e-30,2.6457513110645907,1.000000000000001
matching_072,quadratic_matching,0.0,0.0,3,2.1437934448864156e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_073,quadratic_matching,0.0,0.0,3,1.3491679564801099e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_074,quadratic_matching,0.0,0.0,3,1.2991792232289233e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_075,quadratic_matching,0.0,0.0,3,1.1592693138456246e-30,1.5592328829759061e-30,2.645751311064591,1.000000000000001
matching_076,quadratic_matching,0.0,0.0,3,8.645254176975026e-31,1.7749370367472766e-30,2.6457513110645907,1.0000000000000013
matching_077,quadratic_matching,0.0,0.0,3,1.0799690400805023e-30,1.8242408433235898e-30,2.645751311064591,1.0000000000000013
matching_078,quadratic_matching,0.0,0.0,3,7.7200088643935085e-31,1.5592328829759061e-30,2.6457513110645907,1.000000000000001
matching_079,quadratic_matching,0.0,0.0,3,5.751439725901189e-31,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
matching_080,quadratic_matching,0.0,0.0,3,9.038178972452632e-31,1.8242408433235898e-30,2.645751311064591,1.0000000000000013
matching_081,quadratic_matching,0.0,0.0,3,7.8170135246930125e-31,1.5592328829759061e-30,2.645751311064591,1.000000000000001
matching_082,quadratic_matching,0.0,0.0,3,9.981148384696754e-31,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
matching_083,quadratic_matching,0.0,0.0,3,5.1125226977305276e-31,1.7749370367472766e-30,2.6457513110645907,1.0000000000000013
matching_084,quadratic_matching,0.0,0.0,3,1.99573617028008e-30,2.8596207814261678e-30,2.645751311064591,1.000000000000001
matching_085,quadratic_matching,0.0,0.0,3,1.0711007069154177e-30,2.8596207814261678e-30,2.645751311064591,1.000000000000001
matching_086,quadratic_matching,0.0,0.0,3,1.1077786477358008e-30,2.8596207814261678e-30,2.645751311064591,1.000000000000001
matching_087,quadratic_matching,0.0,0.0,3,1.2964377579619487e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_088,quadratic_matching,0.0,0.0,3,1.5251680196875495e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_089,quadratic_matching,0.0,0.0,3,1.3110229697529021e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_090,quadratic_matching,0.0,0.0,3,9.402218930581203e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_091,quadratic_matching,0.0,0.0,3,8.274194085797188e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_092,quadratic_matching,0.0,0.0,3,9.520730910801594e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_093,quadratic_matching,0.0,0.0,3,4.845172708703291e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_094,quadratic_matching,0.0,0.0,3,5.41609960744894e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_095,quadratic_matching,0.0,0.0,3,4.205273660965852e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_096,quadratic_matching,0.0,0.0,3,4.181499359490183e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_097,quadratic_matching,0.0,0.0,3,5.358261596111449e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_098,quadratic_matching,0.0,0.0,3,4.8315409297689065e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_099,quadratic_matching,0.0,0.0,3,1.2878868688722702e-30,2.8596207814261678e-30,2.6457513110645907,1.0000000000000013
matching_100,quadratic_matching,0.0,0.0,3,1.0084545985566761e-30,2.8596207814261678e-30,2.645751311064591,1.0000000000000013
matching_101,quadratic_matching,0.0,0.0,3,1.4741827784554919e-30,2.8596207814261678e-30,2.6457513110645907,1.0000000000000013
matching_102,quadratic_matching,0.0,0.0,3,9.671328451011028e-31,2.662405555120915e-30,2.6457513110645907,1.0000000000000013
matching_103,quadratic_matching,0.0,0.0,3,8.860781756368227e-31,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_104,quadratic_matching,0.0,0.0,3,1.0857066389448093e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
quartet_000,quartic_partition,0.0,0.0,3,2.3672282297832252e-30,3.173932548350165e-30,2.5495097567963927,1.0000000000000013
quartet_001,quartic_partition,0.0,0.0,3,1.7751296297417153e-30,2.4775162804597402e-30,2.5495097567963927,1.0000000000000013
quartet_002,quartic_partition,0.0,0.0,3,2.063374461592737e-30,2.4775162804597402e-30,2.5495097567963927,1.0000000000000013
quartet_003,quartic_partition,0.0,0.0,3,2.203841635362314e-30,2.742524240807424e-30,2.5495097567963927,1.0000000000000013
quartet_004,quartic_partition,0.0,0.0,3,2.847030366678717e-30,4.0729566463901264e-30,2.549509756796393,1.000000000000001
quartet_005,quartic_partition,0.0,0.0,3,2.030595677849798e-30,2.6261980721664348e-30,2.5495097567963927,1.0000000000000013
quartet_006,quartic_partition,0.0,0.0,3,2.335038118136528e-30,2.588449845256445e-30,2.5495097567963922,1.0000000000000013
quartet_007,quartic_partition,0.0,0.0,3,2.6697740375659936e-30,2.7463761006961983e-30,2.549509756796393,1.0000000000000013
quartet_008,quartic_partition,0.0,0.0,3,3.9250363209236115e-30,3.740926323977767e-30,2.549509756796393,1.000000000000001
quartet_009,quartic_partition,0.0,0.0,3,2.232489903043582e-30,2.4775162804597402e-30,2.5495097567963927,1.0000000000000013
quartet_010,quartic_partition,0.0,0.0,3,2.7382315543654958e-30,2.784124327606188e-30,2.5495097567963927,1.0000000000000013
quartet_011,quartic_partition,0.0,0.0,3,2.3423563481704284e-30,3.657726150380238e-30,2.5495097567963936,1.000000000000001
quartet_012,quartic_partition,0.0,0.0,3,2.4269045026114246e-30,3.530614774050681e-30,2.5495097567963927,1.000000000000001
quartet_013,quartic_partition,0.0,0.0,3,3.320555722473319e-30,3.931208202483226e-30,2.5495097567963927,1.0000000000000013
quartet_014,quartic_partition,0.0,0.0,3,6.870045616888839e-30,3.959711965660157e-30,2.5495097567963922,1.0000000000000013
quartet_015,quartic_partition,0.0,0.0,3,2.0048415383445246e-30,3.737844836066747e-30,2.5495097567963927,1.000000000000001
quartet_016,quartic_partition,0.0,0.0,3,1.1336314799158489e-30,1.7749370367472766e-30,2.5495097567963922,1.0000000000000013
quartet_017,quartic_partition,0.0,0.0,3,1.357684314295782e-30,3.1099916741965085e-30,2.5495097567963927,1.0000000000000013
quartet_018,quartic_partition,0.0,0.0,3,1.2802975719522893e-30,1.7256332301709633e-30,2.5495097567963922,1.000000000000001
quartet_019,quartic_partition,0.0,0.0,3,8.306535850142148e-31,1.8242408433235898e-30,2.5495097567963922,1.0000000000000013
quartet_020,quartic_partition,0.0,0.0,3,1.717881362144805e-30,3.046821172020607e-30,2.549509756796393,1.0000000000000013
quartet_021,quartic_partition,0.0,0.0,3,1.9508707371670506e-30,1.7441221576370808e-30,2.5495097567963922,1.000000000000001
quartet_022,quartic_partition,0.0,0.0,3,2.7434628331700955e-30,3.1261694857293612e-30,2.5495097567963927,1.000000000000001
quartet_023,quartic_partition,0.0,0.0,3,1.4722806206950279e-30,2.2186712959340957e-30,2.549509756796392,1.0000000000000013
quartet_024,quartic_partition,0.0,0.0,3,1.201826367412393e-30,2.2032638563789978e-30,2.5495097567963922,1.0000000000000013
quartet_025,quartic_partition,0.0,0.0,3,9.46209381677449e-31,1.8242408433235898e-30,2.5495097567963922,1.0000000000000013
quartet_026,quartic_partition,0.0,0.0,3,2.9353083341638948e-30,2.6885982023645813e-30,2.5495097567963922,1.0000000000000013
quartet_027,quartic_partition,0.0,0.0,3,1.4888632458994467e-30,2.195560136601449e-30,2.5495097567963922,1.000000000000001
quartet_028,quartic_partition,0.0,0.0,3,1.9246242507837375e-30,2.4883014881483087e-30,2.549509756796393,1.000000000000001
quartet_029,quartic_partition,0.0,0.0,3,1.223177159978632e-30,2.2186712959340957e-30,2.549509756796392,1.0000000000000013
quartet_030,quartic_partition,0.0,0.0,3,8.501861388360025e-31,1.8242408433235898e-30,2.549509756796392,1.0000000000000013
quartet_031,quartic_partition,0.0,0.0,3,8.93047693110548e-31,2.0461079729169994e-30,2.549509756796393,1.000000000000001
quartet_032,quartic_partition,0.0,0.0,3,1.1018567830511525e-30,2.2186712959340957e-30,2.5495097567963922,1.0000000000000013
quartet_033,quartic_partition,0.0,0.0,3,9.845234748776507e-31,1.7749370367472766e-30,2.5495097567963922,1.0000000000000013
quartet_034,quartic_partition,0.0,0.0,3,1.192295080321528e-30,1.6347293367958858e-30,2.5495097567963922,1.000000000000001
nested_prefix_000,nested_prefix_control,0.0,0.0,4,2.879794897593624e-30,3.0701730725963024e-30,2.6457513110645907,1.0000000000000013
nested_prefix_001,nested_prefix_control,0.0,0.0,4,9.114463461812594e-31,1.7749370367472766e-30,2.6457513110645907,1.0000000000000013
nested_prefix_002,nested_prefix_control,0.0,0.0,4,1.4463252399862044e-30,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
nested_prefix_003,nested_prefix_control,0.0,0.0,4,2.96566729898899e-30,2.914714414897795e-30,2.6457513110645907,1.000000000000001
nested_prefix_004,nested_prefix_control,0.0,0.0,4,2.997493291319989e-30,2.9267875882366726e-30,2.645751311064591,1.000000000000001
nested_prefix_005,nested_prefix_control,0.0,0.0,4,1.3659176648080373e-30,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
nested_prefix_006,nested_prefix_control,0.0,0.0,4,4.396344358177048e-30,5.069047613627205e-30,2.645751311064591,1.0000000000000013
nested_prefix_007,nested_prefix_control,0.0,0.0,4,1.3563361633347108e-30,1.5592328829759061e-30,2.6457513110645907,1.0000000000000013
nested_prefix_008,nested_prefix_control,0.0,0.0,4,1.685838702695062e-30,1.6910627876692124e-30,2.645751311064591,1.0000000000000013
nested_prefix_009,nested_prefix_control,0.0,0.0,4,4.3534201945415176e-30,4.247542195848829e-30,2.6457513110645907,1.000000000000001
nested_prefix_010,nested_prefix_control,0.0,0.0,4,1.806233398343569e-30,1.8242408433235898e-30,2.645751311064591,1.0000000000000013
nested_prefix_011,nested_prefix_control,0.0,0.0,4,3.164495491622667e-30,3.320399520620814e-30,2.6457513110645907,1.0000000000000013
nested_prefix_012,nested_prefix_control,0.0,0.0,4,3.5143406660206086e-30,3.547899995301556e-30,2.6457513110645907,1.000000000000001
nested_prefix_013,nested_prefix_control,0.0,0.0,4,5.320273137810367e-30,5.388101983039255e-30,2.6457513110645916,1.0000000000000013
nested_prefix_014,nested_prefix_control,0.0,0.0,4,1.848507560622869e-30,3.5544963053610825e-30,2.6457513110645907,1.0000000000000013
nested_prefix_015,nested_prefix_control,0.0,0.0,4,3.930293385759642e-30,3.9680656867939365e-30,2.6457513110645907,1.0000000000000013
nested_prefix_016,nested_prefix_control,0.0,0.0,4,3.641789080090434e-30,3.906893336935337e-30,2.6457513110645907,1.0000000000000013
nested_prefix_017,nested_prefix_control,0.0,0.0,4,4.1442882767053686e-30,4.1914013379699414e-30,2.6457513110645907,1.0000000000000013
nested_prefix_018,nested_prefix_control,0.0,0.0,4,4.246940342741208e-30,5.069047613627205e-30,2.645751311064591,1.0000000000000013
nested_prefix_019,nested_prefix_control,0.0,0.0,4,1.992013415604023e-30,2.2186712959340957e-30,2.6457513110645903,1.0000000000000013
nested_prefix_020,nested_prefix_control,0.0,0.0,4,3.963888826227047e-30,4.003541383446727e-30,2.6457513110645907,1.0000000000000013
nested_prefix_021,nested_prefix_control,0.0,0.0,4,3.182599233099907e-30,3.1427926685618536e-30,2.645751311064591,1.0000000000000016
nested_prefix_022,nested_prefix_control,0.0,0.0,4,4.49791308861917e-30,5.069047613627205e-30,2.6457513110645907,1.0000000000000013
nested_prefix_023,nested_prefix_control,0.0,0.0,4,8.927166774720935e-31,1.9721522630525295e-30,2.6457513110645907,1.0000000000000013
